# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "aBNXsBmXeFhYSs4oPVrk3Q==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000053.dat
#        q_A^-1              I           sigma 
  1.105228e-03    9.218834e-01   5.195471e-01
  3.315685e-03    9.298296e-01   3.172102e-01
  5.526141e-03    1.062644e+00   2.622201e-01
  7.736597e-03    1.293022e+00   2.443561e-01
  9.947054e-03    1.456623e+00   2.286388e-01
  1.215751e-02    1.295443e+00   1.949745e-01
  1.436797e-02    1.218343e+00   1.739244e-01
  1.657842e-02    1.423885e+00   1.750177e-01
  1.878888e-02    1.320580e+00   1.583237e-01
  2.099934e-02    1.179773e+00   1.415798e-01
  2.320979e-02    1.330943e+00   1.430252e-01
  2.542025e-02    1.431592e+00   1.417487e-01
  2.763070e-02    1.516676e+00   1.399384e-01
  2.984116e-02    1.480078e+00   1.330206e-01
  3.205162e-02    1.388297e+00   1.243161e-01
  3.426207e-02    1.293750e+00   1.160647e-01
  3.647253e-02    1.325135e+00   1.138465e-01
  3.868299e-02    1.526637e+00   1.186625e-01
  4.089344e-02    1.507148e+00   1.146723e-01
  4.310390e-02    1.466816e+00   1.101823e-01
  4.531436e-02    1.454785e+00   1.070201e-01
  4.752481e-02    1.469815e+00   1.050389e-01
  4.973527e-02    1.409868e+00   1.005636e-01
  5.194572e-02    1.336933e+00   9.582037e-02
  5.415618e-02    1.328443e+00   9.354275e-02
  5.636664e-02    1.433176e+00   9.523903e-02
  5.857709e-02    1.408317e+00   9.261147e-02
  6.078755e-02    1.390457e+00   9.033084e-02
  6.299801e-02    1.488677e+00   9.181144e-02
  6.520846e-02    1.502882e+00   9.067200e-02
  6.741892e-02    1.384146e+00   8.557381e-02
  6.962938e-02    1.426985e+00   8.550195e-02
  7.183983e-02    1.425696e+00   8.413672e-02
  7.405029e-02    1.479483e+00   8.441822e-02
  7.626074e-02    1.482871e+00   8.328028e-02
  7.847120e-02    1.527590e+00   8.332540e-02
  8.068166e-02    1.492178e+00   8.121733e-02
  8.289211e-02    1.506946e+00   8.052217e-02
  8.510257e-02    1.484375e+00   7.887171e-02
  8.731303e-02    1.525516e+00   7.893563e-02
  8.952348e-02    1.542641e+00   7.839350e-02
  9.173394e-02    1.567296e+00   7.805655e-02
  9.394439e-02    1.482885e+00   7.502452e-02
  9.615485e-02    1.479647e+00   7.407450e-02
  9.836531e-02    1.553856e+00   7.504951e-02
  1.005758e-01    1.505086e+00   7.304662e-02
  1.027862e-01    1.486536e+00   7.180846e-02
  1.049967e-01    1.391538e+00   6.873967e-02
  1.072071e-01    1.395005e+00   6.811120e-02
  1.094176e-01    1.513710e+00   7.022853e-02
  1.116280e-01    1.492894e+00   6.904850e-02
  1.138385e-01    1.453972e+00   6.747630e-02
  1.160490e-01    1.450412e+00   6.674793e-02
  1.182594e-01    1.467008e+00   6.649692e-02
  1.204699e-01    1.538182e+00   6.746282e-02
  1.226803e-01    1.608562e+00   6.836177e-02
  1.248908e-01    1.529438e+00   6.606594e-02
  1.271012e-01    1.556953e+00   6.607404e-02
  1.293117e-01    1.560728e+00   6.558543e-02
  1.315222e-01    1.641113e+00   6.668413e-02
  1.337326e-01    1.601699e+00   6.533051e-02
  1.359431e-01    1.560403e+00   6.452058e-02
  1.381535e-01    1.500264e+00   6.411424e-02
  1.403640e-01    1.524431e+00   6.490761e-02
  1.425744e-01    1.525568e+00   6.503554e-02
  1.447849e-01    1.456068e+00   6.355150e-02
  1.469953e-01    1.499036e+00   6.444198e-02
  1.492058e-01    1.493950e+00   6.425782e-02
  1.514163e-01    1.494601e+00   6.416507e-02
  1.536267e-01    1.595548e+00   6.616711e-02
  1.558372e-01    1.557642e+00   6.523209e-02
  1.580476e-01    1.552797e+00   6.497253e-02
  1.602581e-01    1.608708e+00   6.596393e-02
  1.624685e-01    1.647287e+00   6.656746e-02
  1.646790e-01    1.602438e+00   6.546651e-02
  1.668895e-01    1.568870e+00   6.459007e-02
  1.690999e-01    1.676212e+00   6.656265e-02
  1.713104e-01    1.704062e+00   6.690508e-02
  1.735208e-01    1.774106e+00   6.805399e-02
  1.757313e-01    1.748417e+00   6.734775e-02
  1.779417e-01    1.734195e+00   6.685454e-02
  1.801522e-01    1.814888e+00   6.817438e-02
  1.823626e-01    1.891176e+00   6.936082e-02
  1.845731e-01    1.857528e+00   6.851836e-02
  1.867836e-01    1.861608e+00   6.836206e-02
  1.889940e-01    1.887122e+00   6.860401e-02
  1.912045e-01    1.945220e+00   6.941945e-02
  1.934149e-01    1.957907e+00   6.941237e-02
  1.956254e-01    1.966252e+00   6.933072e-02
  1.978358e-01    1.921163e+00   6.829636e-02
  2.000463e-01    1.917686e+00   6.800839e-02
  2.022568e-01    1.926050e+00   6.793283e-02
  2.044672e-01    1.921561e+00   6.762117e-02
  2.066777e-01    1.900471e+00   6.702584e-02
  2.088881e-01    1.932249e+00   6.736281e-02
  2.110986e-01    1.922886e+00   6.696894e-02
  2.133090e-01    1.870201e+00   6.583045e-02
  2.155195e-01    1.835852e+00   6.500674e-02
  2.177300e-01    1.893827e+00   6.550651e-02
  2.199404e-01    1.883328e+00   6.360337e-02
  2.221509e-01    1.951968e+00   6.368880e-02
  2.243613e-01    1.967757e+00   6.313518e-02
  2.265718e-01    2.073336e+00   6.409251e-02
  2.287822e-01    2.075147e+00   6.348583e-02
  2.309927e-01    2.047933e+00   6.249365e-02
  2.332031e-01    2.096067e+00   6.268264e-02
  2.354136e-01    2.118659e+00   6.250881e-02
  2.376241e-01    2.158700e+00   6.260697e-02
  2.398345e-01    2.166364e+00   6.225386e-02
  2.420450e-01    2.184150e+00   6.206213e-02
  2.442554e-01    2.235335e+00   6.235261e-02
  2.464659e-01    2.167185e+00   6.098256e-02
  2.486763e-01    2.138698e+00   6.018223e-02
  2.508868e-01    2.087419e+00   5.908128e-02
  2.530973e-01    2.080399e+00   5.861619e-02
  2.553077e-01    2.049059e+00   5.782013e-02
  2.575182e-01    1.974005e+00   5.641557e-02
  2.597286e-01    2.038529e+00   5.699689e-02
  2.619391e-01    2.105447e+00   5.759137e-02
  2.641495e-01    2.109570e+00   5.732867e-02
  2.663600e-01    2.072464e+00   5.650979e-02
  2.685704e-01    2.014982e+00   5.541853e-02
  2.707809e-01    2.007885e+00   5.502722e-02
  2.729914e-01    1.969309e+00   5.421205e-02
  2.752018e-01    1.980210e+00   5.407894e-02
  2.774123e-01    1.972508e+00   5.369797e-02
  2.796227e-01    1.970102e+00   5.339976e-02
  2.818332e-01    1.962080e+00   5.302507e-02
  2.840436e-01    1.951450e+00   5.262490e-02
  2.862541e-01    1.976116e+00   5.270188e-02
  2.884646e-01    1.963473e+00   5.228373e-02
  2.906750e-01    1.866150e+00   5.072981e-02
  2.928855e-01    1.890537e+00   5.082360e-02
  2.950959e-01    1.901509e+00   5.073672e-02
  2.973064e-01    1.893891e+00   5.040744e-02
  2.995168e-01    1.843067e+00   4.950123e-02
  3.017273e-01    1.896479e+00   4.999203e-02
  3.039377e-01    1.836982e+00   4.898613e-02
  3.061482e-01    1.883093e+00   4.938259e-02
  3.083587e-01    1.892516e+00   4.929169e-02
  3.105691e-01    1.878959e+00   4.890507e-02
  3.127796e-01    1.854044e+00   4.837549e-02
  3.149900e-01    1.881773e+00   4.853285e-02
  3.172005e-01    1.888881e+00   4.842558e-02
  3.194109e-01    1.914932e+00   4.855711e-02
  3.216214e-01    1.905767e+00   4.824312e-02
  3.238319e-01    1.854026e+00   4.739520e-02
  3.260423e-01    1.814875e+00   4.670532e-02
  3.282528e-01    1.897603e+00   4.756781e-02
  3.304632e-01    1.903862e+00   4.746163e-02
  3.326737e-01    1.889748e+00   4.710088e-02
  3.348841e-01    1.884373e+00   4.685145e-02
  3.370946e-01    1.876666e+00   4.657964e-02
  3.393050e-01    1.834793e+00   4.588259e-02
  3.415155e-01    1.801551e+00   4.529411e-02
  3.437260e-01    1.774225e+00   4.478268e-02
  3.459364e-01    1.789913e+00   4.481384e-02
  3.481469e-01    1.794686e+00   4.470976e-02
  3.503573e-01    1.760086e+00   4.411539e-02
  3.525678e-01    1.790709e+00   4.433890e-02
  3.547782e-01    1.807717e+00   4.438797e-02
  3.569887e-01    1.761644e+00   4.366342e-02
  3.591992e-01    1.720612e+00   4.299922e-02
  3.614096e-01    1.750556e+00   4.322139e-02
  3.636201e-01    1.765869e+00   4.325745e-02
  3.658305e-01    1.818576e+00   4.374856e-02
  3.680410e-01    1.728215e+00   4.250114e-02
  3.702514e-01    1.740496e+00   4.250843e-02
  3.724619e-01    1.771684e+00   4.274155e-02
  3.746724e-01    1.786207e+00   4.277319e-02
  3.768828e-01    1.797855e+00   4.276803e-02
  3.790933e-01    1.749108e+00   4.204679e-02
  3.813037e-01    1.755672e+00   4.198778e-02
  3.835142e-01    1.694571e+00   4.111521e-02
  3.857246e-01    1.747510e+00   4.161735e-02
  3.879351e-01    1.778609e+00   4.185015e-02
  3.901455e-01    1.763925e+00   4.154434e-02
  3.923560e-01    1.748436e+00   4.123009e-02
  3.945665e-01    1.747191e+00   4.108470e-02
  3.967769e-01    1.815582e+00   4.174991e-02
  3.989874e-01    1.753703e+00   4.090419e-02
  4.011978e-01    1.757041e+00   4.081715e-02
  4.034083e-01    1.772859e+00   4.087462e-02
  4.056187e-01    1.747306e+00   4.045397e-02
  4.078292e-01    1.712331e+00   3.992587e-02
  4.100397e-01    1.728189e+00   3.998783e-02
  4.122501e-01    1.756159e+00   4.018954e-02
  4.144606e-01    1.763800e+00   4.015744e-02
  4.166710e-01    1.721301e+00   3.955273e-02
  4.188815e-01    1.756786e+00   3.984031e-02
  4.210919e-01    1.773788e+00   3.991532e-02
  4.233024e-01    1.798269e+00   4.007160e-02
  4.255128e-01    1.769719e+00   3.963733e-02
  4.277233e-01    1.756315e+00   3.937348e-02
  4.299338e-01    1.767916e+00   3.938963e-02
  4.321442e-01    1.788724e+00   3.950738e-02
  4.343547e-01    1.792299e+00   3.943503e-02
  4.365651e-01    1.772340e+00   3.910341e-02
  4.387756e-01    1.755505e+00   3.880829e-02
  4.409860e-01    1.739737e+00   3.852656e-02
  4.431965e-01    1.763634e+00   3.868301e-02
  4.454070e-01    1.733249e+00   3.824164e-02
  4.476174e-01    1.691111e+00   3.767021e-02
  4.498279e-01    1.674218e+00   3.737962e-02
  4.520383e-01    1.636587e+00   3.685571e-02
  4.542488e-01    1.696154e+00   3.741926e-02
  4.564592e-01    1.698116e+00   3.734047e-02
  4.586697e-01    1.650155e+00   3.671167e-02
  4.608801e-01    1.688303e+00   3.703411e-02
  4.630906e-01    1.716976e+00   3.724840e-02
  4.653011e-01    1.702889e+00   3.699772e-02
  4.675115e-01    1.689541e+00   3.675537e-02
  4.697220e-01    1.685526e+00   3.661556e-02
  4.719324e-01    1.682891e+00   3.649230e-02
  4.741429e-01    1.664914e+00   3.620333e-02
  4.763533e-01    1.663274e+00   3.609274e-02
  4.785638e-01    1.656788e+00   3.592923e-02
  4.807743e-01    1.685847e+00   3.615078e-02
  4.829847e-01    1.680921e+00   3.600674e-02
  4.851952e-01    1.689900e+00   3.601141e-02
  4.874056e-01    1.704812e+00   3.607875e-02
  4.896161e-01    1.688329e+00   3.581490e-02
  4.918265e-01    1.658338e+00   3.540720e-02
  4.940370e-01    1.661772e+00   3.535634e-02
  4.962475e-01    1.693129e+00   3.560023e-02
  4.984579e-01    1.606525e+00   3.459236e-02
  5.006684e-01    1.593264e+00   3.436527e-02
  5.028788e-01    1.678728e+00   3.518944e-02
  5.050893e-01    1.700658e+00   3.533240e-02
  5.072997e-01    1.690041e+00   3.513689e-02
  5.095102e-01    1.656665e+00   3.470488e-02
  5.117206e-01    1.654114e+00   3.459568e-02
  5.139311e-01    1.726490e+00   3.526082e-02
  5.161416e-01    1.664032e+00   3.453534e-02
  5.183520e-01    1.671942e+00   3.453505e-02
