# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166622",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "gjx348F87u3o0bquBI6sXg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000057.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.137326e+00   5.770711e-01
  3.315685e-03    1.159025e+00   3.541537e-01
  5.526141e-03    1.064554e+00   2.624557e-01
  7.736597e-03    1.294415e+00   2.444877e-01
  9.947054e-03    1.561222e+00   2.367058e-01
  1.215751e-02    1.335167e+00   1.979413e-01
  1.436797e-02    1.509558e+00   1.935979e-01
  1.657842e-02    1.544483e+00   1.822787e-01
  1.878888e-02    1.512860e+00   1.694584e-01
  2.099934e-02    1.532028e+00   1.613375e-01
  2.320979e-02    1.644411e+00   1.589784e-01
  2.542025e-02    1.515267e+00   1.458324e-01
  2.763070e-02    1.483503e+00   1.383995e-01
  2.984116e-02    1.545044e+00   1.359086e-01
  3.205162e-02    1.392821e+00   1.245185e-01
  3.426207e-02    1.331154e+00   1.177305e-01
  3.647253e-02    1.384519e+00   1.163695e-01
  3.868299e-02    1.322524e+00   1.104453e-01
  4.089344e-02    1.337601e+00   1.080299e-01
  4.310390e-02    1.274437e+00   1.027030e-01
  4.531436e-02    1.332895e+00   1.024386e-01
  4.752481e-02    1.336712e+00   1.001700e-01
  4.973527e-02    1.368286e+00   9.906956e-02
  5.194572e-02    1.348886e+00   9.624775e-02
  5.415618e-02    1.462942e+00   9.816401e-02
  5.636664e-02    1.500327e+00   9.744468e-02
  5.857709e-02    1.471378e+00   9.466221e-02
  6.078755e-02    1.520114e+00   9.444857e-02
  6.299801e-02    1.565935e+00   9.416365e-02
  6.520846e-02    1.465257e+00   8.952981e-02
  6.741892e-02    1.468460e+00   8.814159e-02
  6.962938e-02    1.498242e+00   8.761075e-02
  7.183983e-02    1.497485e+00   8.622898e-02
  7.405029e-02    1.573939e+00   8.707134e-02
  7.626074e-02    1.486153e+00   8.337236e-02
  7.847120e-02    1.444363e+00   8.102372e-02
  8.068166e-02    1.451372e+00   8.009909e-02
  8.289211e-02    1.443593e+00   7.881142e-02
  8.510257e-02    1.448695e+00   7.791799e-02
