# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166604",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "ncp7eQPZuCVgbkQ40e5w/Q==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000058.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.676878e+00   7.007090e-01
  3.315685e-03    1.519644e+00   4.055238e-01
  5.526141e-03    1.423241e+00   3.034669e-01
  7.736597e-03    1.441945e+00   2.580444e-01
  9.947054e-03    1.363319e+00   2.211950e-01
  1.215751e-02    1.167043e+00   1.850598e-01
  1.436797e-02    1.188377e+00   1.717722e-01
  1.657842e-02    1.298822e+00   1.671550e-01
  1.878888e-02    1.228233e+00   1.526876e-01
  2.099934e-02    1.305506e+00   1.489332e-01
  2.320979e-02    1.535751e+00   1.536361e-01
  2.542025e-02    1.505202e+00   1.453473e-01
  2.763070e-02    1.275093e+00   1.283102e-01
  2.984116e-02    1.370679e+00   1.280101e-01
  3.205162e-02    1.447869e+00   1.269553e-01
  3.426207e-02    1.390438e+00   1.203236e-01
  3.647253e-02    1.484075e+00   1.204807e-01
  3.868299e-02    1.454925e+00   1.158420e-01
  4.089344e-02    1.341014e+00   1.081676e-01
  4.310390e-02    1.370554e+00   1.065055e-01
  4.531436e-02    1.445065e+00   1.066619e-01
  4.752481e-02    1.478290e+00   1.053413e-01
  4.973527e-02    1.442786e+00   1.017309e-01
  5.194572e-02    1.458761e+00   1.000910e-01
  5.415618e-02    1.412419e+00   9.645408e-02
  5.636664e-02    1.289582e+00   9.034199e-02
  5.857709e-02    1.426949e+00   9.322208e-02
  6.078755e-02    1.401862e+00   9.070057e-02
  6.299801e-02    1.395362e+00   8.888733e-02
  6.520846e-02    1.450230e+00   8.906952e-02
  6.741892e-02    1.448282e+00   8.753393e-02
  6.962938e-02    1.501547e+00   8.770733e-02
  7.183983e-02    1.478977e+00   8.569445e-02
  7.405029e-02    1.521071e+00   8.559651e-02
  7.626074e-02    1.429548e+00   8.176921e-02
  7.847120e-02    1.396679e+00   7.967503e-02
  8.068166e-02    1.458091e+00   8.028431e-02
  8.289211e-02    1.419798e+00   7.815917e-02
  8.510257e-02    1.434011e+00   7.752211e-02
  8.731303e-02    1.537520e+00   7.924560e-02
  8.952348e-02    1.520991e+00   7.784145e-02
  9.173394e-02    1.506893e+00   7.653765e-02
  9.394439e-02    1.523672e+00   7.604926e-02
  9.615485e-02    1.479634e+00   7.407418e-02
  9.836531e-02    1.439514e+00   7.223545e-02
  1.005758e-01    1.440008e+00   7.144994e-02
  1.027862e-01    1.526192e+00   7.275996e-02
  1.049967e-01    1.452690e+00   7.023384e-02
  1.072071e-01    1.516493e+00   7.101513e-02
  1.094176e-01    1.530154e+00   7.060899e-02
  1.116280e-01    1.574657e+00   7.091412e-02
  1.138385e-01    1.445963e+00   6.729022e-02
  1.160490e-01    1.497610e+00   6.782524e-02
  1.182594e-01    1.443779e+00   6.596837e-02
  1.204699e-01    1.457788e+00   6.567618e-02
  1.226803e-01    1.440356e+00   6.468883e-02
  1.248908e-01    1.456976e+00   6.448188e-02
  1.271012e-01    1.472639e+00   6.426009e-02
  1.293117e-01    1.654656e+00   6.753013e-02
  1.315222e-01    1.691867e+00   6.770744e-02
  1.337326e-01    1.471500e+00   6.261896e-02
  1.359431e-01    1.602510e+00   6.538529e-02
  1.381535e-01    1.587433e+00   6.595054e-02
  1.403640e-01    1.485953e+00   6.408320e-02
  1.425744e-01    1.616220e+00   6.693990e-02
  1.447849e-01    1.584498e+00   6.629501e-02
  1.469953e-01    1.618744e+00   6.696562e-02
  1.492058e-01    1.630128e+00   6.712260e-02
  1.514163e-01    1.522877e+00   6.476922e-02
  1.536267e-01    1.613842e+00   6.654536e-02
  1.558372e-01    1.663210e+00   6.740638e-02
  1.580476e-01    1.656570e+00   6.710847e-02
  1.602581e-01    1.627427e+00   6.634662e-02
  1.624685e-01    1.670950e+00   6.704386e-02
  1.646790e-01    1.700690e+00   6.744365e-02
  1.668895e-01    1.687171e+00   6.698105e-02
  1.690999e-01    1.730204e+00   6.762619e-02
  1.713104e-01    1.691128e+00   6.665069e-02
  1.735208e-01    1.795383e+00   6.846084e-02
  1.757313e-01    1.796687e+00   6.827109e-02
  1.779417e-01    1.782503e+00   6.777930e-02
  1.801522e-01    1.799134e+00   6.787787e-02
  1.823626e-01    1.829040e+00   6.821184e-02
  1.845731e-01    1.911577e+00   6.950805e-02
  1.867836e-01    1.960400e+00   7.015253e-02
  1.889940e-01    2.048450e+00   7.147632e-02
  1.912045e-01    2.077905e+00   7.174800e-02
  1.934149e-01    2.016236e+00   7.043876e-02
  1.956254e-01    1.882392e+00   6.783616e-02
  1.978358e-01    1.987517e+00   6.946574e-02
  2.000463e-01    2.033393e+00   7.003005e-02
  2.022568e-01    2.010465e+00   6.940554e-02
  2.044672e-01    2.008305e+00   6.913061e-02
  2.066777e-01    2.038818e+00   6.942262e-02
  2.088881e-01    2.064165e+00   6.962426e-02
  2.110986e-01    2.007988e+00   6.843485e-02
  2.133090e-01    1.991957e+00   6.793953e-02
  2.155195e-01    1.951618e+00   6.702504e-02
  2.177300e-01    1.865534e+00   6.501535e-02
  2.199404e-01    1.913976e+00   6.411880e-02
  2.221509e-01    1.915449e+00   6.309021e-02
