# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "sDSfPr02gm0o5oCNqcEiXg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000061.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.198313e+00   5.923413e-01
  3.315685e-03    1.161585e+00   3.545447e-01
  5.526141e-03    1.083862e+00   2.648250e-01
  7.736597e-03    1.447727e+00   2.585613e-01
  9.947054e-03    1.501813e+00   2.321584e-01
  1.215751e-02    1.463878e+00   2.072627e-01
  1.436797e-02    1.396503e+00   1.862073e-01
  1.657842e-02    1.254485e+00   1.642771e-01
  1.878888e-02    1.285084e+00   1.561814e-01
  2.099934e-02    1.514285e+00   1.604005e-01
  2.320979e-02    1.657946e+00   1.596313e-01
  2.542025e-02    1.569398e+00   1.484144e-01
  2.763070e-02    1.457900e+00   1.372000e-01
  2.984116e-02    1.307879e+00   1.250433e-01
  3.205162e-02    1.317015e+00   1.210825e-01
  3.426207e-02    1.445656e+00   1.226895e-01
  3.647253e-02    1.223877e+00   1.094104e-01
  3.868299e-02    1.265083e+00   1.080202e-01
  4.089344e-02    1.370488e+00   1.093499e-01
  4.310390e-02    1.318721e+00   1.044721e-01
  4.531436e-02    1.371476e+00   1.039106e-01
  4.752481e-02    1.439575e+00   1.039528e-01
  4.973527e-02    1.394351e+00   1.000087e-01
  5.194572e-02    1.344206e+00   9.608061e-02
  5.415618e-02    1.420569e+00   9.673197e-02
  5.636664e-02    1.397878e+00   9.405886e-02
  5.857709e-02    1.473978e+00   9.474581e-02
  6.078755e-02    1.506518e+00   9.402525e-02
  6.299801e-02    1.469944e+00   9.123193e-02
  6.520846e-02    1.352795e+00   8.602542e-02
  6.741892e-02    1.464342e+00   8.801791e-02
  6.962938e-02    1.462048e+00   8.654603e-02
  7.183983e-02    1.483408e+00   8.582274e-02
  7.405029e-02    1.441623e+00   8.333110e-02
  7.626074e-02    1.359108e+00   7.972918e-02
  7.847120e-02    1.472690e+00   8.181438e-02
  8.068166e-02    1.392509e+00   7.845803e-02
  8.289211e-02    1.385550e+00   7.721076e-02
  8.510257e-02    1.391698e+00   7.636985e-02
  8.731303e-02    1.375865e+00   7.496397e-02
  8.952348e-02    1.421931e+00   7.526390e-02
