# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "XKCFNNGjY327P8qLcaJ9bA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000062.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.633744e+00   6.916383e-01
  3.315685e-03    1.438608e+00   3.945633e-01
  5.526141e-03    1.298476e+00   2.898605e-01
  7.736597e-03    1.440304e+00   2.578976e-01
  9.947054e-03    1.410580e+00   2.249963e-01
  1.215751e-02    1.323296e+00   1.970594e-01
  1.436797e-02    1.409284e+00   1.870575e-01
  1.657842e-02    1.544233e+00   1.822640e-01
  1.878888e-02    1.470199e+00   1.670520e-01
  2.099934e-02    1.292353e+00   1.481810e-01
  2.320979e-02    1.384854e+00   1.458931e-01
  2.542025e-02    1.315994e+00   1.359053e-01
  2.763070e-02    1.508691e+00   1.395695e-01
  2.984116e-02    1.601203e+00   1.383565e-01
  3.205162e-02    1.470951e+00   1.279633e-01
  3.426207e-02    1.376891e+00   1.197360e-01
  3.647253e-02    1.372188e+00   1.158501e-01
  3.868299e-02    1.449381e+00   1.156210e-01
  4.089344e-02    1.557509e+00   1.165725e-01
  4.310390e-02    1.551045e+00   1.133016e-01
  4.531436e-02    1.426202e+00   1.059635e-01
  4.752481e-02    1.330248e+00   9.992758e-02
  4.973527e-02    1.403147e+00   1.003237e-01
  5.194572e-02    1.441327e+00   9.949110e-02
  5.415618e-02    1.503444e+00   9.951359e-02
  5.636664e-02    1.407447e+00   9.438027e-02
  5.857709e-02    1.352177e+00   9.074681e-02
  6.078755e-02    1.418378e+00   9.123329e-02
  6.299801e-02    1.374257e+00   8.821256e-02
  6.520846e-02    1.386885e+00   8.710255e-02
  6.741892e-02    1.448672e+00   8.754571e-02
  6.962938e-02    1.479709e+00   8.706719e-02
  7.183983e-02    1.449530e+00   8.483709e-02
  7.405029e-02    1.402247e+00   8.218517e-02
  7.626074e-02    1.572300e+00   8.575471e-02
  7.847120e-02    1.516411e+00   8.301995e-02
  8.068166e-02    1.326809e+00   7.658480e-02
  8.289211e-02    1.406139e+00   7.778228e-02
  8.510257e-02    1.347144e+00   7.513746e-02
