# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166602",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "wkfxdcZ/pLZ7hyZO6H5Lpw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000063.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.069094e+00   5.594932e-01
  3.315685e-03    1.045604e+00   3.363791e-01
  5.526141e-03    7.892984e-01   2.259918e-01
  7.736597e-03    1.049068e+00   2.201009e-01
  9.947054e-03    1.450281e+00   2.281406e-01
  1.215751e-02    1.206309e+00   1.881473e-01
  1.436797e-02    1.236298e+00   1.752014e-01
  1.657842e-02    1.325653e+00   1.688726e-01
  1.878888e-02    1.384632e+00   1.621178e-01
  2.099934e-02    1.515869e+00   1.604844e-01
  2.320979e-02    1.274546e+00   1.399621e-01
  2.542025e-02    1.254828e+00   1.327094e-01
  2.763070e-02    1.441243e+00   1.364140e-01
  2.984116e-02    1.486923e+00   1.333278e-01
  3.205162e-02    1.444892e+00   1.268247e-01
  3.426207e-02    1.408666e+00   1.211097e-01
  3.647253e-02    1.287017e+00   1.121972e-01
  3.868299e-02    1.358476e+00   1.119365e-01
  4.089344e-02    1.384388e+00   1.099030e-01
  4.310390e-02    1.341225e+00   1.053598e-01
  4.531436e-02    1.367446e+00   1.037578e-01
  4.752481e-02    1.402235e+00   1.025958e-01
  4.973527e-02    1.445872e+00   1.018396e-01
  5.194572e-02    1.405670e+00   9.825274e-02
  5.415618e-02    1.493080e+00   9.916999e-02
  5.636664e-02    1.470397e+00   9.646782e-02
  5.857709e-02    1.453154e+00   9.407415e-02
  6.078755e-02    1.498684e+00   9.378048e-02
  6.299801e-02    1.363856e+00   8.787812e-02
  6.520846e-02    1.519748e+00   9.117934e-02
  6.741892e-02    1.531393e+00   9.001050e-02
  6.962938e-02    1.474016e+00   8.689954e-02
  7.183983e-02    1.512148e+00   8.665013e-02
  7.405029e-02    1.453289e+00   8.366760e-02
  7.626074e-02    1.379211e+00   8.031666e-02
  7.847120e-02    1.478692e+00   8.198093e-02
  8.068166e-02    1.407390e+00   7.887613e-02
  8.289211e-02    1.394214e+00   7.745178e-02
  8.510257e-02    1.404813e+00   7.672884e-02
