# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166598",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "oEYOL2UG7hMrAejtmDFgOw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000066.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.144377e+00   5.788573e-01
  3.315685e-03    1.357933e+00   3.833404e-01
  5.526141e-03    1.370355e+00   2.977753e-01
  7.736597e-03    1.393209e+00   2.536462e-01
  9.947054e-03    1.399948e+00   2.241467e-01
  1.215751e-02    1.395041e+00   2.023309e-01
  1.436797e-02    1.415395e+00   1.874626e-01
  1.657842e-02    1.263076e+00   1.648387e-01
  1.878888e-02    1.259233e+00   1.546026e-01
  2.099934e-02    1.307009e+00   1.490189e-01
  2.320979e-02    1.437461e+00   1.486384e-01
  2.542025e-02    1.381084e+00   1.392257e-01
  2.763070e-02    1.498685e+00   1.391059e-01
  2.984116e-02    1.543929e+00   1.358596e-01
  3.205162e-02    1.500426e+00   1.292390e-01
  3.426207e-02    1.484840e+00   1.243411e-01
  3.647253e-02    1.471812e+00   1.199819e-01
  3.868299e-02    1.500294e+00   1.176343e-01
  4.089344e-02    1.322483e+00   1.074177e-01
  4.310390e-02    1.307356e+00   1.040210e-01
  4.531436e-02    1.426455e+00   1.059729e-01
  4.752481e-02    1.332454e+00   1.000104e-01
  4.973527e-02    1.351109e+00   9.844575e-02
  5.194572e-02    1.329282e+00   9.554578e-02
  5.415618e-02    1.385311e+00   9.552398e-02
  5.636664e-02    1.421454e+00   9.484876e-02
  5.857709e-02    1.518935e+00   9.617986e-02
  6.078755e-02    1.452321e+00   9.231849e-02
  6.299801e-02    1.438402e+00   9.024779e-02
  6.520846e-02    1.442160e+00   8.882136e-02
  6.741892e-02    1.436113e+00   8.716543e-02
  6.962938e-02    1.352412e+00   8.323783e-02
  7.183983e-02    1.414765e+00   8.381357e-02
  7.405029e-02    1.436249e+00   8.317564e-02
  7.626074e-02    1.491665e+00   8.352684e-02
  7.847120e-02    1.513351e+00   8.293613e-02
  8.068166e-02    1.459059e+00   8.031096e-02
  8.289211e-02    1.455200e+00   7.912760e-02
  8.510257e-02    1.519040e+00   7.978735e-02
  8.731303e-02    1.458571e+00   7.718423e-02
  8.952348e-02    1.407288e+00   7.487538e-02
  9.173394e-02    1.481818e+00   7.589818e-02
  9.394439e-02    1.482643e+00   7.501838e-02
  9.615485e-02    1.413740e+00   7.240599e-02
  9.836531e-02    1.450587e+00   7.251274e-02
  1.005758e-01    1.450163e+00   7.170144e-02
  1.027862e-01    1.372097e+00   6.898908e-02
  1.049967e-01    1.403650e+00   6.903818e-02
  1.072071e-01    1.443968e+00   6.929621e-02
  1.094176e-01    1.511492e+00   7.017709e-02
  1.116280e-01    1.508825e+00   6.941592e-02
  1.138385e-01    1.498988e+00   6.851291e-02
  1.160490e-01    1.488586e+00   6.762058e-02
  1.182594e-01    1.536530e+00   6.805434e-02
  1.204699e-01    1.539091e+00   6.748274e-02
  1.226803e-01    1.484007e+00   6.566175e-02
  1.248908e-01    1.528481e+00   6.604525e-02
  1.271012e-01    1.559341e+00   6.612471e-02
  1.293117e-01    1.534279e+00   6.502734e-02
  1.315222e-01    1.583020e+00   6.549323e-02
  1.337326e-01    1.555487e+00   6.438117e-02
  1.359431e-01    1.523417e+00   6.375134e-02
  1.381535e-01    1.507175e+00   6.426171e-02
  1.403640e-01    1.585647e+00   6.619804e-02
  1.425744e-01    1.518768e+00   6.489042e-02
  1.447849e-01    1.461267e+00   6.366484e-02
  1.469953e-01    1.570420e+00   6.595850e-02
  1.492058e-01    1.570973e+00   6.589346e-02
  1.514163e-01    1.595842e+00   6.630266e-02
  1.536267e-01    1.696594e+00   6.823013e-02
  1.558372e-01    1.671332e+00   6.757080e-02
