# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "RYGIKL+z9cCiTjq1lQ1lhA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000068.dat
#        q_A^-1              I           sigma 
  1.105228e-03    7.207581e-01   4.593902e-01
  3.315685e-03    6.452242e-01   2.642413e-01
  5.526141e-03    1.159464e+00   2.739055e-01
  7.736597e-03    1.410986e+00   2.552593e-01
  9.947054e-03    1.151691e+00   2.033033e-01
  1.215751e-02    1.382642e+00   2.014297e-01
  1.436797e-02    1.460274e+00   1.904114e-01
  1.657842e-02    1.729358e+00   1.928799e-01
  1.878888e-02    1.391268e+00   1.625058e-01
  2.099934e-02    1.238937e+00   1.450864e-01
  2.320979e-02    1.306687e+00   1.417159e-01
  2.542025e-02    1.491244e+00   1.446718e-01
  2.763070e-02    1.563290e+00   1.420725e-01
  2.984116e-02    1.499956e+00   1.339108e-01
  3.205162e-02    1.413667e+00   1.254469e-01
  3.426207e-02    1.445327e+00   1.226755e-01
  3.647253e-02    1.465584e+00   1.197278e-01
  3.868299e-02    1.431525e+00   1.149066e-01
  4.089344e-02    1.572821e+00   1.171441e-01
  4.310390e-02    1.452477e+00   1.096424e-01
  4.531436e-02    1.408025e+00   1.052861e-01
  4.752481e-02    1.358548e+00   1.009849e-01
  4.973527e-02    1.398968e+00   1.001742e-01
  5.194572e-02    1.247413e+00   9.255674e-02
  5.415618e-02    1.369097e+00   9.496328e-02
  5.636664e-02    1.545356e+00   9.889615e-02
  5.857709e-02    1.431187e+00   9.336041e-02
  6.078755e-02    1.455975e+00   9.243454e-02
  6.299801e-02    1.467754e+00   9.116394e-02
  6.520846e-02    1.398004e+00   8.745104e-02
  6.741892e-02    1.549531e+00   9.054197e-02
  6.962938e-02    1.486923e+00   8.727919e-02
  7.183983e-02    1.566268e+00   8.818710e-02
  7.405029e-02    1.561824e+00   8.673559e-02
  7.626074e-02    1.472682e+00   8.299363e-02
  7.847120e-02    1.515489e+00   8.299472e-02
  8.068166e-02    1.447636e+00   7.999595e-02
  8.289211e-02    1.512883e+00   8.068065e-02
  8.510257e-02    1.405030e+00   7.673478e-02
