# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166598",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "T9HIDwQnQ34yN9HtI4Quyg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000074.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.470377e+00   6.561473e-01
  3.315685e-03    1.687690e+00   4.273579e-01
  5.526141e-03    1.365780e+00   2.972778e-01
  7.736597e-03    8.999997e-01   2.038644e-01
  9.947054e-03    1.075060e+00   1.964232e-01
  1.215751e-02    1.293358e+00   1.948175e-01
  1.436797e-02    1.313942e+00   1.806192e-01
  1.657842e-02    1.251401e+00   1.640751e-01
  1.878888e-02    1.444311e+00   1.655746e-01
  2.099934e-02    1.401980e+00   1.543380e-01
  2.320979e-02    1.377983e+00   1.455308e-01
  2.542025e-02    1.115405e+00   1.251197e-01
  2.763070e-02    1.214302e+00   1.252142e-01
  2.984116e-02    1.393204e+00   1.290577e-01
  3.205162e-02    1.534309e+00   1.306901e-01
  3.426207e-02    1.496942e+00   1.248468e-01
  3.647253e-02    1.487862e+00   1.206343e-01
  3.868299e-02    1.378243e+00   1.127479e-01
  4.089344e-02    1.463231e+00   1.129893e-01
  4.310390e-02    1.411450e+00   1.080828e-01
  4.531436e-02    1.432399e+00   1.061935e-01
  4.752481e-02    1.432059e+00   1.036811e-01
  4.973527e-02    1.466674e+00   1.025696e-01
  5.194572e-02    1.465852e+00   1.003340e-01
  5.415618e-02    1.545402e+00   1.008926e-01
  5.636664e-02    1.433427e+00   9.524737e-02
  5.857709e-02    1.429098e+00   9.329224e-02
  6.078755e-02    1.372247e+00   8.973741e-02
  6.299801e-02    1.457983e+00   9.085999e-02
  6.520846e-02    1.551967e+00   9.214079e-02
  6.741892e-02    1.482237e+00   8.855411e-02
  6.962938e-02    1.433449e+00   8.569540e-02
  7.183983e-02    1.438533e+00   8.451464e-02
  7.405029e-02    1.470499e+00   8.416153e-02
  7.626074e-02    1.405153e+00   8.106851e-02
  7.847120e-02    1.447850e+00   8.112147e-02
  8.068166e-02    1.386045e+00   7.827569e-02
  8.289211e-02    1.498706e+00   8.030174e-02
  8.510257e-02    1.595828e+00   8.177911e-02
  8.731303e-02    1.495243e+00   7.814851e-02
  8.952348e-02    1.513679e+00   7.765410e-02
  9.173394e-02    1.586508e+00   7.853350e-02
  9.394439e-02    1.433735e+00   7.377069e-02
  9.615485e-02    1.492604e+00   7.439811e-02
  9.836531e-02    1.612165e+00   7.644467e-02
  1.005758e-01    1.438686e+00   7.141716e-02
  1.027862e-01    1.407192e+00   6.986579e-02
  1.049967e-01    1.517541e+00   7.178440e-02
  1.072071e-01    1.517580e+00   7.104060e-02
  1.094176e-01    1.454395e+00   6.883883e-02
  1.116280e-01    1.555916e+00   7.049085e-02
  1.138385e-01    1.511460e+00   6.879736e-02
  1.160490e-01    1.604168e+00   7.019673e-02
  1.182594e-01    1.594132e+00   6.931825e-02
  1.204699e-01    1.551162e+00   6.774686e-02
  1.226803e-01    1.602674e+00   6.823653e-02
  1.248908e-01    1.641722e+00   6.844809e-02
  1.271012e-01    1.687505e+00   6.878849e-02
  1.293117e-01    1.589932e+00   6.619621e-02
  1.315222e-01    1.515756e+00   6.408669e-02
  1.337326e-01    1.612604e+00   6.555253e-02
  1.359431e-01    1.650350e+00   6.635411e-02
  1.381535e-01    1.605434e+00   6.632341e-02
  1.403640e-01    1.531803e+00   6.506435e-02
  1.425744e-01    1.567125e+00   6.591538e-02
  1.447849e-01    1.538417e+00   6.532387e-02
  1.469953e-01    1.593902e+00   6.644980e-02
  1.492058e-01    1.473795e+00   6.382289e-02
  1.514163e-01    1.512463e+00   6.454735e-02
  1.536267e-01    1.592469e+00   6.610326e-02
  1.558372e-01    1.657651e+00   6.729363e-02
  1.580476e-01    1.645489e+00   6.688363e-02
  1.602581e-01    1.603199e+00   6.585090e-02
  1.624685e-01    1.646521e+00   6.655195e-02
  1.646790e-01    1.657303e+00   6.657781e-02
  1.668895e-01    1.706547e+00   6.736455e-02
  1.690999e-01    1.726292e+00   6.754968e-02
  1.713104e-01    1.765011e+00   6.809106e-02
  1.735208e-01    1.757594e+00   6.773656e-02
  1.757313e-01    1.798902e+00   6.831314e-02
  1.779417e-01    1.809928e+00   6.829871e-02
  1.801522e-01    1.863435e+00   6.908020e-02
  1.823626e-01    1.929745e+00   7.006451e-02
  1.845731e-01    1.924915e+00   6.975015e-02
  1.867836e-01    1.961174e+00   7.016637e-02
  1.889940e-01    1.972044e+00   7.013067e-02
  1.912045e-01    2.009247e+00   7.055267e-02
  1.934149e-01    2.027405e+00   7.063358e-02
  1.956254e-01    1.983451e+00   6.963331e-02
  1.978358e-01    1.996266e+00   6.961846e-02
  2.000463e-01    2.041280e+00   7.016575e-02
  2.022568e-01    2.014316e+00   6.947199e-02
  2.044672e-01    1.994547e+00   6.889343e-02
  2.066777e-01    1.990759e+00   6.859951e-02
  2.088881e-01    1.966879e+00   6.796375e-02
  2.110986e-01    2.029331e+00   6.879757e-02
  2.133090e-01    2.021524e+00   6.844190e-02
  2.155195e-01    1.991931e+00   6.771374e-02
  2.177300e-01    1.983934e+00   6.704674e-02
  2.199404e-01    2.113080e+00   6.737134e-02
  2.221509e-01    2.037165e+00   6.506386e-02
  2.243613e-01    2.003261e+00   6.370225e-02
  2.265718e-01    1.972689e+00   6.251749e-02
  2.287822e-01    2.185223e+00   6.514786e-02
  2.309927e-01    2.132842e+00   6.377602e-02
  2.332031e-01    2.070676e+00   6.230183e-02
  2.354136e-01    2.202872e+00   6.373900e-02
  2.376241e-01    2.191750e+00   6.308440e-02
  2.398345e-01    2.258611e+00   6.356546e-02
  2.420450e-01    2.218289e+00   6.254531e-02
  2.442554e-01    2.222601e+00   6.217473e-02
  2.464659e-01    2.232067e+00   6.188870e-02
  2.486763e-01    2.138796e+00   6.018361e-02
  2.508868e-01    2.052263e+00   5.858165e-02
  2.530973e-01    2.127446e+00   5.927524e-02
  2.553077e-01    2.145347e+00   5.916308e-02
  2.575182e-01    2.026557e+00   5.716158e-02
  2.597286e-01    2.040427e+00   5.702342e-02
  2.619391e-01    2.183028e+00   5.864280e-02
  2.641495e-01    2.095680e+00   5.713966e-02
  2.663600e-01    2.105624e+00   5.696004e-02
  2.685704e-01    2.087773e+00   5.641066e-02
  2.707809e-01    2.021582e+00   5.521459e-02
  2.729914e-01    2.031726e+00   5.506447e-02
  2.752018e-01    2.029852e+00   5.475260e-02
  2.774123e-01    1.969369e+00   5.365523e-02
  2.796227e-01    2.023135e+00   5.411370e-02
  2.818332e-01    2.084387e+00   5.465277e-02
  2.840436e-01    1.984689e+00   5.307122e-02
  2.862541e-01    1.965007e+00   5.255355e-02
  2.884646e-01    1.999283e+00   5.275834e-02
  2.906750e-01    2.023049e+00   5.281934e-02
  2.928855e-01    1.976946e+00   5.197211e-02
  2.950959e-01    1.961127e+00   5.152596e-02
  2.973064e-01    2.056614e+00   5.252830e-02
  2.995168e-01    2.046956e+00   5.216748e-02
  3.017273e-01    1.969820e+00   5.094950e-02
  3.039377e-01    1.963832e+00   5.064925e-02
