# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166600",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "6DW1o5k0YW7E23PMivXPHQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000075.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.451551e+00   6.519332e-01
  3.315685e-03    1.319474e+00   3.778730e-01
  5.526141e-03    1.353909e+00   2.959830e-01
  7.736597e-03    1.668412e+00   2.775695e-01
  9.947054e-03    1.411480e+00   2.250681e-01
  1.215751e-02    1.371861e+00   2.006429e-01
  1.436797e-02    1.501024e+00   1.930499e-01
  1.657842e-02    1.736267e+00   1.932647e-01
  1.878888e-02    1.487042e+00   1.680062e-01
  2.099934e-02    1.242514e+00   1.452957e-01
  2.320979e-02    1.362076e+00   1.446883e-01
  2.542025e-02    1.396511e+00   1.400011e-01
  2.763070e-02    1.424718e+00   1.356297e-01
  2.984116e-02    1.287522e+00   1.240663e-01
  3.205162e-02    1.463557e+00   1.276412e-01
  3.426207e-02    1.421493e+00   1.216598e-01
  3.647253e-02    1.405734e+00   1.172577e-01
  3.868299e-02    1.443409e+00   1.153826e-01
  4.089344e-02    1.307215e+00   1.067958e-01
  4.310390e-02    1.570548e+00   1.140117e-01
  4.531436e-02    1.497514e+00   1.085804e-01
  4.752481e-02    1.404038e+00   1.026617e-01
  4.973527e-02    1.523367e+00   1.045332e-01
  5.194572e-02    1.453819e+00   9.992130e-02
  5.415618e-02    1.532421e+00   1.004680e-01
  5.636664e-02    1.442526e+00   9.554921e-02
  5.857709e-02    1.425731e+00   9.318227e-02
  6.078755e-02    1.483566e+00   9.330625e-02
  6.299801e-02    1.602686e+00   9.526222e-02
  6.520846e-02    1.537317e+00   9.170486e-02
  6.741892e-02    1.536367e+00   9.015656e-02
  6.962938e-02    1.486802e+00   8.727562e-02
  7.183983e-02    1.427551e+00   8.419142e-02
  7.405029e-02    1.583662e+00   8.733985e-02
  7.626074e-02    1.610111e+00   8.677974e-02
  7.847120e-02    1.483775e+00   8.212172e-02
  8.068166e-02    1.550749e+00   8.279595e-02
  8.289211e-02    1.466022e+00   7.942130e-02
  8.510257e-02    1.424838e+00   7.727379e-02
