# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "de1drRIjL4808tcbs6B9ug==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000078.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.069220e+00   5.595263e-01
  3.315685e-03    1.410057e+00   3.906283e-01
  5.526141e-03    1.637612e+00   3.255199e-01
  7.736597e-03    1.663260e+00   2.771406e-01
  9.947054e-03    1.663370e+00   2.443268e-01
  1.215751e-02    1.405404e+00   2.030810e-01
  1.436797e-02    1.401574e+00   1.865451e-01
  1.657842e-02    1.455081e+00   1.769245e-01
  1.878888e-02    1.412189e+00   1.637231e-01
  2.099934e-02    1.209062e+00   1.433265e-01
  2.320979e-02    1.419786e+00   1.477217e-01
  2.542025e-02    1.437890e+00   1.420602e-01
  2.763070e-02    1.226563e+00   1.258448e-01
  2.984116e-02    1.422924e+00   1.304269e-01
  3.205162e-02    1.457394e+00   1.273722e-01
  3.426207e-02    1.388921e+00   1.202579e-01
  3.647253e-02    1.311872e+00   1.132754e-01
  3.868299e-02    1.292334e+00   1.091775e-01
  4.089344e-02    1.580267e+00   1.174210e-01
  4.310390e-02    1.537394e+00   1.128019e-01
  4.531436e-02    1.387104e+00   1.045010e-01
  4.752481e-02    1.380673e+00   1.018039e-01
  4.973527e-02    1.458004e+00   1.022660e-01
  5.194572e-02    1.481679e+00   1.008742e-01
  5.415618e-02    1.426702e+00   9.694055e-02
  5.636664e-02    1.364772e+00   9.293840e-02
  5.857709e-02    1.414314e+00   9.280845e-02
  6.078755e-02    1.352752e+00   8.909769e-02
  6.299801e-02    1.464448e+00   9.106120e-02
  6.520846e-02    1.488310e+00   9.023133e-02
  6.741892e-02    1.569505e+00   9.112366e-02
  6.962938e-02    1.520087e+00   8.824714e-02
  7.183983e-02    1.472832e+00   8.551627e-02
  7.405029e-02    1.400019e+00   8.211987e-02
  7.626074e-02    1.517287e+00   8.424113e-02
  7.847120e-02    1.470881e+00   8.176414e-02
  8.068166e-02    1.480526e+00   8.089959e-02
  8.289211e-02    1.517593e+00   8.080615e-02
  8.510257e-02    1.430443e+00   7.742561e-02
