# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "sEy05yuim2mNWFJk479eBA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000079.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.300655e+00   6.171177e-01
  3.315685e-03    1.275109e+00   3.714660e-01
  5.526141e-03    1.591744e+00   3.209289e-01
  7.736597e-03    1.361145e+00   2.507104e-01
  9.947054e-03    1.481267e+00   2.305649e-01
  1.215751e-02    1.543749e+00   2.128418e-01
  1.436797e-02    1.574183e+00   1.976985e-01
  1.657842e-02    1.357180e+00   1.708689e-01
  1.878888e-02    1.496862e+00   1.685599e-01
  2.099934e-02    1.488174e+00   1.590117e-01
  2.320979e-02    1.366666e+00   1.449319e-01
  2.542025e-02    1.483943e+00   1.443172e-01
  2.763070e-02    1.420553e+00   1.354313e-01
  2.984116e-02    1.405594e+00   1.296303e-01
  3.205162e-02    1.464983e+00   1.277034e-01
  3.426207e-02    1.479411e+00   1.241136e-01
  3.647253e-02    1.294922e+00   1.125412e-01
  3.868299e-02    1.485635e+00   1.170582e-01
  4.089344e-02    1.488857e+00   1.139744e-01
  4.310390e-02    1.480904e+00   1.107101e-01
  4.531436e-02    1.476664e+00   1.078218e-01
  4.752481e-02    1.372754e+00   1.015115e-01
  4.973527e-02    1.421121e+00   1.009642e-01
  5.194572e-02    1.434448e+00   9.925337e-02
  5.415618e-02    1.430301e+00   9.706274e-02
  5.636664e-02    1.419634e+00   9.478800e-02
  5.857709e-02    1.432119e+00   9.339082e-02
  6.078755e-02    1.507694e+00   9.406193e-02
  6.299801e-02    1.461303e+00   9.096341e-02
  6.520846e-02    1.514325e+00   9.101652e-02
  6.741892e-02    1.570908e+00   9.116439e-02
  6.962938e-02    1.444320e+00   8.601972e-02
  7.183983e-02    1.627984e+00   8.990775e-02
  7.405029e-02    1.462649e+00   8.393660e-02
  7.626074e-02    1.374672e+00   8.018441e-02
  7.847120e-02    1.357379e+00   7.854608e-02
  8.068166e-02    1.424481e+00   7.935360e-02
  8.289211e-02    1.411693e+00   7.793575e-02
  8.510257e-02    1.436211e+00   7.758155e-02
