# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166596",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "U6Te9Gnvi3PNQh2gzapm7A==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000083.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.512517e+00   8.577120e-01
  3.315685e-03    1.814224e+00   4.430889e-01
  5.526141e-03    1.605433e+00   3.223059e-01
  7.736597e-03    1.137607e+00   2.292009e-01
  9.947054e-03    1.430731e+00   2.265977e-01
  1.215751e-02    1.371400e+00   2.006091e-01
  1.436797e-02    1.450268e+00   1.897579e-01
  1.657842e-02    1.284052e+00   1.662018e-01
  1.878888e-02    1.371837e+00   1.613670e-01
  2.099934e-02    1.464737e+00   1.577545e-01
  2.320979e-02    1.161127e+00   1.335896e-01
  2.542025e-02    1.144162e+00   1.267223e-01
  2.763070e-02    1.189790e+00   1.239440e-01
  2.984116e-02    1.446100e+00   1.314848e-01
  3.205162e-02    1.427587e+00   1.260630e-01
  3.426207e-02    1.424367e+00   1.217828e-01
  3.647253e-02    1.472831e+00   1.200235e-01
  3.868299e-02    1.359665e+00   1.119855e-01
  4.089344e-02    1.318152e+00   1.072416e-01
  4.310390e-02    1.541046e+00   1.129358e-01
  4.531436e-02    1.554461e+00   1.106256e-01
  4.752481e-02    1.474261e+00   1.051977e-01
  4.973527e-02    1.328821e+00   9.763038e-02
  5.194572e-02    1.467292e+00   1.003832e-01
  5.415618e-02    1.467972e+00   9.833264e-02
  5.636664e-02    1.434891e+00   9.529598e-02
  5.857709e-02    1.411744e+00   9.272410e-02
  6.078755e-02    1.423123e+00   9.138574e-02
  6.299801e-02    1.439814e+00   9.029208e-02
  6.520846e-02    1.441565e+00   8.880302e-02
  6.741892e-02    1.425405e+00   8.683984e-02
  6.962938e-02    1.361949e+00   8.353083e-02
  7.183983e-02    1.365435e+00   8.233939e-02
  7.405029e-02    1.456860e+00   8.377030e-02
  7.626074e-02    1.437049e+00   8.198343e-02
  7.847120e-02    1.492841e+00   8.237225e-02
  8.068166e-02    1.433050e+00   7.959190e-02
  8.289211e-02    1.522038e+00   8.092438e-02
  8.510257e-02    1.486048e+00   7.891615e-02
  8.731303e-02    1.480296e+00   7.775691e-02
  8.952348e-02    1.384524e+00   7.426733e-02
  9.173394e-02    1.537429e+00   7.730922e-02
  9.394439e-02    1.533374e+00   7.629102e-02
  9.615485e-02    1.486881e+00   7.425538e-02
  9.836531e-02    1.509502e+00   7.397063e-02
  1.005758e-01    1.546170e+00   7.403686e-02
  1.027862e-01    1.554420e+00   7.342974e-02
  1.049967e-01    1.666176e+00   7.521775e-02
  1.072071e-01    1.666090e+00   7.443549e-02
  1.094176e-01    1.567690e+00   7.146980e-02
  1.116280e-01    1.509162e+00   6.942368e-02
  1.138385e-01    1.458354e+00   6.757791e-02
  1.160490e-01    1.612189e+00   7.037200e-02
  1.182594e-01    1.618358e+00   6.984296e-02
  1.204699e-01    1.604250e+00   6.889641e-02
  1.226803e-01    1.687444e+00   7.001790e-02
  1.248908e-01    1.674158e+00   6.912097e-02
  1.271012e-01    1.542892e+00   6.577505e-02
  1.293117e-01    1.504863e+00   6.440094e-02
  1.315222e-01    1.555183e+00   6.491484e-02
  1.337326e-01    1.555192e+00   6.437506e-02
  1.359431e-01    1.453366e+00   6.226836e-02
  1.381535e-01    1.468083e+00   6.342284e-02
  1.403640e-01    1.499095e+00   6.436597e-02
  1.425744e-01    1.528746e+00   6.510322e-02
  1.447849e-01    1.554125e+00   6.565652e-02
  1.469953e-01    1.672692e+00   6.807235e-02
  1.492058e-01    1.648710e+00   6.750409e-02
  1.514163e-01    1.648370e+00   6.738504e-02
  1.536267e-01    1.693027e+00   6.815836e-02
  1.558372e-01    1.655327e+00   6.724647e-02
  1.580476e-01    1.621133e+00   6.638679e-02
  1.602581e-01    1.585161e+00   6.547941e-02
  1.624685e-01    1.565874e+00   6.490165e-02
  1.646790e-01    1.658157e+00   6.659494e-02
  1.668895e-01    1.725265e+00   6.773301e-02
  1.690999e-01    1.712758e+00   6.728438e-02
  1.713104e-01    1.732106e+00   6.745336e-02
  1.735208e-01    1.807078e+00   6.868346e-02
  1.757313e-01    1.833753e+00   6.897172e-02
  1.779417e-01    1.769274e+00   6.752732e-02
  1.801522e-01    1.808334e+00   6.805119e-02
  1.823626e-01    1.929146e+00   7.005367e-02
  1.845731e-01    1.930614e+00   6.985329e-02
  1.867836e-01    1.983969e+00   7.057298e-02
  1.889940e-01    1.984180e+00   7.034613e-02
  1.912045e-01    1.913896e+00   6.885825e-02
  1.934149e-01    1.950638e+00   6.928340e-02
  1.956254e-01    1.896824e+00   6.809572e-02
  1.978358e-01    1.971635e+00   6.918763e-02
  2.000463e-01    2.033293e+00   7.002831e-02
  2.022568e-01    2.021873e+00   6.960221e-02
  2.044672e-01    1.917303e+00   6.754622e-02
  2.066777e-01    1.967194e+00   6.819229e-02
  2.088881e-01    2.022609e+00   6.891986e-02
  2.110986e-01    2.041731e+00   6.900745e-02
  2.133090e-01    2.005102e+00   6.816333e-02
  2.155195e-01    1.953548e+00   6.705817e-02
  2.177300e-01    1.944392e+00   6.637524e-02
  2.199404e-01    1.899087e+00   6.386895e-02
  2.221509e-01    1.849547e+00   6.199538e-02
  2.243613e-01    1.991003e+00   6.350701e-02
  2.265718e-01    2.000743e+00   6.296048e-02
  2.287822e-01    2.100748e+00   6.387623e-02
  2.309927e-01    2.184146e+00   6.453849e-02
  2.332031e-01    2.141092e+00   6.335232e-02
  2.354136e-01    2.181422e+00   6.342790e-02
  2.376241e-01    2.114042e+00   6.195601e-02
  2.398345e-01    2.155148e+00   6.209248e-02
  2.420450e-01    2.066490e+00   6.036737e-02
  2.442554e-01    2.171730e+00   6.145909e-02
  2.464659e-01    2.133407e+00   6.050545e-02
  2.486763e-01    2.172031e+00   6.064939e-02
  2.508868e-01    2.198438e+00   6.063205e-02
  2.530973e-01    2.132690e+00   5.934829e-02
  2.553077e-01    2.095579e+00   5.847280e-02
  2.575182e-01    2.100454e+00   5.819442e-02
  2.597286e-01    2.073187e+00   5.747938e-02
  2.619391e-01    2.033431e+00   5.659785e-02
  2.641495e-01    2.055343e+00   5.658704e-02
  2.663600e-01    2.090537e+00   5.675563e-02
  2.685704e-01    2.101921e+00   5.660146e-02
  2.707809e-01    2.051237e+00   5.561808e-02
  2.729914e-01    2.051229e+00   5.532814e-02
  2.752018e-01    2.045408e+00   5.496200e-02
  2.774123e-01    1.969570e+00   5.365796e-02
  2.796227e-01    1.955509e+00   5.320160e-02
  2.818332e-01    1.986181e+00   5.334975e-02
  2.840436e-01    1.921217e+00   5.221567e-02
  2.862541e-01    1.970041e+00   5.262081e-02
  2.884646e-01    1.959234e+00   5.222725e-02
  2.906750e-01    1.943816e+00   5.177468e-02
  2.928855e-01    1.919561e+00   5.121225e-02
  2.950959e-01    1.976362e+00   5.172572e-02
  2.973064e-01    1.909683e+00   5.061715e-02
  2.995168e-01    1.942945e+00   5.082481e-02
  3.017273e-01    1.999548e+00   5.133253e-02
  3.039377e-01    1.932765e+00   5.024702e-02
  3.061482e-01    1.923589e+00   4.991077e-02
  3.083587e-01    1.870159e+00   4.899968e-02
  3.105691e-01    1.960606e+00   4.995630e-02
  3.127796e-01    1.876780e+00   4.867122e-02
  3.149900e-01    1.855860e+00   4.819751e-02
  3.172005e-01    1.907705e+00   4.866628e-02
  3.194109e-01    1.953476e+00   4.904334e-02
  3.216214e-01    1.926945e+00   4.851043e-02
  3.238319e-01    1.888325e+00   4.783158e-02
  3.260423e-01    1.916272e+00   4.799230e-02
  3.282528e-01    1.870831e+00   4.723108e-02
  3.304632e-01    1.900706e+00   4.742228e-02
  3.326737e-01    1.844657e+00   4.653555e-02
  3.348841e-01    1.898880e+00   4.703145e-02
  3.370946e-01    1.864671e+00   4.643054e-02
  3.393050e-01    1.855363e+00   4.613908e-02
  3.415155e-01    1.876129e+00   4.622211e-02
  3.437260e-01    1.793419e+00   4.502427e-02
  3.459364e-01    1.891824e+00   4.607194e-02
