# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "MMFPFpBxkHYX4DxL3sD5gA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000084.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.921839e+00   7.501455e-01
  3.315685e-03    1.411426e+00   3.908179e-01
  5.526141e-03    1.388954e+00   2.997892e-01
  7.736597e-03    1.708748e+00   2.809048e-01
  9.947054e-03    1.732420e+00   2.493464e-01
  1.215751e-02    1.482403e+00   2.085699e-01
  1.436797e-02    1.477204e+00   1.915121e-01
  1.657842e-02    1.381888e+00   1.724173e-01
  1.878888e-02    1.396252e+00   1.627966e-01
  2.099934e-02    1.385928e+00   1.534520e-01
  2.320979e-02    1.292290e+00   1.409330e-01
  2.542025e-02    1.488114e+00   1.445199e-01
  2.763070e-02    1.532747e+00   1.406778e-01
  2.984116e-02    1.408233e+00   1.297519e-01
  3.205162e-02    1.527102e+00   1.303828e-01
  3.426207e-02    1.587630e+00   1.285729e-01
  3.647253e-02    1.420458e+00   1.178702e-01
  3.868299e-02    1.293932e+00   1.092449e-01
  4.089344e-02    1.332570e+00   1.078265e-01
  4.310390e-02    1.344320e+00   1.054812e-01
  4.531436e-02    1.456285e+00   1.070752e-01
  4.752481e-02    1.507198e+00   1.063663e-01
  4.973527e-02    1.572071e+00   1.061911e-01
  5.194572e-02    1.354567e+00   9.645022e-02
  5.415618e-02    1.364670e+00   9.480964e-02
  5.636664e-02    1.478911e+00   9.674671e-02
  5.857709e-02    1.351648e+00   9.072905e-02
  6.078755e-02    1.349437e+00   8.898845e-02
  6.299801e-02    1.421943e+00   8.972998e-02
  6.520846e-02    1.410016e+00   8.782592e-02
  6.741892e-02    1.487452e+00   8.870976e-02
  6.962938e-02    1.508124e+00   8.789919e-02
  7.183983e-02    1.551471e+00   8.776955e-02
  7.405029e-02    1.514075e+00   8.539942e-02
  7.626074e-02    1.537157e+00   8.479095e-02
  7.847120e-02    1.488113e+00   8.224168e-02
  8.068166e-02    1.510873e+00   8.172448e-02
  8.289211e-02    1.470898e+00   7.955329e-02
  8.510257e-02    1.334640e+00   7.478791e-02
  8.731303e-02    1.459042e+00   7.719666e-02
  8.952348e-02    1.583432e+00   7.942317e-02
  9.173394e-02    1.438676e+00   7.478515e-02
  9.394439e-02    1.442459e+00   7.399479e-02
  9.615485e-02    1.433241e+00   7.290366e-02
  9.836531e-02    1.484591e+00   7.335772e-02
  1.005758e-01    1.476740e+00   7.235549e-02
  1.027862e-01    1.410308e+00   6.994310e-02
  1.049967e-01    1.456793e+00   7.033297e-02
  1.072071e-01    1.513928e+00   7.095507e-02
  1.094176e-01    1.543156e+00   7.090833e-02
  1.116280e-01    1.465589e+00   6.841412e-02
  1.138385e-01    1.543971e+00   6.953330e-02
  1.160490e-01    1.569340e+00   6.943056e-02
  1.182594e-01    1.497176e+00   6.717718e-02
  1.204699e-01    1.537495e+00   6.744776e-02
  1.226803e-01    1.548706e+00   6.707782e-02
  1.248908e-01    1.503538e+00   6.550413e-02
  1.271012e-01    1.555585e+00   6.604502e-02
  1.293117e-01    1.622628e+00   6.687338e-02
  1.315222e-01    1.612939e+00   6.610925e-02
  1.337326e-01    1.576387e+00   6.481224e-02
  1.359431e-01    1.598732e+00   6.530819e-02
  1.381535e-01    1.535373e+00   6.486008e-02
  1.403640e-01    1.540491e+00   6.524862e-02
  1.425744e-01    1.548443e+00   6.552128e-02
  1.447849e-01    1.616411e+00   6.695928e-02
  1.469953e-01    1.574914e+00   6.605281e-02
  1.492058e-01    1.540438e+00   6.524993e-02
  1.514163e-01    1.498535e+00   6.424946e-02
  1.536267e-01    1.521139e+00   6.460584e-02
  1.558372e-01    1.463760e+00   6.323572e-02
  1.580476e-01    1.575664e+00   6.544916e-02
  1.602581e-01    1.672971e+00   6.726857e-02
  1.624685e-01    1.646944e+00   6.656052e-02
  1.646790e-01    1.593947e+00   6.529281e-02
  1.668895e-01    1.661003e+00   6.645957e-02
  1.690999e-01    1.683883e+00   6.671480e-02
  1.713104e-01    1.744708e+00   6.769830e-02
  1.735208e-01    1.832546e+00   6.916577e-02
  1.757313e-01    1.803728e+00   6.840473e-02
  1.779417e-01    1.798608e+00   6.808478e-02
  1.801522e-01    1.839898e+00   6.864254e-02
  1.823626e-01    1.911853e+00   6.973895e-02
  1.845731e-01    1.920417e+00   6.966859e-02
  1.867836e-01    1.898163e+00   6.903000e-02
