# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166622",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "bYpDacRHu6BOe+Z8UELSLw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000088.dat
#        q_A^-1              I           sigma 
  1.105228e-03    7.910774e-01   4.812784e-01
  3.315685e-03    1.259749e+00   3.692219e-01
  5.526141e-03    1.545058e+00   3.161874e-01
  7.736597e-03    1.439021e+00   2.577827e-01
  9.947054e-03    1.582659e+00   2.383253e-01
  1.215751e-02    1.483150e+00   2.086225e-01
  1.436797e-02    1.140328e+00   1.682638e-01
  1.657842e-02    1.483750e+00   1.786589e-01
  1.878888e-02    1.378146e+00   1.617377e-01
  2.099934e-02    1.139007e+00   1.391122e-01
  2.320979e-02    1.391729e+00   1.462548e-01
  2.542025e-02    1.337559e+00   1.370143e-01
  2.763070e-02    1.415270e+00   1.351792e-01
  2.984116e-02    1.513475e+00   1.345130e-01
  3.205162e-02    1.480294e+00   1.283690e-01
  3.426207e-02    1.561524e+00   1.275114e-01
  3.647253e-02    1.501609e+00   1.211904e-01
  3.868299e-02    1.372603e+00   1.125170e-01
  4.089344e-02    1.607517e+00   1.184291e-01
  4.310390e-02    1.344665e+00   1.054948e-01
  4.531436e-02    1.396528e+00   1.048554e-01
  4.752481e-02    1.427358e+00   1.035107e-01
  4.973527e-02    1.471765e+00   1.027475e-01
  5.194572e-02    1.395604e+00   9.790032e-02
  5.415618e-02    1.505234e+00   9.957279e-02
  5.636664e-02    1.466768e+00   9.634872e-02
  5.857709e-02    1.410443e+00   9.268135e-02
  6.078755e-02    1.450812e+00   9.227050e-02
  6.299801e-02    1.411100e+00   8.938720e-02
  6.520846e-02    1.353015e+00   8.603242e-02
  6.741892e-02    1.385191e+00   8.560608e-02
  6.962938e-02    1.447262e+00   8.610731e-02
  7.183983e-02    1.463377e+00   8.524131e-02
  7.405029e-02    1.494635e+00   8.484942e-02
  7.626074e-02    1.412064e+00   8.126762e-02
  7.847120e-02    1.461835e+00   8.151231e-02
  8.068166e-02    1.395855e+00   7.855223e-02
  8.289211e-02    1.388503e+00   7.729297e-02
  8.510257e-02    1.433724e+00   7.751437e-02
