# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166640",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "6je8Axgeyp6rTPsIP7RZbQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000090.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.018953e+00   5.462155e-01
  3.315685e-03    1.275094e+00   3.714639e-01
  5.526141e-03    1.431282e+00   3.043230e-01
  7.736597e-03    1.587693e+00   2.707718e-01
  9.947054e-03    1.408220e+00   2.248081e-01
  1.215751e-02    1.657499e+00   2.205440e-01
  1.436797e-02    1.535596e+00   1.952604e-01
  1.657842e-02    1.697605e+00   1.911009e-01
  1.878888e-02    1.517721e+00   1.697304e-01
  2.099934e-02    1.202590e+00   1.429424e-01
  2.320979e-02    1.292840e+00   1.409630e-01
  2.542025e-02    1.449260e+00   1.426207e-01
  2.763070e-02    1.408525e+00   1.348567e-01
  2.984116e-02    1.489663e+00   1.334506e-01
  3.205162e-02    1.429166e+00   1.261326e-01
  3.426207e-02    1.559689e+00   1.274365e-01
  3.647253e-02    1.492717e+00   1.208310e-01
  3.868299e-02    1.433442e+00   1.149835e-01
  4.089344e-02    1.403803e+00   1.106710e-01
  4.310390e-02    1.385822e+00   1.070971e-01
  4.531436e-02    1.587558e+00   1.117971e-01
  4.752481e-02    1.422073e+00   1.033190e-01
  4.973527e-02    1.368205e+00   9.906662e-02
  5.194572e-02    1.510316e+00   1.018443e-01
  5.415618e-02    1.466907e+00   9.829695e-02
  5.636664e-02    1.482813e+00   9.687425e-02
  5.857709e-02    1.535718e+00   9.670975e-02
  6.078755e-02    1.458399e+00   9.251146e-02
  6.299801e-02    1.414882e+00   8.950692e-02
  6.520846e-02    1.453530e+00   8.917081e-02
  6.741892e-02    1.439104e+00   8.725612e-02
  6.962938e-02    1.434363e+00   8.572271e-02
  7.183983e-02    1.505462e+00   8.645834e-02
  7.405029e-02    1.492445e+00   8.478721e-02
  7.626074e-02    1.504291e+00   8.387958e-02
  7.847120e-02    1.422041e+00   8.039519e-02
  8.068166e-02    1.442159e+00   7.984448e-02
  8.289211e-02    1.429249e+00   7.841890e-02
  8.510257e-02    1.536520e+00   8.024511e-02
  8.731303e-02    1.476570e+00   7.765897e-02
  8.952348e-02    1.458861e+00   7.623506e-02
  9.173394e-02    1.418948e+00   7.427064e-02
  9.394439e-02    1.479218e+00   7.493166e-02
  9.615485e-02    1.525097e+00   7.520355e-02
  9.836531e-02    1.496677e+00   7.365571e-02
  1.005758e-01    1.444068e+00   7.155061e-02
  1.027862e-01    1.450132e+00   7.092374e-02
  1.049967e-01    1.585781e+00   7.338064e-02
  1.072071e-01    1.579924e+00   7.248515e-02
  1.094176e-01    1.575206e+00   7.164090e-02
  1.116280e-01    1.626295e+00   7.206748e-02
  1.138385e-01    1.577781e+00   7.029052e-02
  1.160490e-01    1.568792e+00   6.941842e-02
  1.182594e-01    1.545569e+00   6.825422e-02
  1.204699e-01    1.520148e+00   6.706619e-02
  1.226803e-01    1.477218e+00   6.551138e-02
  1.248908e-01    1.546516e+00   6.643374e-02
