# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "wZltdgf+OqnCp/vc2oxKRw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000093.dat
#        q_A^-1              I           sigma 
  1.105228e-03    9.407477e-01   5.248359e-01
  3.315685e-03    1.104411e+00   3.457091e-01
  5.526141e-03    1.357833e+00   2.964116e-01
  7.736597e-03    1.456696e+00   2.593610e-01
  9.947054e-03    1.416989e+00   2.255069e-01
  1.215751e-02    1.541185e+00   2.126650e-01
  1.436797e-02    1.691961e+00   2.049609e-01
  1.657842e-02    1.685397e+00   1.904125e-01
  1.878888e-02    1.551682e+00   1.716188e-01
  2.099934e-02    1.502518e+00   1.597761e-01
  2.320979e-02    1.600090e+00   1.568213e-01
  2.542025e-02    1.532288e+00   1.466492e-01
  2.763070e-02    1.430736e+00   1.359159e-01
  2.984116e-02    1.456367e+00   1.319508e-01
  3.205162e-02    1.436782e+00   1.264683e-01
  3.426207e-02    1.615564e+00   1.296991e-01
  3.647253e-02    1.562402e+00   1.236193e-01
  3.868299e-02    1.432115e+00   1.149303e-01
  4.089344e-02    1.453054e+00   1.125956e-01
  4.310390e-02    1.625072e+00   1.159739e-01
  4.531436e-02    1.617241e+00   1.128374e-01
  4.752481e-02    1.429631e+00   1.035931e-01
  4.973527e-02    1.315606e+00   9.714372e-02
  5.194572e-02    1.299100e+00   9.445482e-02
  5.415618e-02    1.391687e+00   9.574355e-02
  5.636664e-02    1.430753e+00   9.515848e-02
  5.857709e-02    1.449949e+00   9.397036e-02
  6.078755e-02    1.349556e+00   8.899239e-02
  6.299801e-02    1.471950e+00   9.129414e-02
  6.520846e-02    1.462590e+00   8.944828e-02
  6.741892e-02    1.523375e+00   8.977457e-02
  6.962938e-02    1.486999e+00   8.728141e-02
  7.183983e-02    1.493739e+00   8.612106e-02
  7.405029e-02    1.549779e+00   8.640047e-02
  7.626074e-02    1.543838e+00   8.497501e-02
  7.847120e-02    1.584263e+00   8.485699e-02
  8.068166e-02    1.449471e+00   8.004663e-02
  8.289211e-02    1.508201e+00   8.055571e-02
  8.510257e-02    1.571489e+00   8.115311e-02
