# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166592",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "O228ckQfEFYpu53lmC40Cw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000094.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.071598e+00   5.601481e-01
  3.315685e-03    7.874045e-01   2.919069e-01
  5.526141e-03    1.325171e+00   2.928250e-01
  7.736597e-03    1.674338e+00   2.780620e-01
  9.947054e-03    2.030155e+00   2.699238e-01
  1.215751e-02    1.790803e+00   2.292411e-01
  1.436797e-02    1.388167e+00   1.856508e-01
  1.657842e-02    1.379475e+00   1.722667e-01
  1.878888e-02    1.502507e+00   1.688775e-01
  2.099934e-02    1.584281e+00   1.640658e-01
  2.320979e-02    1.306862e+00   1.417254e-01
  2.542025e-02    1.223128e+00   1.310223e-01
  2.763070e-02    1.395957e+00   1.342537e-01
  2.984116e-02    1.451955e+00   1.317507e-01
  3.205162e-02    1.419655e+00   1.257123e-01
  3.426207e-02    1.259311e+00   1.145095e-01
  3.647253e-02    1.375348e+00   1.159834e-01
  3.868299e-02    1.532055e+00   1.188729e-01
  4.089344e-02    1.411001e+00   1.109543e-01
  4.310390e-02    1.473395e+00   1.104291e-01
  4.531436e-02    1.433208e+00   1.062235e-01
  4.752481e-02    1.610988e+00   1.099677e-01
  4.973527e-02    1.501483e+00   1.037796e-01
  5.194572e-02    1.418133e+00   9.868733e-02
  5.415618e-02    1.383022e+00   9.544503e-02
  5.636664e-02    1.301382e+00   9.075438e-02
  5.857709e-02    1.431334e+00   9.336518e-02
  6.078755e-02    1.427491e+00   9.152589e-02
  6.299801e-02    1.454877e+00   9.076315e-02
  6.520846e-02    1.489891e+00   9.027926e-02
  6.741892e-02    1.593685e+00   9.182290e-02
  6.962938e-02    1.483214e+00   8.717028e-02
  7.183983e-02    1.397927e+00   8.331329e-02
  7.405029e-02    1.505393e+00   8.515422e-02
  7.626074e-02    1.512472e+00   8.410735e-02
  7.847120e-02    1.489422e+00   8.227785e-02
  8.068166e-02    1.577907e+00   8.351777e-02
  8.289211e-02    1.556842e+00   8.184441e-02
  8.510257e-02    1.418260e+00   7.709521e-02
