# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166592",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "CGMNK/ietrCPDxB3sWu2YA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000098.dat
#        q_A^-1              I           sigma 
  1.105228e-03    5.549250e-01   4.030919e-01
  3.315685e-03    8.898219e-01   3.103108e-01
  5.526141e-03    1.438209e+00   3.050585e-01
  7.736597e-03    1.341499e+00   2.488945e-01
  9.947054e-03    1.321711e+00   2.177934e-01
  1.215751e-02    1.360059e+00   1.997779e-01
  1.436797e-02    1.616636e+00   2.003466e-01
  1.657842e-02    1.664613e+00   1.892348e-01
  1.878888e-02    1.585191e+00   1.734620e-01
  2.099934e-02    1.343995e+00   1.511127e-01
  2.320979e-02    1.431030e+00   1.483055e-01
  2.542025e-02    1.539455e+00   1.469917e-01
  2.763070e-02    1.576645e+00   1.426781e-01
  2.984116e-02    1.377290e+00   1.283185e-01
  3.205162e-02    1.237352e+00   1.173635e-01
  3.426207e-02    1.209585e+00   1.122259e-01
  3.647253e-02    1.366295e+00   1.156011e-01
  3.868299e-02    1.544288e+00   1.193465e-01
  4.089344e-02    1.539768e+00   1.159066e-01
  4.310390e-02    1.371471e+00   1.065411e-01
  4.531436e-02    1.475710e+00   1.077870e-01
  4.752481e-02    1.674932e+00   1.121289e-01
  4.973527e-02    1.491489e+00   1.034337e-01
  5.194572e-02    1.396424e+00   9.792908e-02
  5.415618e-02    1.307270e+00   9.279433e-02
  5.636664e-02    1.326497e+00   9.162592e-02
  5.857709e-02    1.301583e+00   8.903288e-02
  6.078755e-02    1.478311e+00   9.314086e-02
  6.299801e-02    1.438910e+00   9.026375e-02
  6.520846e-02    1.541820e+00   9.183908e-02
  6.741892e-02    1.556291e+00   9.073926e-02
  6.962938e-02    1.459099e+00   8.645873e-02
  7.183983e-02    1.502628e+00   8.637694e-02
  7.405029e-02    1.466066e+00   8.403458e-02
  7.626074e-02    1.520662e+00   8.433478e-02
  7.847120e-02    1.458138e+00   8.140917e-02
  8.068166e-02    1.371017e+00   7.785021e-02
  8.289211e-02    1.471649e+00   7.957355e-02
  8.510257e-02    1.483370e+00   7.884499e-02
