# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166596",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "zPu3/7yHtX+izHOMRE3E3Q==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000099.dat
#        q_A^-1              I           sigma 
  1.105228e-03    5.763816e-01   4.108109e-01
  3.315685e-03    1.270683e+00   3.708208e-01
  5.526141e-03    1.432371e+00   3.044387e-01
  7.736597e-03    1.490312e+00   2.623366e-01
  9.947054e-03    1.748065e+00   2.504697e-01
  1.215751e-02    1.730929e+00   2.253763e-01
  1.436797e-02    1.190482e+00   1.719243e-01
  1.657842e-02    1.349006e+00   1.703536e-01
  1.878888e-02    1.339249e+00   1.594388e-01
  2.099934e-02    1.536544e+00   1.615752e-01
  2.320979e-02    1.618433e+00   1.577176e-01
  2.542025e-02    1.702752e+00   1.545914e-01
  2.763070e-02    1.646615e+00   1.458097e-01
  2.984116e-02    1.482094e+00   1.331111e-01
  3.205162e-02    1.534244e+00   1.306873e-01
  3.426207e-02    1.475858e+00   1.239644e-01
  3.647253e-02    1.324762e+00   1.138305e-01
  3.868299e-02    1.431476e+00   1.149047e-01
  4.089344e-02    1.491882e+00   1.140901e-01
  4.310390e-02    1.559758e+00   1.136194e-01
  4.531436e-02    1.402495e+00   1.050791e-01
  4.752481e-02    1.364457e+00   1.012043e-01
  4.973527e-02    1.517390e+00   1.043279e-01
  5.194572e-02    1.549228e+00   1.031480e-01
  5.415618e-02    1.520264e+00   1.000687e-01
  5.636664e-02    1.341864e+00   9.215511e-02
  5.857709e-02    1.432599e+00   9.340643e-02
  6.078755e-02    1.574473e+00   9.612247e-02
  6.299801e-02    1.625194e+00   9.592882e-02
  6.520846e-02    1.521726e+00   9.123866e-02
  6.741892e-02    1.531071e+00   9.000105e-02
  6.962938e-02    1.448566e+00   8.614609e-02
  7.183983e-02    1.360892e+00   8.220229e-02
  7.405029e-02    1.392469e+00   8.189813e-02
  7.626074e-02    1.504449e+00   8.388396e-02
  7.847120e-02    1.503667e+00   8.267038e-02
  8.068166e-02    1.483352e+00   8.097677e-02
  8.289211e-02    1.491322e+00   8.010367e-02
  8.510257e-02    1.450054e+00   7.795455e-02
  8.731303e-02    1.501582e+00   7.831397e-02
  8.952348e-02    1.569146e+00   7.906408e-02
  9.173394e-02    1.518271e+00   7.682606e-02
  9.394439e-02    1.551946e+00   7.675163e-02
  9.615485e-02    1.583712e+00   7.663512e-02
  9.836531e-02    1.610256e+00   7.639939e-02
  1.005758e-01    1.617110e+00   7.571627e-02
  1.027862e-01    1.560356e+00   7.356983e-02
  1.049967e-01    1.504026e+00   7.146405e-02
  1.072071e-01    1.573361e+00   7.233440e-02
  1.094176e-01    1.607164e+00   7.236400e-02
  1.116280e-01    1.567950e+00   7.076295e-02
  1.138385e-01    1.485705e+00   6.820869e-02
  1.160490e-01    1.487355e+00   6.759262e-02
  1.182594e-01    1.527930e+00   6.786362e-02
  1.204699e-01    1.597590e+00   6.875325e-02
  1.226803e-01    1.545684e+00   6.701235e-02
  1.248908e-01    1.505928e+00   6.555618e-02
  1.271012e-01    1.574225e+00   6.643955e-02
  1.293117e-01    1.608210e+00   6.657561e-02
  1.315222e-01    1.625103e+00   6.635806e-02
  1.337326e-01    1.604830e+00   6.539433e-02
  1.359431e-01    1.601464e+00   6.536398e-02
  1.381535e-01    1.556354e+00   6.530173e-02
  1.403640e-01    1.584289e+00   6.616965e-02
  1.425744e-01    1.632331e+00   6.727273e-02
  1.447849e-01    1.632808e+00   6.729805e-02
  1.469953e-01    1.562380e+00   6.578946e-02
  1.492058e-01    1.568505e+00   6.584167e-02
  1.514163e-01    1.531779e+00   6.495823e-02
  1.536267e-01    1.622176e+00   6.671695e-02
  1.558372e-01    1.691545e+00   6.797813e-02
  1.580476e-01    1.659278e+00   6.716332e-02
  1.602581e-01    1.622573e+00   6.624758e-02
  1.624685e-01    1.631386e+00   6.624538e-02
  1.646790e-01    1.688776e+00   6.720698e-02
  1.668895e-01    1.683285e+00   6.690388e-02
  1.690999e-01    1.661852e+00   6.627693e-02
  1.713104e-01    1.698054e+00   6.678702e-02
  1.735208e-01    1.748670e+00   6.756438e-02
  1.757313e-01    1.790497e+00   6.815336e-02
  1.779417e-01    1.886616e+00   6.973065e-02
  1.801522e-01    1.885688e+00   6.949144e-02
  1.823626e-01    1.947024e+00   7.037752e-02
  1.845731e-01    1.909646e+00   6.947292e-02
  1.867836e-01    1.936184e+00   6.971791e-02
  1.889940e-01    2.048760e+00   7.148171e-02
  1.912045e-01    2.044598e+00   7.117065e-02
  1.934149e-01    1.972835e+00   6.967649e-02
  1.956254e-01    1.972314e+00   6.943753e-02
  1.978358e-01    1.985489e+00   6.943031e-02
  2.000463e-01    2.037528e+00   7.010122e-02
  2.022568e-01    1.957402e+00   6.848349e-02
  2.044672e-01    2.050274e+00   6.984922e-02
  2.066777e-01    1.977286e+00   6.836700e-02
  2.088881e-01    1.927362e+00   6.727754e-02
  2.110986e-01    1.992462e+00   6.816973e-02
  2.133090e-01    2.046534e+00   6.886396e-02
  2.155195e-01    2.028540e+00   6.833315e-02
  2.177300e-01    1.935440e+00   6.622229e-02
  2.199404e-01    2.012918e+00   6.575522e-02
  2.221509e-01    1.922289e+00   6.320275e-02
  2.243613e-01    2.001428e+00   6.367306e-02
  2.265718e-01    2.012420e+00   6.314395e-02
  2.287822e-01    2.046542e+00   6.304674e-02
  2.309927e-01    2.049471e+00   6.251711e-02
  2.332031e-01    2.069828e+00   6.228907e-02
  2.354136e-01    2.143421e+00   6.287303e-02
  2.376241e-01    2.181216e+00   6.293264e-02
  2.398345e-01    2.131293e+00   6.174788e-02
  2.420450e-01    2.166822e+00   6.181548e-02
  2.442554e-01    2.120736e+00   6.073325e-02
  2.464659e-01    2.143870e+00   6.065364e-02
  2.486763e-01    2.088680e+00   5.947432e-02
  2.508868e-01    2.021286e+00   5.813787e-02
  2.530973e-01    2.057495e+00   5.829261e-02
  2.553077e-01    2.073172e+00   5.815934e-02
  2.575182e-01    2.128823e+00   5.858608e-02
  2.597286e-01    2.133457e+00   5.830888e-02
  2.619391e-01    2.134952e+00   5.799351e-02
  2.641495e-01    2.029478e+00   5.622987e-02
  2.663600e-01    2.135397e+00   5.736135e-02
  2.685704e-01    2.090845e+00   5.645214e-02
  2.707809e-01    2.090768e+00   5.615144e-02
  2.729914e-01    2.142295e+00   5.654296e-02
  2.752018e-01    2.016639e+00   5.457411e-02
  2.774123e-01    2.036458e+00   5.456149e-02
  2.796227e-01    1.990519e+00   5.367574e-02
  2.818332e-01    1.968679e+00   5.311418e-02
  2.840436e-01    1.972456e+00   5.290738e-02
  2.862541e-01    1.964705e+00   5.254951e-02
  2.884646e-01    1.935377e+00   5.190829e-02
  2.906750e-01    1.924858e+00   5.152158e-02
  2.928855e-01    1.978242e+00   5.198913e-02
  2.950959e-01    1.948823e+00   5.136408e-02
  2.973064e-01    1.975581e+00   5.148306e-02
  2.995168e-01    1.986229e+00   5.138782e-02
  3.017273e-01    1.959977e+00   5.082205e-02
  3.039377e-01    1.921737e+00   5.010347e-02
  3.061482e-01    1.964735e+00   5.044171e-02
  3.083587e-01    1.935847e+00   4.985283e-02
  3.105691e-01    1.846813e+00   4.848490e-02
  3.127796e-01    1.934523e+00   4.941425e-02
  3.149900e-01    1.903434e+00   4.881139e-02
  3.172005e-01    1.911423e+00   4.871367e-02
  3.194109e-01    1.939013e+00   4.886147e-02
  3.216214e-01    1.893898e+00   4.809265e-02
  3.238319e-01    1.875630e+00   4.767052e-02
  3.260423e-01    1.910505e+00   4.792002e-02
  3.282528e-01    1.914622e+00   4.778067e-02
  3.304632e-01    1.893302e+00   4.732981e-02
  3.326737e-01    1.848620e+00   4.658552e-02
  3.348841e-01    1.905388e+00   4.711198e-02
  3.370946e-01    1.854079e+00   4.629848e-02
  3.393050e-01    1.882885e+00   4.648001e-02
  3.415155e-01    1.882173e+00   4.629649e-02
  3.437260e-01    1.863132e+00   4.589100e-02
  3.459364e-01    1.906528e+00   4.625063e-02
  3.481469e-01    1.884092e+00   4.580989e-02
  3.503573e-01    1.808720e+00   4.472072e-02
  3.525678e-01    1.854064e+00   4.511643e-02
  3.547782e-01    1.875639e+00   4.521419e-02
  3.569887e-01    1.844271e+00   4.467566e-02
  3.591992e-01    1.817399e+00   4.419206e-02
  3.614096e-01    1.808939e+00   4.393623e-02
  3.636201e-01    1.772592e+00   4.333973e-02
  3.658305e-01    1.790486e+00   4.340936e-02
  3.680410e-01    1.781053e+00   4.314595e-02
  3.702514e-01    1.764375e+00   4.279904e-02
  3.724619e-01    1.788563e+00   4.294468e-02
  3.746724e-01    1.778107e+00   4.267608e-02
  3.768828e-01    1.842205e+00   4.329233e-02
  3.790933e-01    1.826681e+00   4.296904e-02
  3.813037e-01    1.865879e+00   4.328556e-02
  3.835142e-01    1.843285e+00   4.288137e-02
  3.857246e-01    1.910159e+00   4.351103e-02
  3.879351e-01    1.850476e+00   4.268728e-02
  3.901455e-01    1.848626e+00   4.253011e-02
  3.923560e-01    1.800225e+00   4.183626e-02
  3.945665e-01    1.795889e+00   4.165333e-02
  3.967769e-01    1.779521e+00   4.133321e-02
  3.989874e-01    1.796223e+00   4.139708e-02
  4.011978e-01    1.755377e+00   4.079784e-02
  4.034083e-01    1.762075e+00   4.075010e-02
  4.056187e-01    1.809607e+00   4.116885e-02
  4.078292e-01    1.833616e+00   4.131565e-02
  4.100397e-01    1.833983e+00   4.119362e-02
  4.122501e-01    1.791145e+00   4.058790e-02
  4.144606e-01    1.823214e+00   4.082819e-02
  4.166710e-01    1.757284e+00   3.996401e-02
  4.188815e-01    1.804595e+00   4.037877e-02
  4.210919e-01    1.889183e+00   4.119320e-02
  4.233024e-01    1.874033e+00   4.090706e-02
  4.255128e-01    1.799327e+00   3.996753e-02
  4.277233e-01    1.803184e+00   3.989537e-02
  4.299338e-01    1.807523e+00   3.982843e-02
  4.321442e-01    1.785047e+00   3.946676e-02
  4.343547e-01    1.786742e+00   3.937385e-02
  4.365651e-01    1.774804e+00   3.913059e-02
  4.387756e-01    1.826559e+00   3.958587e-02
  4.409860e-01    1.774932e+00   3.891432e-02
  4.431965e-01    1.724565e+00   3.825215e-02
  4.454070e-01    1.660755e+00   3.743337e-02
  4.476174e-01    1.697735e+00   3.774390e-02
  4.498279e-01    1.772219e+00   3.845806e-02
  4.520383e-01    1.790742e+00   3.855243e-02
