# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166618",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "NUrhglpMcxOdhQOwHKe3RA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000102.dat
#        q_A^-1              I           sigma 
  1.105228e-03    9.515287e-01   5.278347e-01
  3.315685e-03    1.015672e+00   3.315295e-01
  5.526141e-03    1.111978e+00   2.682379e-01
  7.736597e-03    1.278895e+00   2.430176e-01
  9.947054e-03    1.238144e+00   2.107959e-01
  1.215751e-02    1.238945e+00   1.906753e-01
  1.436797e-02    1.434649e+00   1.887333e-01
  1.657842e-02    1.405497e+00   1.738839e-01
  1.878888e-02    1.442214e+00   1.654544e-01
  2.099934e-02    1.508855e+00   1.601127e-01
  2.320979e-02    1.590124e+00   1.563322e-01
  2.542025e-02    1.539491e+00   1.469935e-01
  2.763070e-02    1.447745e+00   1.367214e-01
  2.984116e-02    1.376220e+00   1.282686e-01
  3.205162e-02    1.358805e+00   1.229886e-01
  3.426207e-02    1.460291e+00   1.233089e-01
  3.647253e-02    1.453729e+00   1.192426e-01
  3.868299e-02    1.452960e+00   1.157637e-01
  4.089344e-02    1.508882e+00   1.147383e-01
  4.310390e-02    1.429548e+00   1.087735e-01
  4.531436e-02    1.492490e+00   1.083981e-01
  4.752481e-02    1.283841e+00   9.816905e-02
  4.973527e-02    1.426993e+00   1.011726e-01
  5.194572e-02    1.389978e+00   9.770277e-02
  5.415618e-02    1.414473e+00   9.652419e-02
  5.636664e-02    1.314423e+00   9.120797e-02
  5.857709e-02    1.337373e+00   9.024867e-02
  6.078755e-02    1.452302e+00   9.231786e-02
  6.299801e-02    1.443562e+00   9.040952e-02
  6.520846e-02    1.475369e+00   8.983818e-02
  6.741892e-02    1.546461e+00   9.045225e-02
  6.962938e-02    1.480304e+00   8.708470e-02
  7.183983e-02    1.509776e+00   8.658212e-02
  7.405029e-02    1.505493e+00   8.515707e-02
  7.626074e-02    1.495939e+00   8.364639e-02
  7.847120e-02    1.506874e+00   8.275849e-02
  8.068166e-02    1.485317e+00   8.103038e-02
  8.289211e-02    1.516757e+00   8.078386e-02
  8.510257e-02    1.526697e+00   7.998819e-02
  8.731303e-02    1.407354e+00   7.581699e-02
  8.952348e-02    1.421530e+00   7.525331e-02
  9.173394e-02    1.453537e+00   7.517040e-02
  9.394439e-02    1.439986e+00   7.393132e-02
  9.615485e-02    1.519555e+00   7.506680e-02
  9.836531e-02    1.512248e+00   7.403789e-02
  1.005758e-01    1.416930e+00   7.087507e-02
  1.027862e-01    1.508285e+00   7.233184e-02
  1.049967e-01    1.541261e+00   7.234326e-02
  1.072071e-01    1.559550e+00   7.201624e-02
  1.094176e-01    1.586672e+00   7.190118e-02
  1.116280e-01    1.585726e+00   7.116294e-02
  1.138385e-01    1.508733e+00   6.873524e-02
  1.160490e-01    1.477738e+00   6.737375e-02
  1.182594e-01    1.529201e+00   6.789183e-02
  1.204699e-01    1.551452e+00   6.775321e-02
  1.226803e-01    1.538525e+00   6.685695e-02
  1.248908e-01    1.602913e+00   6.763423e-02
  1.271012e-01    1.577509e+00   6.650881e-02
  1.293117e-01    1.640593e+00   6.724256e-02
  1.315222e-01    1.644983e+00   6.676271e-02
  1.337326e-01    1.644010e+00   6.618780e-02
  1.359431e-01    1.629018e+00   6.592388e-02
  1.381535e-01    1.544814e+00   6.505919e-02
  1.403640e-01    1.453887e+00   6.338801e-02
  1.425744e-01    1.484346e+00   6.415084e-02
  1.447849e-01    1.572631e+00   6.604627e-02
  1.469953e-01    1.597557e+00   6.652594e-02
  1.492058e-01    1.627426e+00   6.706695e-02
  1.514163e-01    1.605252e+00   6.649785e-02
  1.536267e-01    1.635063e+00   6.698144e-02
  1.558372e-01    1.683084e+00   6.780793e-02
  1.580476e-01    1.668859e+00   6.735690e-02
  1.602581e-01    1.668847e+00   6.718563e-02
  1.624685e-01    1.610742e+00   6.582491e-02
  1.646790e-01    1.686208e+00   6.715588e-02
  1.668895e-01    1.704145e+00   6.731715e-02
  1.690999e-01    1.664460e+00   6.632893e-02
  1.713104e-01    1.761477e+00   6.802283e-02
  1.735208e-01    1.887137e+00   7.018845e-02
  1.757313e-01    1.819908e+00   6.871085e-02
  1.779417e-01    1.917361e+00   7.029650e-02
  1.801522e-01    1.917094e+00   7.006775e-02
  1.823626e-01    1.860185e+00   6.879015e-02
  1.845731e-01    2.030574e+00   7.163884e-02
  1.867836e-01    1.975023e+00   7.041371e-02
  1.889940e-01    1.978733e+00   7.024948e-02
  1.912045e-01    1.991666e+00   7.024334e-02
  1.934149e-01    2.019990e+00   7.050428e-02
  1.956254e-01    2.014523e+00   7.017660e-02
  1.978358e-01    1.973955e+00   6.922837e-02
  2.000463e-01    1.945092e+00   6.849262e-02
  2.022568e-01    1.999666e+00   6.921888e-02
  2.044672e-01    2.052288e+00   6.988354e-02
  2.066777e-01    1.949218e+00   6.788003e-02
  2.088881e-01    1.942699e+00   6.754470e-02
  2.110986e-01    1.972840e+00   6.783323e-02
  2.133090e-01    2.041126e+00   6.877292e-02
  2.155195e-01    2.041912e+00   6.855799e-02
  2.177300e-01    2.038822e+00   6.796790e-02
  2.199404e-01    2.039139e+00   6.618211e-02
  2.221509e-01    2.002886e+00   6.451413e-02
  2.243613e-01    1.966697e+00   6.311820e-02
  2.265718e-01    2.030169e+00   6.342179e-02
  2.287822e-01    2.110164e+00   6.401923e-02
  2.309927e-01    2.127986e+00   6.370336e-02
  2.332031e-01    2.177432e+00   6.388769e-02
  2.354136e-01    2.167197e+00   6.322076e-02
  2.376241e-01    2.184591e+00   6.298131e-02
  2.398345e-01    2.143603e+00   6.192593e-02
  2.420450e-01    2.251217e+00   6.300778e-02
  2.442554e-01    2.261853e+00   6.272136e-02
  2.464659e-01    2.188210e+00   6.127766e-02
  2.486763e-01    2.208254e+00   6.115303e-02
  2.508868e-01    2.204746e+00   6.071899e-02
  2.530973e-01    2.090402e+00   5.875694e-02
  2.553077e-01    2.173221e+00   5.954615e-02
  2.575182e-01    2.166340e+00   5.910010e-02
  2.597286e-01    2.094387e+00   5.777251e-02
  2.619391e-01    2.062762e+00   5.700459e-02
  2.641495e-01    2.050055e+00   5.651420e-02
  2.663600e-01    2.124612e+00   5.721630e-02
  2.685704e-01    2.096189e+00   5.652424e-02
  2.707809e-01    2.034578e+00   5.539176e-02
  2.729914e-01    1.999837e+00   5.463062e-02
  2.752018e-01    2.008001e+00   5.445711e-02
  2.774123e-01    2.006716e+00   5.416158e-02
  2.796227e-01    2.070742e+00   5.474669e-02
  2.818332e-01    2.077758e+00   5.456579e-02
  2.840436e-01    2.032245e+00   5.370327e-02
  2.862541e-01    1.976153e+00   5.270237e-02
  2.884646e-01    2.023270e+00   5.307388e-02
  2.906750e-01    2.000618e+00   5.252571e-02
  2.928855e-01    1.979814e+00   5.200980e-02
  2.950959e-01    1.910197e+00   5.085251e-02
  2.973064e-01    1.947608e+00   5.111728e-02
  2.995168e-01    1.971957e+00   5.120287e-02
  3.017273e-01    1.984015e+00   5.113273e-02
  3.039377e-01    1.973552e+00   5.077444e-02
  3.061482e-01    1.872709e+00   4.924626e-02
  3.083587e-01    1.906222e+00   4.946987e-02
  3.105691e-01    1.935764e+00   4.963879e-02
  3.127796e-01    1.985698e+00   5.006360e-02
  3.149900e-01    1.970989e+00   4.967000e-02
  3.172005e-01    1.949891e+00   4.920144e-02
  3.194109e-01    1.903345e+00   4.840999e-02
  3.216214e-01    1.861988e+00   4.768576e-02
  3.238319e-01    1.983417e+00   4.902112e-02
  3.260423e-01    1.958285e+00   4.851556e-02
  3.282528e-01    1.829383e+00   4.670498e-02
  3.304632e-01    1.838311e+00   4.663739e-02
  3.326737e-01    1.889383e+00   4.709633e-02
  3.348841e-01    1.855192e+00   4.648728e-02
  3.370946e-01    1.881603e+00   4.664087e-02
  3.393050e-01    1.851175e+00   4.608697e-02
  3.415155e-01    1.887154e+00   4.635770e-02
  3.437260e-01    1.887244e+00   4.618701e-02
  3.459364e-01    1.810039e+00   4.506508e-02
  3.481469e-01    1.837899e+00   4.524481e-02
  3.503573e-01    1.892746e+00   4.574770e-02
  3.525678e-01    1.879718e+00   4.542752e-02
  3.547782e-01    1.838689e+00   4.476662e-02
  3.569887e-01    1.816910e+00   4.434301e-02
  3.591992e-01    1.844044e+00   4.451483e-02
  3.614096e-01    1.853510e+00   4.447420e-02
  3.636201e-01    1.822372e+00   4.394410e-02
  3.658305e-01    1.830954e+00   4.389717e-02
  3.680410e-01    1.860679e+00   4.409988e-02
  3.702514e-01    1.788471e+00   4.309032e-02
  3.724619e-01    1.818273e+00   4.329989e-02
  3.746724e-01    1.782692e+00   4.273109e-02
  3.768828e-01    1.783039e+00   4.259145e-02
  3.790933e-01    1.816107e+00   4.284450e-02
  3.813037e-01    1.821953e+00   4.277301e-02
  3.835142e-01    1.784502e+00   4.219208e-02
  3.857246e-01    1.813521e+00   4.239609e-02
  3.879351e-01    1.851941e+00   4.270416e-02
  3.901455e-01    1.833359e+00   4.235412e-02
  3.923560e-01    1.832876e+00   4.221395e-02
  3.945665e-01    1.816478e+00   4.189140e-02
  3.967769e-01    1.789691e+00   4.145117e-02
  3.989874e-01    1.830933e+00   4.179514e-02
  4.011978e-01    1.805864e+00   4.138039e-02
  4.034083e-01    1.786260e+00   4.102881e-02
  4.056187e-01    1.816580e+00   4.124810e-02
  4.078292e-01    1.809980e+00   4.104851e-02
  4.100397e-01    1.750543e+00   4.024563e-02
  4.122501e-01    1.794890e+00   4.063030e-02
  4.144606e-01    1.795031e+00   4.051140e-02
  4.166710e-01    1.823057e+00   4.070504e-02
  4.188815e-01    1.782135e+00   4.012671e-02
  4.210919e-01    1.820530e+00   4.043780e-02
  4.233024e-01    1.803461e+00   4.012941e-02
  4.255128e-01    1.800383e+00   3.997924e-02
  4.277233e-01    1.778076e+00   3.961666e-02
  4.299338e-01    1.790159e+00   3.963665e-02
  4.321442e-01    1.806360e+00   3.970166e-02
  4.343547e-01    1.777802e+00   3.927521e-02
  4.365651e-01    1.825322e+00   3.968358e-02
  4.387756e-01    1.830397e+00   3.962746e-02
  4.409860e-01    1.770069e+00   3.886097e-02
  4.431965e-01    1.805578e+00   3.914030e-02
  4.454070e-01    1.802884e+00   3.900228e-02
  4.476174e-01    1.763710e+00   3.847030e-02
  4.498279e-01    1.766089e+00   3.839150e-02
  4.520383e-01    1.736037e+00   3.795899e-02
  4.542488e-01    1.733480e+00   3.782877e-02
  4.564592e-01    1.739508e+00   3.779281e-02
  4.586697e-01    1.747185e+00   3.777558e-02
  4.608801e-01    1.761401e+00   3.782735e-02
  4.630906e-01    1.742087e+00   3.751979e-02
  4.653011e-01    1.704581e+00   3.701610e-02
  4.675115e-01    1.716972e+00   3.705255e-02
  4.697220e-01    1.719799e+00   3.698596e-02
  4.719324e-01    1.714329e+00   3.683157e-02
  4.741429e-01    1.774312e+00   3.737383e-02
  4.763533e-01    1.732203e+00   3.683302e-02
  4.785638e-01    1.724803e+00   3.665930e-02
  4.807743e-01    1.713017e+00   3.644093e-02
  4.829847e-01    1.707876e+00   3.629429e-02
  4.851952e-01    1.731004e+00   3.644675e-02
  4.874056e-01    1.686875e+00   3.588846e-02
  4.896161e-01    1.684058e+00   3.576956e-02
  4.918265e-01    1.720044e+00   3.605991e-02
  4.940370e-01    1.718511e+00   3.595489e-02
  4.962475e-01    1.691229e+00   3.558025e-02
  4.984579e-01    1.723979e+00   3.583455e-02
  5.006684e-01    1.748197e+00   3.599739e-02
  5.028788e-01    1.767410e+00   3.610697e-02
  5.050893e-01    1.720787e+00   3.554090e-02
  5.072997e-01    1.650560e+00   3.472406e-02
  5.095102e-01    1.670133e+00   3.484566e-02
  5.117206e-01    1.691815e+00   3.498772e-02
  5.139311e-01    1.668200e+00   3.466046e-02
  5.161416e-01    1.659493e+00   3.448820e-02
  5.183520e-01    1.687464e+00   3.469498e-02
  5.205625e-01    1.658299e+00   3.431329e-02
  5.227729e-01    1.704610e+00   3.470796e-02
  5.249834e-01    1.713102e+00   3.471356e-02
  5.271938e-01    1.704205e+00   3.454249e-02
  5.294043e-01    1.758249e+00   3.500497e-02
  5.316148e-01    1.725240e+00   3.459540e-02
  5.338252e-01    1.784545e+00   3.510457e-02
  5.360357e-01    1.773611e+00   3.491719e-02
  5.382461e-01    1.765595e+00   3.475945e-02
  5.404566e-01    1.748509e+00   3.451213e-02
  5.426670e-01    1.708243e+00   3.403557e-02
  5.448775e-01    1.729766e+00   3.417279e-02
  5.470879e-01    1.732813e+00   3.412660e-02
  5.492984e-01    1.749972e+00   3.421889e-02
  5.515089e-01    1.773563e+00   3.437236e-02
  5.537193e-01    1.870771e+00   3.522399e-02
  5.559298e-01    1.822349e+00   3.468890e-02
  5.581402e-01    1.816229e+00   3.455492e-02
  5.603507e-01    1.845855e+00   3.475979e-02
  5.625611e-01    1.853145e+00   3.475279e-02
  5.647716e-01    1.799008e+00   3.416708e-02
  5.669821e-01    1.797783e+00   3.408178e-02
  5.691925e-01    1.773659e+00   3.377970e-02
  5.714030e-01    1.762009e+00   3.359676e-02
  5.736134e-01    1.773560e+00   3.363505e-02
  5.758239e-01    1.745579e+00   3.329743e-02
  5.780343e-01    1.717702e+00   3.296061e-02
  5.802448e-01    1.705102e+00   3.277075e-02
  5.824552e-01    1.691752e+00   3.257373e-02
  5.846657e-01    1.637164e+00   3.197709e-02
