# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166614",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "83irU2Tb2iFrriNhj4k6vw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000103.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.304126e+00   8.213723e-01
  3.315685e-03    1.396549e+00   3.887528e-01
  5.526141e-03    1.420681e+00   3.031939e-01
  7.736597e-03    1.661734e+00   2.770135e-01
  9.947054e-03    1.237140e+00   2.107104e-01
  1.215751e-02    1.249816e+00   1.915101e-01
  1.436797e-02    1.296931e+00   1.794462e-01
  1.657842e-02    1.316111e+00   1.682638e-01
  1.878888e-02    1.341410e+00   1.595674e-01
  2.099934e-02    1.329989e+00   1.503232e-01
  2.320979e-02    1.453002e+00   1.494397e-01
  2.542025e-02    1.416896e+00   1.410193e-01
  2.763070e-02    1.537451e+00   1.408935e-01
  2.984116e-02    1.396395e+00   1.292054e-01
  3.205162e-02    1.366260e+00   1.233255e-01
  3.426207e-02    1.398215e+00   1.206596e-01
  3.647253e-02    1.298519e+00   1.126974e-01
  3.868299e-02    1.521808e+00   1.184747e-01
  4.089344e-02    1.659778e+00   1.203388e-01
  4.310390e-02    1.401133e+00   1.076871e-01
  4.531436e-02    1.369170e+00   1.038232e-01
  4.752481e-02    1.356956e+00   1.009257e-01
  4.973527e-02    1.359030e+00   9.873391e-02
  5.194572e-02    1.487527e+00   1.010731e-01
  5.415618e-02    1.381830e+00   9.540390e-02
  5.636664e-02    1.418788e+00   9.475976e-02
  5.857709e-02    1.512676e+00   9.598149e-02
  6.078755e-02    1.515626e+00   9.430906e-02
  6.299801e-02    1.463520e+00   9.103236e-02
  6.520846e-02    1.347092e+00   8.584388e-02
  6.741892e-02    1.410611e+00   8.638801e-02
  6.962938e-02    1.482572e+00   8.715136e-02
  7.183983e-02    1.511272e+00   8.662503e-02
  7.405029e-02    1.501850e+00   8.505397e-02
  7.626074e-02    1.367357e+00   7.997076e-02
  7.847120e-02    1.377928e+00   7.913840e-02
  8.068166e-02    1.566949e+00   8.322727e-02
  8.289211e-02    1.533913e+00   8.123947e-02
  8.510257e-02    1.525781e+00   7.996418e-02
  8.731303e-02    1.510348e+00   7.854222e-02
  8.952348e-02    1.701828e+00   8.233897e-02
  9.173394e-02    1.570067e+00   7.812554e-02
  9.394439e-02    1.423774e+00   7.351397e-02
  9.615485e-02    1.478938e+00   7.405674e-02
  9.836531e-02    1.482810e+00   7.331371e-02
  1.005758e-01    1.509261e+00   7.314785e-02
  1.027862e-01    1.551413e+00   7.335868e-02
  1.049967e-01    1.612879e+00   7.400496e-02
  1.072071e-01    1.547592e+00   7.173961e-02
  1.094176e-01    1.471777e+00   6.924899e-02
  1.116280e-01    1.491934e+00   6.902628e-02
  1.138385e-01    1.499660e+00   6.852827e-02
  1.160490e-01    1.468902e+00   6.717202e-02
  1.182594e-01    1.473590e+00   6.664594e-02
  1.204699e-01    1.515774e+00   6.696962e-02
  1.226803e-01    1.555362e+00   6.722179e-02
  1.248908e-01    1.661141e+00   6.885171e-02
  1.271012e-01    1.621934e+00   6.743881e-02
  1.293117e-01    1.637891e+00   6.718715e-02
  1.315222e-01    1.571586e+00   6.525630e-02
  1.337326e-01    1.524871e+00   6.374441e-02
  1.359431e-01    1.593993e+00   6.521133e-02
  1.381535e-01    1.537379e+00   6.490243e-02
  1.403640e-01    1.535448e+00   6.514173e-02
  1.425744e-01    1.598611e+00   6.657425e-02
  1.447849e-01    1.540761e+00   6.537363e-02
  1.469953e-01    1.557387e+00   6.568422e-02
  1.492058e-01    1.580153e+00   6.608570e-02
  1.514163e-01    1.606045e+00   6.651429e-02
  1.536267e-01    1.559428e+00   6.541389e-02
  1.558372e-01    1.626437e+00   6.665706e-02
  1.580476e-01    1.646390e+00   6.690191e-02
  1.602581e-01    1.711969e+00   6.804810e-02
  1.624685e-01    1.684100e+00   6.730715e-02
  1.646790e-01    1.681605e+00   6.706417e-02
  1.668895e-01    1.675246e+00   6.674391e-02
  1.690999e-01    1.735966e+00   6.773870e-02
  1.713104e-01    1.741036e+00   6.762704e-02
  1.735208e-01    1.836616e+00   6.924253e-02
  1.757313e-01    1.912479e+00   7.043668e-02
  1.779417e-01    1.807099e+00   6.824533e-02
  1.801522e-01    1.816600e+00   6.820653e-02
  1.823626e-01    1.960773e+00   7.062557e-02
  1.845731e-01    1.918426e+00   6.963245e-02
  1.867836e-01    2.019214e+00   7.119708e-02
  1.889940e-01    2.007508e+00   7.075843e-02
  1.912045e-01    2.051098e+00   7.128368e-02
  1.934149e-01    1.965600e+00   6.954863e-02
  1.956254e-01    1.934147e+00   6.876238e-02
  1.978358e-01    1.911015e+00   6.811573e-02
  2.000463e-01    1.994769e+00   6.936172e-02
  2.022568e-01    1.982682e+00   6.892433e-02
  2.044672e-01    1.898960e+00   6.722232e-02
  2.066777e-01    1.905763e+00   6.711908e-02
  2.088881e-01    2.089296e+00   7.004682e-02
  2.110986e-01    2.046846e+00   6.909384e-02
  2.133090e-01    2.046070e+00   6.885616e-02
  2.155195e-01    2.006043e+00   6.795318e-02
  2.177300e-01    1.923529e+00   6.601819e-02
  2.199404e-01    1.957579e+00   6.484504e-02
  2.221509e-01    1.914939e+00   6.308182e-02
  2.243613e-01    1.925059e+00   6.244644e-02
  2.265718e-01    2.104860e+00   6.457790e-02
  2.287822e-01    2.120599e+00   6.417732e-02
  2.309927e-01    2.119247e+00   6.357241e-02
  2.332031e-01    2.183596e+00   6.397804e-02
  2.354136e-01    2.182132e+00   6.343826e-02
  2.376241e-01    2.170885e+00   6.278342e-02
  2.398345e-01    2.218621e+00   6.300022e-02
  2.420450e-01    2.247404e+00   6.295440e-02
  2.442554e-01    2.207289e+00   6.196020e-02
  2.464659e-01    2.186630e+00   6.125556e-02
  2.486763e-01    2.114751e+00   5.984432e-02
  2.508868e-01    2.157194e+00   6.006061e-02
  2.530973e-01    2.240652e+00   6.083190e-02
  2.553077e-01    2.087515e+00   5.836020e-02
  2.575182e-01    2.081371e+00   5.792944e-02
  2.597286e-01    2.120777e+00   5.813537e-02
  2.619391e-01    2.021325e+00   5.642914e-02
  2.641495e-01    2.093821e+00   5.711425e-02
  2.663600e-01    2.116778e+00   5.711075e-02
  2.685704e-01    2.056087e+00   5.598096e-02
  2.707809e-01    2.021245e+00   5.520997e-02
  2.729914e-01    2.033863e+00   5.509342e-02
  2.752018e-01    1.972245e+00   5.397007e-02
  2.774123e-01    2.031379e+00   5.449339e-02
  2.796227e-01    2.080954e+00   5.488154e-02
  2.818332e-01    1.997845e+00   5.350615e-02
  2.840436e-01    2.009621e+00   5.340351e-02
  2.862541e-01    1.969339e+00   5.261142e-02
  2.884646e-01    2.045303e+00   5.336210e-02
  2.906750e-01    1.967661e+00   5.209127e-02
  2.928855e-01    1.965040e+00   5.181537e-02
  2.950959e-01    1.984833e+00   5.183645e-02
  2.973064e-01    2.018063e+00   5.203366e-02
  2.995168e-01    1.971092e+00   5.119163e-02
  3.017273e-01    1.985546e+00   5.115248e-02
  3.039377e-01    1.905686e+00   4.989379e-02
  3.061482e-01    1.914386e+00   4.979122e-02
  3.083587e-01    1.940974e+00   4.991877e-02
  3.105691e-01    1.950550e+00   4.982802e-02
  3.127796e-01    1.927203e+00   4.932069e-02
  3.149900e-01    1.926903e+00   4.911136e-02
  3.172005e-01    1.924941e+00   4.888564e-02
  3.194109e-01    1.889394e+00   4.823223e-02
  3.216214e-01    1.912089e+00   4.832306e-02
  3.238319e-01    1.899649e+00   4.797479e-02
  3.260423e-01    1.839444e+00   4.702040e-02
  3.282528e-01    1.894564e+00   4.752972e-02
  3.304632e-01    1.922535e+00   4.769382e-02
  3.326737e-01    1.942788e+00   4.775731e-02
  3.348841e-01    1.864899e+00   4.660875e-02
  3.370946e-01    1.856069e+00   4.632331e-02
  3.393050e-01    1.872471e+00   4.635131e-02
  3.415155e-01    1.802444e+00   4.530532e-02
  3.437260e-01    1.860426e+00   4.585765e-02
  3.459364e-01    1.887528e+00   4.601962e-02
  3.481469e-01    1.794149e+00   4.470307e-02
