# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166602",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "R8QgExzu06ovTHOBdpkIXw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000104.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.128390e+00   5.747999e-01
  3.315685e-03    1.161018e+00   3.544582e-01
  5.526141e-03    1.715543e+00   3.331753e-01
  7.736597e-03    1.635703e+00   2.748353e-01
  9.947054e-03    1.385546e+00   2.229909e-01
  1.215751e-02    1.329045e+00   1.974869e-01
  1.436797e-02    1.242227e+00   1.756209e-01
  1.657842e-02    1.480072e+00   1.784373e-01
  1.878888e-02    1.490838e+00   1.682204e-01
  2.099934e-02    1.318236e+00   1.496575e-01
  2.320979e-02    1.422027e+00   1.478382e-01
  2.542025e-02    1.448116e+00   1.425644e-01
  2.763070e-02    1.246391e+00   1.268579e-01
  2.984116e-02    1.478710e+00   1.329591e-01
  3.205162e-02    1.511844e+00   1.297298e-01
  3.426207e-02    1.373681e+00   1.195963e-01
  3.647253e-02    1.578360e+00   1.242490e-01
  3.868299e-02    1.536880e+00   1.190599e-01
  4.089344e-02    1.551953e+00   1.163644e-01
  4.310390e-02    1.356282e+00   1.059495e-01
  4.531436e-02    1.492028e+00   1.083813e-01
  4.752481e-02    1.457945e+00   1.046139e-01
  4.973527e-02    1.393911e+00   9.999295e-02
  5.194572e-02    1.608240e+00   1.050941e-01
  5.415618e-02    1.487724e+00   9.899200e-02
  5.636664e-02    1.369939e+00   9.311415e-02
  5.857709e-02    1.569634e+00   9.777185e-02
  6.078755e-02    1.468384e+00   9.282760e-02
  6.299801e-02    1.440557e+00   9.031539e-02
  6.520846e-02    1.459282e+00   8.934706e-02
  6.741892e-02    1.543852e+00   9.037592e-02
  6.962938e-02    1.381064e+00   8.411498e-02
  7.183983e-02    1.459733e+00   8.513512e-02
  7.405029e-02    1.546114e+00   8.629827e-02
  7.626074e-02    1.576150e+00   8.585965e-02
  7.847120e-02    1.556282e+00   8.410431e-02
  8.068166e-02    1.557986e+00   8.298891e-02
  8.289211e-02    1.546642e+00   8.157584e-02
  8.510257e-02    1.488092e+00   7.897042e-02
  8.731303e-02    1.381235e+00   7.511013e-02
  8.952348e-02    1.538803e+00   7.829590e-02
  9.173394e-02    1.555405e+00   7.775988e-02
  9.394439e-02    1.474275e+00   7.480635e-02
  9.615485e-02    1.550724e+00   7.583278e-02
  9.836531e-02    1.513436e+00   7.406692e-02
  1.005758e-01    1.569439e+00   7.459190e-02
  1.027862e-01    1.462158e+00   7.121722e-02
  1.049967e-01    1.438554e+00   6.989128e-02
  1.072071e-01    1.523987e+00   7.119039e-02
  1.094176e-01    1.543741e+00   7.092178e-02
  1.116280e-01    1.547480e+00   7.029948e-02
  1.138385e-01    1.529979e+00   6.921753e-02
  1.160490e-01    1.573673e+00   6.952630e-02
  1.182594e-01    1.619526e+00   6.986816e-02
  1.204699e-01    1.609668e+00   6.901268e-02
  1.226803e-01    1.567724e+00   6.748840e-02
  1.248908e-01    1.563025e+00   6.678740e-02
  1.271012e-01    1.615821e+00   6.731159e-02
  1.293117e-01    1.599937e+00   6.640417e-02
  1.315222e-01    1.570912e+00   6.524227e-02
  1.337326e-01    1.574752e+00   6.477862e-02
  1.359431e-01    1.601596e+00   6.536667e-02
  1.381535e-01    1.577999e+00   6.575426e-02
  1.403640e-01    1.616526e+00   6.683949e-02
  1.425744e-01    1.558076e+00   6.572480e-02
  1.447849e-01    1.523226e+00   6.500055e-02
  1.469953e-01    1.504478e+00   6.455887e-02
  1.492058e-01    1.463383e+00   6.359704e-02
  1.514163e-01    1.426171e+00   6.267898e-02
  1.536267e-01    1.503309e+00   6.422607e-02
  1.558372e-01    1.604611e+00   6.620829e-02
  1.580476e-01    1.634060e+00   6.665094e-02
  1.602581e-01    1.642397e+00   6.665106e-02
  1.624685e-01    1.630808e+00   6.623364e-02
  1.646790e-01    1.707917e+00   6.758679e-02
  1.668895e-01    1.707951e+00   6.739227e-02
  1.690999e-01    1.724268e+00   6.751007e-02
  1.713104e-01    1.818660e+00   6.911816e-02
  1.735208e-01    1.771922e+00   6.801210e-02
  1.757313e-01    1.759712e+00   6.756495e-02
  1.779417e-01    1.720121e+00   6.658268e-02
  1.801522e-01    1.836396e+00   6.857716e-02
  1.823626e-01    1.934898e+00   7.015802e-02
  1.845731e-01    1.892966e+00   6.916885e-02
  1.867836e-01    1.943954e+00   6.985767e-02
  1.889940e-01    1.910512e+00   6.902787e-02
  1.912045e-01    1.955238e+00   6.959800e-02
  1.934149e-01    1.927556e+00   6.887226e-02
  1.956254e-01    1.993992e+00   6.981807e-02
  1.978358e-01    1.967836e+00   6.912097e-02
  2.000463e-01    1.962748e+00   6.880277e-02
  2.022568e-01    2.019362e+00   6.955894e-02
  2.044672e-01    2.021251e+00   6.935308e-02
  2.066777e-01    1.948441e+00   6.786649e-02
  2.088881e-01    2.030740e+00   6.905825e-02
  2.110986e-01    2.004619e+00   6.837741e-02
  2.133090e-01    1.963122e+00   6.744599e-02
  2.155195e-01    1.983913e+00   6.757731e-02
  2.177300e-01    1.925712e+00   6.605563e-02
  2.199404e-01    1.975753e+00   6.514537e-02
  2.221509e-01    1.932764e+00   6.337474e-02
  2.243613e-01    1.961149e+00   6.302907e-02
  2.265718e-01    2.070492e+00   6.404853e-02
  2.287822e-01    2.084696e+00   6.363174e-02
  2.309927e-01    2.104740e+00   6.335445e-02
  2.332031e-01    2.188030e+00   6.404296e-02
  2.354136e-01    2.185673e+00   6.348969e-02
  2.376241e-01    2.134815e+00   6.225967e-02
  2.398345e-01    2.085439e+00   6.108002e-02
  2.420450e-01    2.066227e+00   6.036354e-02
  2.442554e-01    2.142104e+00   6.103843e-02
  2.464659e-01    2.222584e+00   6.175708e-02
  2.486763e-01    2.188670e+00   6.088126e-02
  2.508868e-01    2.162237e+00   6.013077e-02
  2.530973e-01    2.160399e+00   5.973257e-02
  2.553077e-01    2.195397e+00   5.984920e-02
  2.575182e-01    2.145386e+00   5.881358e-02
  2.597286e-01    2.079472e+00   5.756644e-02
  2.619391e-01    2.034093e+00   5.660708e-02
  2.641495e-01    2.006141e+00   5.590565e-02
  2.663600e-01    2.007619e+00   5.561868e-02
  2.685704e-01    2.009996e+00   5.534993e-02
  2.707809e-01    1.996987e+00   5.487768e-02
