# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166668",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "JQjB3TmVaCjScXJDsByy1Q==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000105.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.866317e+00   7.392301e-01
  3.315685e-03    1.617935e+00   4.184331e-01
  5.526141e-03    1.577391e+00   3.194786e-01
  7.736597e-03    1.418328e+00   2.559225e-01
  9.947054e-03    1.272546e+00   2.137043e-01
  1.215751e-02    1.290519e+00   1.946035e-01
  1.436797e-02    1.389810e+00   1.857606e-01
  1.657842e-02    1.282020e+00   1.660702e-01
  1.878888e-02    1.516277e+00   1.696496e-01
  2.099934e-02    1.846005e+00   1.771000e-01
  2.320979e-02    1.606162e+00   1.571186e-01
  2.542025e-02    1.331099e+00   1.366830e-01
  2.763070e-02    1.417033e+00   1.352634e-01
  2.984116e-02    1.535254e+00   1.354773e-01
  3.205162e-02    1.502517e+00   1.293290e-01
  3.426207e-02    1.482729e+00   1.242527e-01
  3.647253e-02    1.245186e+00   1.103588e-01
  3.868299e-02    1.420074e+00   1.144461e-01
  4.089344e-02    1.406709e+00   1.107855e-01
  4.310390e-02    1.520093e+00   1.121654e-01
  4.531436e-02    1.525710e+00   1.095978e-01
  4.752481e-02    1.478875e+00   1.053622e-01
  4.973527e-02    1.418642e+00   1.008761e-01
  5.194572e-02    1.473723e+00   1.006030e-01
  5.415618e-02    1.497131e+00   9.930444e-02
  5.636664e-02    1.609624e+00   1.009317e-01
  5.857709e-02    1.547084e+00   9.706699e-02
  6.078755e-02    1.491313e+00   9.354955e-02
  6.299801e-02    1.532609e+00   9.315629e-02
  6.520846e-02    1.471267e+00   8.971325e-02
  6.741892e-02    1.476760e+00   8.839034e-02
  6.962938e-02    1.392068e+00   8.444941e-02
  7.183983e-02    1.403474e+00   8.347842e-02
  7.405029e-02    1.448391e+00   8.352647e-02
  7.626074e-02    1.464455e+00   8.276150e-02
  7.847120e-02    1.498775e+00   8.253577e-02
  8.068166e-02    1.433003e+00   7.959062e-02
  8.289211e-02    1.550324e+00   8.167290e-02
  8.510257e-02    1.392868e+00   7.640193e-02
