# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166600",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "MuY0ZfCoGYcNlESVptOvAg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000112.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.460360e+00   6.539084e-01
  3.315685e-03    1.248727e+00   3.676032e-01
  5.526141e-03    1.104802e+00   2.673711e-01
  7.736597e-03    1.365194e+00   2.510830e-01
  9.947054e-03    1.339044e+00   2.192169e-01
  1.215751e-02    1.352780e+00   1.992426e-01
  1.436797e-02    1.408396e+00   1.869986e-01
  1.657842e-02    1.583610e+00   1.845732e-01
  1.878888e-02    1.485060e+00   1.678942e-01
  2.099934e-02    1.506330e+00   1.599787e-01
  2.320979e-02    1.466753e+00   1.501452e-01
  2.542025e-02    1.395477e+00   1.399494e-01
  2.763070e-02    1.330299e+00   1.310584e-01
  2.984116e-02    1.497082e+00   1.337825e-01
  3.205162e-02    1.419473e+00   1.257042e-01
  3.426207e-02    1.457782e+00   1.232030e-01
  3.647253e-02    1.401440e+00   1.170785e-01
  3.868299e-02    1.450439e+00   1.156632e-01
  4.089344e-02    1.403895e+00   1.106746e-01
  4.310390e-02    1.472859e+00   1.104090e-01
  4.531436e-02    1.391538e+00   1.046678e-01
  4.752481e-02    1.351141e+00   1.007093e-01
  4.973527e-02    1.333495e+00   9.780194e-02
  5.194572e-02    1.483515e+00   1.009367e-01
  5.415618e-02    1.437755e+00   9.731533e-02
  5.636664e-02    1.383517e+00   9.357448e-02
  5.857709e-02    1.343319e+00   9.044908e-02
  6.078755e-02    1.386603e+00   9.020557e-02
  6.299801e-02    1.562222e+00   9.405196e-02
  6.520846e-02    1.410450e+00   8.783942e-02
  6.741892e-02    1.407182e+00   8.628298e-02
  6.962938e-02    1.431847e+00   8.564749e-02
  7.183983e-02    1.387961e+00   8.301581e-02
  7.405029e-02    1.448357e+00   8.352547e-02
  7.626074e-02    1.494962e+00   8.361908e-02
  7.847120e-02    1.402645e+00   7.984503e-02
  8.068166e-02    1.429387e+00   7.949013e-02
  8.289211e-02    1.460864e+00   7.928146e-02
  8.510257e-02    1.455694e+00   7.810602e-02
  8.731303e-02    1.389971e+00   7.534729e-02
  8.952348e-02    1.404382e+00   7.479801e-02
  9.173394e-02    1.493679e+00   7.620133e-02
  9.394439e-02    1.501205e+00   7.548652e-02
  9.615485e-02    1.497875e+00   7.452939e-02
  9.836531e-02    1.415597e+00   7.163286e-02
  1.005758e-01    1.506879e+00   7.309010e-02
  1.027862e-01    1.562470e+00   7.361964e-02
  1.049967e-01    1.548504e+00   7.251306e-02
  1.072071e-01    1.451923e+00   6.948684e-02
  1.094176e-01    1.470228e+00   6.921252e-02
  1.116280e-01    1.567078e+00   7.074324e-02
  1.138385e-01    1.549121e+00   6.964917e-02
  1.160490e-01    1.497978e+00   6.783359e-02
  1.182594e-01    1.534065e+00   6.799971e-02
  1.204699e-01    1.556407e+00   6.786131e-02
  1.226803e-01    1.581645e+00   6.778737e-02
  1.248908e-01    1.581619e+00   6.718349e-02
  1.271012e-01    1.595610e+00   6.688930e-02
  1.293117e-01    1.535689e+00   6.505722e-02
  1.315222e-01    1.505845e+00   6.387682e-02
  1.337326e-01    1.528387e+00   6.381786e-02
  1.359431e-01    1.605474e+00   6.544574e-02
  1.381535e-01    1.641052e+00   6.705510e-02
  1.403640e-01    1.603120e+00   6.656174e-02
  1.425744e-01    1.629328e+00   6.721082e-02
  1.447849e-01    1.523297e+00   6.500208e-02
  1.469953e-01    1.542714e+00   6.537408e-02
  1.492058e-01    1.585493e+00   6.619726e-02
  1.514163e-01    1.633233e+00   6.707493e-02
  1.536267e-01    1.658151e+00   6.745272e-02
  1.558372e-01    1.582670e+00   6.575406e-02
  1.580476e-01    1.536864e+00   6.463835e-02
  1.602581e-01    1.477860e+00   6.322438e-02
  1.624685e-01    1.618828e+00   6.598991e-02
  1.646790e-01    1.643626e+00   6.630251e-02
  1.668895e-01    1.723927e+00   6.770672e-02
  1.690999e-01    1.764328e+00   6.828983e-02
  1.713104e-01    1.662363e+00   6.608143e-02
  1.735208e-01    1.684098e+00   6.630516e-02
  1.757313e-01    1.737803e+00   6.714302e-02
  1.779417e-01    1.769406e+00   6.752982e-02
  1.801522e-01    1.826649e+00   6.839494e-02
  1.823626e-01    1.839295e+00   6.840283e-02
  1.845731e-01    1.911940e+00   6.951463e-02
  1.867836e-01    1.953104e+00   7.002189e-02
