# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166614",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "XRGkyqI7tXAzTKROZj5AdQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000116.dat
#        q_A^-1              I           sigma 
  1.105228e-03    4.337184e-01   3.563615e-01
  3.315685e-03    1.292740e+00   3.740253e-01
  5.526141e-03    1.276251e+00   2.873692e-01
  7.736597e-03    1.219036e+00   2.372621e-01
  9.947054e-03    1.300882e+00   2.160705e-01
  1.215751e-02    1.561925e+00   2.140912e-01
  1.436797e-02    1.445908e+00   1.894725e-01
  1.657842e-02    1.378702e+00   1.722184e-01
  1.878888e-02    1.446463e+00   1.656979e-01
  2.099934e-02    1.300419e+00   1.486427e-01
  2.320979e-02    1.433654e+00   1.484414e-01
  2.542025e-02    1.429357e+00   1.416380e-01
  2.763070e-02    1.318853e+00   1.304934e-01
  2.984116e-02    1.453848e+00   1.318366e-01
  3.205162e-02    1.316312e+00   1.210503e-01
  3.426207e-02    1.285079e+00   1.156751e-01
  3.647253e-02    1.466194e+00   1.197527e-01
  3.868299e-02    1.473856e+00   1.165932e-01
  4.089344e-02    1.478687e+00   1.135845e-01
  4.310390e-02    1.400555e+00   1.076648e-01
  4.531436e-02    1.573187e+00   1.112900e-01
  4.752481e-02    1.363530e+00   1.011699e-01
  4.973527e-02    1.401954e+00   1.002810e-01
  5.194572e-02    1.287001e+00   9.401395e-02
  5.415618e-02    1.302679e+00   9.263127e-02
  5.636664e-02    1.209776e+00   8.750191e-02
  5.857709e-02    1.473304e+00   9.472413e-02
  6.078755e-02    1.461846e+00   9.262072e-02
  6.299801e-02    1.316982e+00   8.635478e-02
  6.520846e-02    1.491417e+00   9.032546e-02
  6.741892e-02    1.441341e+00   8.732394e-02
  6.962938e-02    1.345934e+00   8.303826e-02
  7.183983e-02    1.565117e+00   8.815470e-02
  7.405029e-02    1.466256e+00   8.404002e-02
  7.626074e-02    1.407065e+00   8.112364e-02
  7.847120e-02    1.332070e+00   7.781038e-02
  8.068166e-02    1.379952e+00   7.810343e-02
  8.289211e-02    1.541888e+00   8.145038e-02
  8.510257e-02    1.465547e+00   7.836989e-02
