# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166602",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "7erFkfuCEoe7rgxdEbl2Hg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000119.dat
#        q_A^-1              I           sigma 
  1.105228e-03    7.916975e-01   4.814671e-01
  3.315685e-03    9.330501e-01   3.177590e-01
  5.526141e-03    1.122876e+00   2.695492e-01
  7.736597e-03    1.119354e+00   2.273548e-01
  9.947054e-03    1.135011e+00   2.018258e-01
  1.215751e-02    1.268969e+00   1.929719e-01
  1.436797e-02    1.309160e+00   1.802903e-01
  1.657842e-02    1.062352e+00   1.511745e-01
  1.878888e-02    1.008886e+00   1.383836e-01
  2.099934e-02    1.022797e+00   1.318247e-01
  2.320979e-02    1.097214e+00   1.298609e-01
  2.542025e-02    1.165225e+00   1.278834e-01
  2.763070e-02    1.290100e+00   1.290631e-01
  2.984116e-02    1.014840e+00   1.101477e-01
  3.205162e-02    1.104805e+00   1.108994e-01
  3.426207e-02    1.220047e+00   1.127101e-01
  3.647253e-02    1.157292e+00   1.063926e-01
  3.868299e-02    1.256206e+00   1.076406e-01
  4.089344e-02    1.326170e+00   1.075673e-01
  4.310390e-02    1.137675e+00   9.703601e-02
  4.531436e-02    1.152442e+00   9.525225e-02
  4.752481e-02    1.186147e+00   9.436007e-02
  4.973527e-02    1.259506e+00   9.504994e-02
  5.194572e-02    1.279519e+00   9.374029e-02
  5.415618e-02    1.209516e+00   8.925747e-02
  5.636664e-02    1.232104e+00   8.830573e-02
  5.857709e-02    1.219593e+00   8.618309e-02
  6.078755e-02    1.248423e+00   8.559299e-02
  6.299801e-02    1.208934e+00   8.273660e-02
  6.520846e-02    1.240974e+00   8.239331e-02
  6.741892e-02    1.281797e+00   8.234922e-02
  6.962938e-02    1.271707e+00   8.071602e-02
  7.183983e-02    1.337456e+00   8.149141e-02
  7.405029e-02    1.343691e+00   8.045091e-02
  7.626074e-02    1.373363e+00   8.014621e-02
  7.847120e-02    1.220423e+00   7.447822e-02
  8.068166e-02    1.273466e+00   7.502946e-02
  8.289211e-02    1.236682e+00   7.294504e-02
  8.510257e-02    1.200588e+00   7.093269e-02
  8.731303e-02    1.235314e+00   7.103188e-02
  8.952348e-02    1.295014e+00   7.182650e-02
  9.173394e-02    1.410527e+00   7.404990e-02
  9.394439e-02    1.331045e+00   7.107974e-02
  9.615485e-02    1.267665e+00   6.856333e-02
  9.836531e-02    1.322329e+00   6.923283e-02
  1.005758e-01    1.318617e+00   6.837207e-02
  1.027862e-01    1.257129e+00   6.603555e-02
  1.049967e-01    1.216824e+00   6.427970e-02
  1.072071e-01    1.224115e+00   6.380311e-02
  1.094176e-01    1.288911e+00   6.480430e-02
  1.116280e-01    1.287136e+00   6.411386e-02
  1.138385e-01    1.321978e+00   6.434064e-02
  1.160490e-01    1.354175e+00   6.449552e-02
  1.182594e-01    1.315580e+00   6.297150e-02
  1.204699e-01    1.356043e+00   6.334281e-02
  1.226803e-01    1.390009e+00   6.354821e-02
  1.248908e-01    1.344566e+00   6.194446e-02
  1.271012e-01    1.394232e+00   6.252601e-02
  1.293117e-01    1.441187e+00   6.302372e-02
  1.315222e-01    1.422063e+00   6.207441e-02
  1.337326e-01    1.467190e+00   6.252716e-02
  1.359431e-01    1.443054e+00   6.204706e-02
  1.381535e-01    1.296862e+00   5.960977e-02
  1.403640e-01    1.371830e+00   6.157321e-02
  1.425744e-01    1.364389e+00   6.150411e-02
  1.447849e-01    1.325619e+00   6.063791e-02
  1.469953e-01    1.377439e+00   6.177306e-02
  1.492058e-01    1.341377e+00   6.088822e-02
  1.514163e-01    1.396771e+00   6.202954e-02
  1.536267e-01    1.413829e+00   6.228534e-02
  1.558372e-01    1.346281e+00   6.064505e-02
  1.580476e-01    1.391624e+00   6.150823e-02
  1.602581e-01    1.413089e+00   6.182338e-02
  1.624685e-01    1.449416e+00   6.244157e-02
  1.646790e-01    1.435305e+00   6.195846e-02
  1.668895e-01    1.422394e+00   6.150102e-02
  1.690999e-01    1.448566e+00   6.187788e-02
  1.713104e-01    1.526603e+00   6.332561e-02
  1.735208e-01    1.513842e+00   6.286430e-02
  1.757313e-01    1.485080e+00   6.206911e-02
  1.779417e-01    1.545964e+00   6.312210e-02
  1.801522e-01    1.531153e+00   6.261896e-02
  1.823626e-01    1.586393e+00   6.352630e-02
  1.845731e-01    1.666955e+00   6.490842e-02
  1.867836e-01    1.712102e+00   6.555955e-02
  1.889940e-01    1.686498e+00   6.485487e-02
  1.912045e-01    1.656280e+00   6.405658e-02
  1.934149e-01    1.697873e+00   6.463883e-02
  1.956254e-01    1.672349e+00   6.393955e-02
  1.978358e-01    1.750380e+00   6.519008e-02
  2.000463e-01    1.737626e+00   6.473690e-02
  2.022568e-01    1.707659e+00   6.396561e-02
  2.044672e-01    1.647959e+00   6.262227e-02
  2.066777e-01    1.649062e+00   6.243531e-02
  2.088881e-01    1.727199e+00   6.368829e-02
  2.110986e-01    1.757220e+00   6.401914e-02
  2.133090e-01    1.658055e+00   6.198434e-02
  2.155195e-01    1.759883e+00   6.364749e-02
  2.177300e-01    1.794500e+00   6.376553e-02
  2.199404e-01    1.768175e+00   6.162825e-02
  2.221509e-01    1.689270e+00   5.924835e-02
  2.243613e-01    1.635160e+00   5.755271e-02
  2.265718e-01    1.740154e+00   5.871733e-02
  2.287822e-01    1.757048e+00   5.841765e-02
  2.309927e-01    1.806297e+00   5.869113e-02
  2.332031e-01    1.888433e+00   5.949707e-02
  2.354136e-01    1.884520e+00   5.895369e-02
  2.376241e-01    1.906635e+00   5.883832e-02
  2.398345e-01    1.950756e+00   5.907475e-02
  2.420450e-01    1.902126e+00   5.791690e-02
  2.442554e-01    1.767936e+00   5.545193e-02
  2.464659e-01    1.841292e+00   5.621067e-02
  2.486763e-01    1.851923e+00   5.600220e-02
  2.508868e-01    1.818192e+00   5.513976e-02
  2.530973e-01    1.872709e+00   5.561339e-02
  2.553077e-01    1.867798e+00   5.520353e-02
  2.575182e-01    1.876604e+00   5.500612e-02
  2.597286e-01    1.826733e+00   5.395484e-02
  2.619391e-01    1.759891e+00   5.265363e-02
  2.641495e-01    1.724649e+00   5.183527e-02
  2.663600e-01    1.816403e+00   5.290369e-02
  2.685704e-01    1.787148e+00   5.219152e-02
  2.707809e-01    1.738656e+00   5.120530e-02
  2.729914e-01    1.693934e+00   5.027906e-02
  2.752018e-01    1.729849e+00   5.054482e-02
  2.774123e-01    1.760124e+00   5.072476e-02
  2.796227e-01    1.795213e+00   5.097449e-02
  2.818332e-01    1.703402e+00   4.940623e-02
  2.840436e-01    1.740757e+00   4.970288e-02
  2.862541e-01    1.697065e+00   4.883929e-02
  2.884646e-01    1.729078e+00   4.906379e-02
  2.906750e-01    1.732681e+00   4.888203e-02
  2.928855e-01    1.704602e+00   4.825968e-02
  2.950959e-01    1.686969e+00   4.778889e-02
  2.973064e-01    1.676996e+00   4.743325e-02
  2.995168e-01    1.649236e+00   4.682601e-02
  3.017273e-01    1.623620e+00   4.625607e-02
  3.039377e-01    1.663840e+00   4.662046e-02
  3.061482e-01    1.690035e+00   4.678276e-02
  3.083587e-01    1.678577e+00   4.642209e-02
  3.105691e-01    1.672139e+00   4.613509e-02
  3.127796e-01    1.606351e+00   4.502832e-02
  3.149900e-01    1.643142e+00   4.535128e-02
  3.172005e-01    1.616174e+00   4.479367e-02
  3.194109e-01    1.608687e+00   4.450530e-02
  3.216214e-01    1.626928e+00   4.457430e-02
  3.238319e-01    1.648259e+00   4.468781e-02
  3.260423e-01    1.627336e+00   4.422640e-02
  3.282528e-01    1.605186e+00   4.374951e-02
  3.304632e-01    1.589600e+00   4.336796e-02
  3.326737e-01    1.569428e+00   4.292376e-02
  3.348841e-01    1.612580e+00   4.334114e-02
  3.370946e-01    1.596025e+00   4.295588e-02
  3.393050e-01    1.592831e+00   4.275031e-02
  3.415155e-01    1.568802e+00   4.226710e-02
  3.437260e-01    1.603760e+00   4.257703e-02
  3.459364e-01    1.583210e+00   4.214689e-02
  3.481469e-01    1.516934e+00   4.110469e-02
  3.503573e-01    1.549875e+00   4.139724e-02
  3.525678e-01    1.559102e+00   4.137230e-02
  3.547782e-01    1.616370e+00   4.197304e-02
  3.569887e-01    1.610693e+00   4.175081e-02
  3.591992e-01    1.536863e+00   4.063844e-02
  3.614096e-01    1.509933e+00   4.014111e-02
  3.636201e-01    1.565022e+00   4.072322e-02
  3.658305e-01    1.591181e+00   4.092207e-02
  3.680410e-01    1.551082e+00   4.026421e-02
  3.702514e-01    1.511202e+00   3.960954e-02
  3.724619e-01    1.518833e+00   3.957422e-02
  3.746724e-01    1.535618e+00   3.965950e-02
  3.768828e-01    1.546346e+00   3.966389e-02
  3.790933e-01    1.549740e+00   3.957800e-02
  3.813037e-01    1.514015e+00   3.899118e-02
  3.835142e-01    1.497998e+00   3.865698e-02
  3.857246e-01    1.544243e+00   3.912212e-02
  3.879351e-01    1.571798e+00   3.934188e-02
  3.901455e-01    1.523035e+00   3.860351e-02
  3.923560e-01    1.556849e+00   3.890564e-02
  3.945665e-01    1.544805e+00   3.863196e-02
  3.967769e-01    1.569926e+00   3.882283e-02
  3.989874e-01    1.554685e+00   3.851331e-02
  4.011978e-01    1.546090e+00   3.828857e-02
  4.034083e-01    1.558072e+00   3.831868e-02
  4.056187e-01    1.544350e+00   3.803204e-02
  4.078292e-01    1.521319e+00   3.763316e-02
  4.100397e-01    1.522063e+00   3.752741e-02
  4.122501e-01    1.568985e+00   3.798747e-02
  4.144606e-01    1.544369e+00   3.757655e-02
  4.166710e-01    1.550172e+00   3.753514e-02
  4.188815e-01    1.573103e+00   3.770004e-02
  4.210919e-01    1.555965e+00   3.738425e-02
  4.233024e-01    1.542199e+00   3.710902e-02
  4.255128e-01    1.530520e+00   3.686139e-02
  4.277233e-01    1.558009e+00   3.708407e-02
  4.299338e-01    1.563275e+00   3.703982e-02
  4.321442e-01    1.525538e+00   3.648532e-02
  4.343547e-01    1.544529e+00   3.660790e-02
  4.365651e-01    1.507720e+00   3.606630e-02
  4.387756e-01    1.472974e+00   3.554847e-02
  4.409860e-01    1.495058e+00   3.571475e-02
  4.431965e-01    1.489616e+00   3.555111e-02
  4.454070e-01    1.513253e+00   3.573237e-02
  4.476174e-01    1.476319e+00   3.519673e-02
  4.498279e-01    1.455233e+00   3.484936e-02
  4.520383e-01    1.498115e+00   3.526207e-02
  4.542488e-01    1.491013e+00   3.508354e-02
  4.564592e-01    1.491638e+00   3.499674e-02
  4.586697e-01    1.522094e+00   3.525839e-02
  4.608801e-01    1.478683e+00   3.465888e-02
  4.630906e-01    1.482424e+00   3.461080e-02
  4.653011e-01    1.479261e+00   3.448295e-02
  4.675115e-01    1.507057e+00   3.471371e-02
  4.697220e-01    1.549106e+00   3.510256e-02
  4.719324e-01    1.487488e+00   3.430835e-02
  4.741429e-01    1.528373e+00   3.468705e-02
  4.763533e-01    1.482158e+00   3.407103e-02
  4.785638e-01    1.449658e+00   3.360836e-02
  4.807743e-01    1.489747e+00   3.398325e-02
  4.829847e-01    1.444438e+00   3.337796e-02
  4.851952e-01    1.498783e+00   3.391400e-02
  4.874056e-01    1.472051e+00   3.352547e-02
  4.896161e-01    1.469792e+00   3.341666e-02
  4.918265e-01    1.449476e+00   3.310249e-02
  4.940370e-01    1.436776e+00   3.287578e-02
  4.962475e-01    1.481580e+00   3.330201e-02
  4.984579e-01    1.482246e+00   3.322739e-02
  5.006684e-01    1.434217e+00   3.260495e-02
  5.028788e-01    1.398148e+00   3.211433e-02
  5.050893e-01    1.394751e+00   3.199729e-02
  5.072997e-01    1.404986e+00   3.203690e-02
  5.095102e-01    1.421803e+00   3.215088e-02
  5.117206e-01    1.407861e+00   3.191678e-02
  5.139311e-01    1.423040e+00   3.201244e-02
  5.161416e-01    1.461987e+00   3.237087e-02
  5.183520e-01    1.482532e+00   3.252007e-02
  5.205625e-01    1.463065e+00   3.223018e-02
  5.227729e-01    1.501092e+00   3.257018e-02
  5.249834e-01    1.494212e+00   3.242005e-02
  5.271938e-01    1.469507e+00   3.207587e-02
  5.294043e-01    1.475933e+00   3.207177e-02
  5.316148e-01    1.493727e+00   3.219060e-02
  5.338252e-01    1.562880e+00   3.285206e-02
  5.360357e-01    1.534366e+00   3.247691e-02
  5.382461e-01    1.508652e+00   3.213082e-02
  5.404566e-01    1.486370e+00   3.182009e-02
  5.426670e-01    1.490087e+00   3.178805e-02
  5.448775e-01    1.480030e+00   3.160982e-02
  5.470879e-01    1.505505e+00   3.180960e-02
  5.492984e-01    1.530580e+00   3.200209e-02
  5.515089e-01    1.547840e+00   3.211066e-02
  5.537193e-01    1.564446e+00   3.221132e-02
  5.559298e-01    1.559001e+00   3.208469e-02
  5.581402e-01    1.514345e+00   3.155275e-02
  5.603507e-01    1.545257e+00   3.180379e-02
  5.625611e-01    1.545177e+00   3.173395e-02
  5.647716e-01    1.510569e+00   3.130844e-02
  5.669821e-01    1.495260e+00   3.108223e-02
  5.691925e-01    1.509549e+00   3.116334e-02
  5.714030e-01    1.523572e+00   3.124102e-02
  5.736134e-01    1.480388e+00   3.072958e-02
  5.758239e-01    1.467417e+00   3.052937e-02
  5.780343e-01    1.443057e+00   3.021086e-02
  5.802448e-01    1.442328e+00   3.013999e-02
  5.824552e-01    1.446660e+00   3.012190e-02
  5.846657e-01    1.413274e+00   2.971023e-02
  5.868762e-01    1.368122e+00   2.917093e-02
  5.890866e-01    1.349800e+00   2.891480e-02
  5.912971e-01    1.406662e+00   2.945646e-02
  5.935075e-01    1.397411e+00   2.929874e-02
  5.957180e-01    1.438179e+00   2.966208e-02
  5.979284e-01    1.449730e+00   2.972017e-02
  6.001389e-01    1.430780e+00   2.946515e-02
  6.023494e-01    1.445404e+00   2.955522e-02
  6.045598e-01    1.439910e+00   2.943896e-02
  6.067703e-01    1.411147e+00   2.908482e-02
  6.089807e-01    1.404450e+00   2.895741e-02
  6.111912e-01    1.419961e+00   2.905872e-02
  6.134016e-01    1.446725e+00   2.927278e-02
  6.156121e-01    1.488792e+00   2.963631e-02
  6.178226e-01    1.458597e+00   2.927617e-02
  6.200330e-01    1.471557e+00   2.934791e-02
  6.222435e-01    1.503908e+00   2.961000e-02
  6.244539e-01    1.448686e+00   2.900439e-02
  6.266644e-01    1.443234e+00   2.889329e-02
  6.288748e-01    1.465433e+00   2.905797e-02
  6.310853e-01    1.502650e+00   2.936752e-02
  6.332957e-01    1.510151e+00   2.938389e-02
  6.355062e-01    1.511778e+00   2.934260e-02
  6.377167e-01    1.532250e+00   2.948391e-02
  6.399271e-01    1.529408e+00   2.940014e-02
  6.421376e-01    1.471016e+00   2.877839e-02
  6.443480e-01    1.461346e+00   2.862908e-02
  6.465585e-01    1.462064e+00   2.858185e-02
  6.487689e-01    1.444739e+00   2.835837e-02
  6.509794e-01    1.426968e+00   2.813025e-02
  6.531899e-01    1.415451e+00   2.796382e-02
  6.554003e-01    1.417081e+00   2.792731e-02
  6.576108e-01    1.422903e+00   2.793252e-02
  6.598212e-01    1.382282e+00   2.747979e-02
  6.620317e-01    1.393560e+00   2.754050e-02
  6.642421e-01    1.376232e+00   2.731811e-02
  6.664526e-01    1.358484e+00   2.709137e-02
  6.686630e-01    1.380157e+00   2.725615e-02
  6.708735e-01    1.389130e+00   2.729444e-02
  6.730840e-01    1.377007e+00   2.712553e-02
