# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166608",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "cNNgZZwHvl9ZIMJk2Y1m7A==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000120.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.340185e+00   6.264254e-01
  3.315685e-03    1.638612e+00   4.210984e-01
  5.526141e-03    1.442263e+00   3.054882e-01
  7.736597e-03    1.333578e+00   2.481587e-01
  9.947054e-03    1.235666e+00   2.105848e-01
  1.215751e-02    1.169002e+00   1.852151e-01
  1.436797e-02    1.302209e+00   1.798109e-01
  1.657842e-02    1.283293e+00   1.661527e-01
  1.878888e-02    1.457382e+00   1.663222e-01
  2.099934e-02    1.358080e+00   1.519024e-01
  2.320979e-02    1.337057e+00   1.433533e-01
  2.542025e-02    1.503105e+00   1.452460e-01
  2.763070e-02    1.432762e+00   1.360120e-01
  2.984116e-02    1.384796e+00   1.286676e-01
  3.205162e-02    1.293320e+00   1.199884e-01
  3.426207e-02    1.317392e+00   1.171204e-01
  3.647253e-02    1.271666e+00   1.115261e-01
  3.868299e-02    1.320969e+00   1.103804e-01
  4.089344e-02    1.392159e+00   1.102110e-01
  4.310390e-02    1.364260e+00   1.062606e-01
  4.531436e-02    1.352055e+00   1.031723e-01
  4.752481e-02    1.429801e+00   1.035993e-01
  4.973527e-02    1.324524e+00   9.747240e-02
  5.194572e-02    1.464499e+00   1.002876e-01
  5.415618e-02    1.454651e+00   9.788544e-02
  5.636664e-02    1.387157e+00   9.369750e-02
  5.857709e-02    1.467199e+00   9.452766e-02
  6.078755e-02    1.586894e+00   9.650090e-02
  6.299801e-02    1.318147e+00   8.639297e-02
  6.520846e-02    1.390024e+00   8.720107e-02
  6.741892e-02    1.431858e+00   8.703618e-02
  6.962938e-02    1.438113e+00   8.583469e-02
  7.183983e-02    1.403462e+00   8.347808e-02
  7.405029e-02    1.444443e+00   8.341255e-02
  7.626074e-02    1.412314e+00   8.127481e-02
  7.847120e-02    1.437876e+00   8.084156e-02
  8.068166e-02    1.388920e+00   7.835686e-02
  8.289211e-02    1.350785e+00   7.623595e-02
  8.510257e-02    1.458276e+00   7.817522e-02
