# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "0WnkHqguZUwO/Z1kwq4mXw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000123.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.993481e+00   7.639995e-01
  3.315685e-03    9.989288e-01   3.287856e-01
  5.526141e-03    1.096823e+00   2.664038e-01
  7.736597e-03    1.258492e+00   2.410713e-01
  9.947054e-03    1.218516e+00   2.091183e-01
  1.215751e-02    1.314024e+00   1.963678e-01
  1.436797e-02    1.387251e+00   1.855894e-01
  1.657842e-02    1.594254e+00   1.851924e-01
  1.878888e-02    1.530842e+00   1.704625e-01
  2.099934e-02    1.596426e+00   1.646935e-01
  2.320979e-02    1.406407e+00   1.470240e-01
  2.542025e-02    1.373434e+00   1.388396e-01
  2.763070e-02    1.447106e+00   1.366912e-01
  2.984116e-02    1.249361e+00   1.222139e-01
  3.205162e-02    1.299036e+00   1.202532e-01
  3.426207e-02    1.434617e+00   1.222202e-01
  3.647253e-02    1.373639e+00   1.159113e-01
  3.868299e-02    1.437135e+00   1.151316e-01
  4.089344e-02    1.381279e+00   1.097795e-01
  4.310390e-02    1.393369e+00   1.073883e-01
  4.531436e-02    1.413314e+00   1.054837e-01
  4.752481e-02    1.413452e+00   1.030053e-01
  4.973527e-02    1.516637e+00   1.043020e-01
  5.194572e-02    1.314430e+00   9.501053e-02
  5.415618e-02    1.373134e+00   9.510320e-02
  5.636664e-02    1.514340e+00   9.789871e-02
  5.857709e-02    1.349609e+00   9.066058e-02
  6.078755e-02    1.372653e+00   8.975069e-02
  6.299801e-02    1.336567e+00   8.699449e-02
  6.520846e-02    1.345016e+00   8.577770e-02
  6.741892e-02    1.316757e+00   8.346467e-02
  6.962938e-02    1.370284e+00   8.378604e-02
  7.183983e-02    1.347754e+00   8.180452e-02
  7.405029e-02    1.329233e+00   8.001690e-02
  7.626074e-02    1.412853e+00   8.129033e-02
  7.847120e-02    1.451178e+00   8.121465e-02
  8.068166e-02    1.438635e+00   7.974686e-02
  8.289211e-02    1.417506e+00   7.809608e-02
  8.510257e-02    1.448655e+00   7.791694e-02
  8.731303e-02    1.475749e+00   7.763739e-02
  8.952348e-02    1.471723e+00   7.657036e-02
  9.173394e-02    1.423009e+00   7.437683e-02
  9.394439e-02    1.489330e+00   7.518735e-02
  9.615485e-02    1.455962e+00   7.347925e-02
  9.836531e-02    1.432775e+00   7.206615e-02
  1.005758e-01    1.467902e+00   7.213864e-02
  1.027862e-01    1.466158e+00   7.131455e-02
  1.049967e-01    1.547310e+00   7.248507e-02
  1.072071e-01    1.520252e+00   7.110311e-02
  1.094176e-01    1.555633e+00   7.119443e-02
  1.116280e-01    1.500453e+00   6.922308e-02
  1.138385e-01    1.531971e+00   6.926256e-02
  1.160490e-01    1.511271e+00   6.813390e-02
  1.182594e-01    1.527663e+00   6.785769e-02
  1.204699e-01    1.540742e+00   6.751893e-02
  1.226803e-01    1.541952e+00   6.693140e-02
  1.248908e-01    1.557828e+00   6.667626e-02
  1.271012e-01    1.579339e+00   6.654739e-02
  1.293117e-01    1.535442e+00   6.505198e-02
  1.315222e-01    1.489501e+00   6.352922e-02
  1.337326e-01    1.565256e+00   6.458300e-02
  1.359431e-01    1.610706e+00   6.555229e-02
