# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "3+gkc6qZOOUh+PlPVFVmdw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000125.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.729611e+00   7.116415e-01
  3.315685e-03    1.294718e+00   3.743114e-01
  5.526141e-03    1.382857e+00   2.991305e-01
  7.736597e-03    1.445766e+00   2.583861e-01
  9.947054e-03    1.461799e+00   2.290448e-01
  1.215751e-02    1.042858e+00   1.749369e-01
  1.436797e-02    1.269315e+00   1.775254e-01
  1.657842e-02    1.557678e+00   1.830557e-01
  1.878888e-02    1.540495e+00   1.709990e-01
  2.099934e-02    1.263759e+00   1.465326e-01
  2.320979e-02    1.198501e+00   1.357226e-01
  2.542025e-02    1.482807e+00   1.442619e-01
  2.763070e-02    1.432808e+00   1.360142e-01
  2.984116e-02    1.291947e+00   1.242793e-01
  3.205162e-02    1.322327e+00   1.213265e-01
  3.426207e-02    1.397490e+00   1.206283e-01
  3.647253e-02    1.568895e+00   1.238758e-01
  3.868299e-02    1.488487e+00   1.171705e-01
  4.089344e-02    1.354349e+00   1.087041e-01
  4.310390e-02    1.421673e+00   1.084735e-01
  4.531436e-02    1.411667e+00   1.054222e-01
  4.752481e-02    1.338474e+00   1.002361e-01
  4.973527e-02    1.416385e+00   1.007958e-01
  5.194572e-02    1.502424e+00   1.015779e-01
  5.415618e-02    1.614040e+00   1.031088e-01
  5.636664e-02    1.487738e+00   9.703503e-02
  5.857709e-02    1.354579e+00   9.082738e-02
  6.078755e-02    1.471242e+00   9.291789e-02
  6.299801e-02    1.487087e+00   9.176238e-02
  6.520846e-02    1.436082e+00   8.863400e-02
  6.741892e-02    1.363839e+00   8.494375e-02
  6.962938e-02    1.533995e+00   8.864991e-02
  7.183983e-02    1.452298e+00   8.491807e-02
  7.405029e-02    1.347278e+00   8.055823e-02
  7.626074e-02    1.442178e+00   8.212959e-02
  7.847120e-02    1.407498e+00   7.998303e-02
  8.068166e-02    1.389550e+00   7.837460e-02
  8.289211e-02    1.483086e+00   7.988218e-02
  8.510257e-02    1.428044e+00   7.736068e-02
  8.731303e-02    1.430445e+00   7.643640e-02
  8.952348e-02    1.443814e+00   7.584086e-02
  9.173394e-02    1.400468e+00   7.378539e-02
  9.394439e-02    1.493156e+00   7.528387e-02
  9.615485e-02    1.553798e+00   7.590790e-02
  9.836531e-02    1.536975e+00   7.464071e-02
  1.005758e-01    1.559298e+00   7.435051e-02
  1.027862e-01    1.525711e+00   7.274851e-02
