# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "8UP4bv0vGm/Eztqg5WtRnQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000126.dat
#        q_A^-1              I           sigma 
  1.105228e-03    8.402954e-01   4.960243e-01
  3.315685e-03    1.327993e+00   3.790908e-01
  5.526141e-03    1.409225e+00   3.019690e-01
  7.736597e-03    1.963624e+00   3.011268e-01
  9.947054e-03    1.319793e+00   2.176354e-01
  1.215751e-02    1.390539e+00   2.020041e-01
  1.436797e-02    1.553676e+00   1.964066e-01
  1.657842e-02    1.407966e+00   1.740365e-01
  1.878888e-02    1.530160e+00   1.704245e-01
  2.099934e-02    1.480934e+00   1.586244e-01
  2.320979e-02    1.445525e+00   1.490547e-01
  2.542025e-02    1.551696e+00   1.475750e-01
  2.763070e-02    1.325980e+00   1.308455e-01
  2.984116e-02    1.484027e+00   1.331979e-01
  3.205162e-02    1.434693e+00   1.263763e-01
  3.426207e-02    1.480971e+00   1.241790e-01
  3.647253e-02    1.316549e+00   1.134771e-01
  3.868299e-02    1.258953e+00   1.077582e-01
  4.089344e-02    1.303506e+00   1.066442e-01
  4.310390e-02    1.547878e+00   1.131859e-01
  4.531436e-02    1.430547e+00   1.061248e-01
  4.752481e-02    1.360537e+00   1.010588e-01
  4.973527e-02    1.420655e+00   1.009476e-01
  5.194572e-02    1.486730e+00   1.010460e-01
  5.415618e-02    1.377396e+00   9.525072e-02
  5.636664e-02    1.426592e+00   9.501997e-02
  5.857709e-02    1.544165e+00   9.697539e-02
  6.078755e-02    1.449241e+00   9.222054e-02
  6.299801e-02    1.461253e+00   9.096183e-02
  6.520846e-02    1.350111e+00   8.594003e-02
  6.741892e-02    1.392794e+00   8.584072e-02
  6.962938e-02    1.430865e+00   8.561810e-02
  7.183983e-02    1.488093e+00   8.595817e-02
  7.405029e-02    1.453254e+00   8.366658e-02
  7.626074e-02    1.442878e+00   8.214954e-02
  7.847120e-02    1.397132e+00   7.968796e-02
  8.068166e-02    1.408221e+00   7.889938e-02
  8.289211e-02    1.496108e+00   8.023209e-02
  8.510257e-02    1.547208e+00   8.052371e-02
