# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "xUUnfV+1HkbldiGES6hd6A==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000127.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.231435e+00   8.083122e-01
  3.315685e-03    1.534151e+00   4.074548e-01
  5.526141e-03    1.365382e+00   2.972345e-01
  7.736597e-03    1.548121e+00   2.673761e-01
  9.947054e-03    1.226055e+00   2.097642e-01
  1.215751e-02    1.452576e+00   2.064610e-01
  1.436797e-02    1.363949e+00   1.840242e-01
  1.657842e-02    1.293927e+00   1.668396e-01
  1.878888e-02    1.420231e+00   1.641886e-01
  2.099934e-02    1.421435e+00   1.554052e-01
  2.320979e-02    1.554972e+00   1.545945e-01
  2.542025e-02    1.508924e+00   1.455269e-01
  2.763070e-02    1.592319e+00   1.433855e-01
  2.984116e-02    1.693139e+00   1.422731e-01
  3.205162e-02    1.573736e+00   1.323586e-01
  3.426207e-02    1.404884e+00   1.209470e-01
  3.647253e-02    1.386405e+00   1.164487e-01
  3.868299e-02    1.423772e+00   1.145950e-01
  4.089344e-02    1.506312e+00   1.146405e-01
  4.310390e-02    1.501691e+00   1.114844e-01
  4.531436e-02    1.427884e+00   1.060260e-01
  4.752481e-02    1.522793e+00   1.069152e-01
  4.973527e-02    1.472251e+00   1.027644e-01
  5.194572e-02    1.434526e+00   9.925608e-02
  5.415618e-02    1.469055e+00   9.836890e-02
  5.636664e-02    1.373593e+00   9.323828e-02
  5.857709e-02    1.448971e+00   9.393865e-02
  6.078755e-02    1.443175e+00   9.202735e-02
  6.299801e-02    1.288460e+00   8.541457e-02
  6.520846e-02    1.370455e+00   8.658510e-02
  6.741892e-02    1.414856e+00   8.651789e-02
  6.962938e-02    1.470887e+00   8.680724e-02
  7.183983e-02    1.517306e+00   8.679777e-02
  7.405029e-02    1.473059e+00   8.423476e-02
  7.626074e-02    1.398608e+00   8.087949e-02
  7.847120e-02    1.322904e+00   7.754219e-02
  8.068166e-02    1.425927e+00   7.939385e-02
  8.289211e-02    1.496398e+00   8.023989e-02
  8.510257e-02    1.579651e+00   8.136355e-02
