# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "7ip7bn1yLCQZzKyaISA1Dw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000128.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.272192e+00   8.156605e-01
  3.315685e-03    2.234251e+00   4.917127e-01
  5.526141e-03    1.604211e+00   3.221832e-01
  7.736597e-03    1.415232e+00   2.556430e-01
  9.947054e-03    1.416404e+00   2.254604e-01
  1.215751e-02    1.213926e+00   1.887404e-01
  1.436797e-02    1.279753e+00   1.782538e-01
  1.657842e-02    1.134678e+00   1.562359e-01
  1.878888e-02    1.374425e+00   1.615191e-01
  2.099934e-02    1.353141e+00   1.516260e-01
  2.320979e-02    1.262876e+00   1.393199e-01
  2.542025e-02    1.301023e+00   1.351300e-01
  2.763070e-02    1.397963e+00   1.343502e-01
  2.984116e-02    1.483889e+00   1.331917e-01
  3.205162e-02    1.348339e+00   1.225140e-01
  3.426207e-02    1.524060e+00   1.259725e-01
  3.647253e-02    1.497503e+00   1.210246e-01
  3.868299e-02    1.323050e+00   1.104673e-01
  4.089344e-02    1.417545e+00   1.112113e-01
  4.310390e-02    1.383272e+00   1.069985e-01
  4.531436e-02    1.332819e+00   1.024357e-01
  4.752481e-02    1.331082e+00   9.995887e-02
  4.973527e-02    1.422676e+00   1.010194e-01
  5.194572e-02    1.573196e+00   1.039428e-01
  5.415618e-02    1.542065e+00   1.007837e-01
  5.636664e-02    1.470888e+00   9.648392e-02
  5.857709e-02    1.449660e+00   9.396101e-02
  6.078755e-02    1.449618e+00   9.223254e-02
  6.299801e-02    1.445195e+00   9.046064e-02
  6.520846e-02    1.441084e+00   8.878823e-02
  6.741892e-02    1.533305e+00   9.006666e-02
  6.962938e-02    1.397046e+00   8.460028e-02
  7.183983e-02    1.497616e+00   8.623276e-02
  7.405029e-02    1.532335e+00   8.591285e-02
  7.626074e-02    1.480096e+00   8.320231e-02
  7.847120e-02    1.450856e+00   8.120564e-02
  8.068166e-02    1.509392e+00   8.168445e-02
  8.289211e-02    1.388253e+00   7.728604e-02
  8.510257e-02    1.380597e+00   7.606465e-02
  8.731303e-02    1.391359e+00   7.538489e-02
  8.952348e-02    1.418957e+00   7.518516e-02
  9.173394e-02    1.415053e+00   7.416861e-02
  9.394439e-02    1.503550e+00   7.554544e-02
  9.615485e-02    1.579597e+00   7.653549e-02
  9.836531e-02    1.511797e+00   7.402684e-02
  1.005758e-01    1.480685e+00   7.245206e-02
  1.027862e-01    1.509808e+00   7.236835e-02
  1.049967e-01    1.524814e+00   7.195622e-02
  1.072071e-01    1.491892e+00   7.043678e-02
  1.094176e-01    1.576419e+00   7.166849e-02
  1.116280e-01    1.577203e+00   7.097143e-02
  1.138385e-01    1.512826e+00   6.882841e-02
  1.160490e-01    1.583214e+00   6.973675e-02
  1.182594e-01    1.585517e+00   6.913068e-02
  1.204699e-01    1.634869e+00   6.955080e-02
  1.226803e-01    1.572126e+00   6.758309e-02
  1.248908e-01    1.604163e+00   6.766058e-02
  1.271012e-01    1.581936e+00   6.660207e-02
  1.293117e-01    1.621797e+00   6.685626e-02
  1.315222e-01    1.580865e+00   6.544863e-02
  1.337326e-01    1.611277e+00   6.552556e-02
  1.359431e-01    1.499377e+00   6.324632e-02
  1.381535e-01    1.473445e+00   6.353857e-02
  1.403640e-01    1.474592e+00   6.383776e-02
  1.425744e-01    1.554316e+00   6.564543e-02
  1.447849e-01    1.629595e+00   6.723180e-02
  1.469953e-01    1.560371e+00   6.574713e-02
  1.492058e-01    1.505833e+00   6.451286e-02
  1.514163e-01    1.437181e+00   6.292046e-02
  1.536267e-01    1.560648e+00   6.543946e-02
  1.558372e-01    1.603606e+00   6.618757e-02
  1.580476e-01    1.675835e+00   6.749754e-02
  1.602581e-01    1.656577e+00   6.693816e-02
  1.624685e-01    1.643950e+00   6.650000e-02
  1.646790e-01    1.616901e+00   6.576128e-02
  1.668895e-01    1.625180e+00   6.573900e-02
  1.690999e-01    1.759411e+00   6.819457e-02
  1.713104e-01    1.770085e+00   6.818887e-02
  1.735208e-01    1.737387e+00   6.734604e-02
  1.757313e-01    1.827903e+00   6.886160e-02
  1.779417e-01    1.904018e+00   7.005149e-02
  1.801522e-01    1.926690e+00   7.024289e-02
  1.823626e-01    1.931266e+00   7.009214e-02
  1.845731e-01    1.931096e+00   6.986202e-02
  1.867836e-01    1.927941e+00   6.956935e-02
  1.889940e-01    1.952060e+00   6.977440e-02
  1.912045e-01    1.955410e+00   6.960105e-02
  1.934149e-01    1.926498e+00   6.885337e-02
  1.956254e-01    1.933671e+00   6.875390e-02
  1.978358e-01    2.029520e+00   7.019594e-02
  2.000463e-01    2.077280e+00   7.078175e-02
  2.022568e-01    2.060252e+00   7.025968e-02
  2.044672e-01    2.060500e+00   7.002319e-02
  2.066777e-01    2.028511e+00   6.924693e-02
  2.088881e-01    1.963786e+00   6.791029e-02
  2.110986e-01    1.939185e+00   6.725216e-02
  2.133090e-01    1.997842e+00   6.803980e-02
  2.155195e-01    1.959006e+00   6.715178e-02
  2.177300e-01    1.874294e+00   6.516779e-02
  2.199404e-01    1.917260e+00   6.417380e-02
  2.221509e-01    1.974858e+00   6.406112e-02
  2.243613e-01    1.995381e+00   6.357682e-02
  2.265718e-01    1.939631e+00   6.199148e-02
  2.287822e-01    2.005800e+00   6.241602e-02
  2.309927e-01    2.124482e+00   6.365088e-02
  2.332031e-01    2.169669e+00   6.377370e-02
  2.354136e-01    2.212718e+00   6.388129e-02
  2.376241e-01    2.144719e+00   6.240391e-02
  2.398345e-01    2.253711e+00   6.349646e-02
  2.420450e-01    2.126759e+00   6.124134e-02
  2.442554e-01    2.132838e+00   6.090631e-02
  2.464659e-01    2.140546e+00   6.060660e-02
  2.486763e-01    2.211259e+00   6.119462e-02
  2.508868e-01    2.180606e+00   6.038566e-02
  2.530973e-01    2.121392e+00   5.919088e-02
  2.553077e-01    2.104332e+00   5.859478e-02
  2.575182e-01    2.104030e+00   5.824395e-02
  2.597286e-01    2.036613e+00   5.697011e-02
  2.619391e-01    2.020440e+00   5.641678e-02
  2.641495e-01    2.015630e+00   5.603768e-02
  2.663600e-01    2.078559e+00   5.659281e-02
  2.685704e-01    2.010833e+00   5.536146e-02
  2.707809e-01    1.998060e+00   5.489241e-02
  2.729914e-01    1.995130e+00   5.456630e-02
  2.752018e-01    2.017034e+00   5.457946e-02
  2.774123e-01    1.993840e+00   5.398756e-02
  2.796227e-01    2.029448e+00   5.419807e-02
  2.818332e-01    2.038444e+00   5.404709e-02
  2.840436e-01    2.084242e+00   5.438595e-02
  2.862541e-01    1.996073e+00   5.296737e-02
  2.884646e-01    1.938393e+00   5.194872e-02
  2.906750e-01    1.944710e+00   5.178659e-02
  2.928855e-01    1.883603e+00   5.073031e-02
  2.950959e-01    2.020827e+00   5.230435e-02
  2.973064e-01    1.990074e+00   5.167158e-02
  2.995168e-01    1.918021e+00   5.049777e-02
  3.017273e-01    1.940997e+00   5.057537e-02
  3.039377e-01    1.988716e+00   5.096911e-02
  3.061482e-01    2.043072e+00   5.143750e-02
  3.083587e-01    1.990653e+00   5.055359e-02
  3.105691e-01    1.857490e+00   4.862487e-02
  3.127796e-01    1.873499e+00   4.862864e-02
  3.149900e-01    1.922395e+00   4.905389e-02
  3.172005e-01    1.884681e+00   4.837172e-02
  3.194109e-01    1.905249e+00   4.843417e-02
  3.216214e-01    1.937614e+00   4.864454e-02
  3.238319e-01    1.830494e+00   4.709345e-02
  3.260423e-01    1.839948e+00   4.702682e-02
