# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166610",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "lIy7CFhgTlK/jAKTKO1isA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000131.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.722560e+00   7.101893e-01
  3.315685e-03    1.396332e+00   3.887225e-01
  5.526141e-03    1.248072e+00   2.841789e-01
  7.736597e-03    1.207270e+00   2.361144e-01
  9.947054e-03    1.409906e+00   2.249425e-01
  1.215751e-02    1.536778e+00   2.123607e-01
  1.436797e-02    1.484337e+00   1.919739e-01
  1.657842e-02    1.289017e+00   1.665228e-01
  1.878888e-02    1.354240e+00   1.603287e-01
  2.099934e-02    1.341002e+00   1.509443e-01
  2.320979e-02    1.212785e+00   1.365289e-01
  2.542025e-02    1.204997e+00   1.300476e-01
  2.763070e-02    1.669970e+00   1.468401e-01
  2.984116e-02    1.728562e+00   1.437537e-01
  3.205162e-02    1.473920e+00   1.280923e-01
  3.426207e-02    1.597504e+00   1.289721e-01
  3.647253e-02    1.326672e+00   1.139126e-01
  3.868299e-02    1.396604e+00   1.134964e-01
  4.089344e-02    1.378007e+00   1.096495e-01
  4.310390e-02    1.396446e+00   1.075068e-01
  4.531436e-02    1.484124e+00   1.080938e-01
  4.752481e-02    1.402273e+00   1.025971e-01
  4.973527e-02    1.423388e+00   1.010447e-01
  5.194572e-02    1.509709e+00   1.018239e-01
  5.415618e-02    1.447404e+00   9.764133e-02
  5.636664e-02    1.377123e+00   9.335802e-02
  5.857709e-02    1.287411e+00   8.854685e-02
  6.078755e-02    1.362984e+00   8.943402e-02
  6.299801e-02    1.405477e+00   8.920892e-02
  6.520846e-02    1.381948e+00   8.694739e-02
  6.741892e-02    1.413635e+00   8.648056e-02
  6.962938e-02    1.513458e+00   8.805449e-02
  7.183983e-02    1.565547e+00   8.816680e-02
  7.405029e-02    1.453121e+00   8.366276e-02
  7.626074e-02    1.467560e+00   8.284918e-02
  7.847120e-02    1.501581e+00   8.261298e-02
  8.068166e-02    1.485135e+00   8.102542e-02
  8.289211e-02    1.417488e+00   7.809555e-02
  8.510257e-02    1.515804e+00   7.970232e-02
  8.731303e-02    1.471597e+00   7.752810e-02
  8.952348e-02    1.429704e+00   7.546937e-02
  9.173394e-02    1.540962e+00   7.739801e-02
  9.394439e-02    1.470981e+00   7.472277e-02
  9.615485e-02    1.523090e+00   7.515406e-02
  9.836531e-02    1.601757e+00   7.619753e-02
  1.005758e-01    1.524885e+00   7.352548e-02
  1.027862e-01    1.537670e+00   7.303306e-02
  1.049967e-01    1.537825e+00   7.226256e-02
  1.072071e-01    1.610612e+00   7.318570e-02
  1.094176e-01    1.606712e+00   7.235382e-02
  1.116280e-01    1.610949e+00   7.172666e-02
  1.138385e-01    1.654425e+00   7.197752e-02
  1.160490e-01    1.612449e+00   7.037769e-02
  1.182594e-01    1.594718e+00   6.933098e-02
  1.204699e-01    1.554070e+00   6.781034e-02
  1.226803e-01    1.568456e+00   6.750416e-02
  1.248908e-01    1.561486e+00   6.675451e-02
  1.271012e-01    1.626996e+00   6.754396e-02
  1.293117e-01    1.638085e+00   6.719115e-02
  1.315222e-01    1.637179e+00   6.660414e-02
  1.337326e-01    1.531934e+00   6.389190e-02
  1.359431e-01    1.576533e+00   6.485318e-02
  1.381535e-01    1.527878e+00   6.470159e-02
  1.403640e-01    1.521434e+00   6.484376e-02
  1.425744e-01    1.611913e+00   6.685065e-02
  1.447849e-01    1.614936e+00   6.692873e-02
  1.469953e-01    1.581542e+00   6.619167e-02
  1.492058e-01    1.556626e+00   6.559186e-02
  1.514163e-01    1.635545e+00   6.712239e-02
  1.536267e-01    1.608800e+00   6.644134e-02
  1.558372e-01    1.673917e+00   6.762301e-02
  1.580476e-01    1.624846e+00   6.646277e-02
  1.602581e-01    1.713646e+00   6.808142e-02
  1.624685e-01    1.661868e+00   6.686142e-02
  1.646790e-01    1.747771e+00   6.837081e-02
  1.668895e-01    1.826087e+00   6.968398e-02
  1.690999e-01    1.872785e+00   7.035749e-02
  1.713104e-01    1.756711e+00   6.793077e-02
  1.735208e-01    1.825566e+00   6.903392e-02
  1.757313e-01    1.881066e+00   6.985582e-02
  1.779417e-01    1.896312e+00   6.990957e-02
  1.801522e-01    1.921643e+00   7.015084e-02
  1.823626e-01    1.855967e+00   6.871213e-02
  1.845731e-01    1.957827e+00   7.034387e-02
  1.867836e-01    2.001679e+00   7.088727e-02
  1.889940e-01    2.035217e+00   7.124509e-02
  1.912045e-01    1.941715e+00   6.935690e-02
  1.934149e-01    1.968776e+00   6.960477e-02
  1.956254e-01    1.989239e+00   6.973480e-02
  1.978358e-01    2.034130e+00   7.027563e-02
  2.000463e-01    2.057794e+00   7.044895e-02
  2.022568e-01    2.062017e+00   7.028976e-02
  2.044672e-01    2.091036e+00   7.054012e-02
  2.066777e-01    2.085405e+00   7.021129e-02
  2.088881e-01    2.028821e+00   6.902563e-02
  2.110986e-01    1.990749e+00   6.814044e-02
  2.133090e-01    2.001995e+00   6.811050e-02
  2.155195e-01    1.962218e+00   6.720679e-02
  2.177300e-01    1.988169e+00   6.711829e-02
  2.199404e-01    1.995301e+00   6.546684e-02
  2.221509e-01    1.985898e+00   6.423994e-02
  2.243613e-01    1.994815e+00   6.356779e-02
  2.265718e-01    2.032076e+00   6.345157e-02
  2.287822e-01    2.002271e+00   6.236110e-02
  2.309927e-01    2.046505e+00   6.247186e-02
  2.332031e-01    2.043745e+00   6.189537e-02
  2.354136e-01    2.110030e+00   6.238135e-02
  2.376241e-01    2.207689e+00   6.331339e-02
  2.398345e-01    2.191367e+00   6.261206e-02
  2.420450e-01    2.249213e+00   6.297972e-02
  2.442554e-01    2.181051e+00   6.159088e-02
  2.464659e-01    2.143224e+00   6.064447e-02
  2.486763e-01    2.226722e+00   6.140823e-02
  2.508868e-01    2.132915e+00   5.972167e-02
  2.530973e-01    2.168137e+00   5.983943e-02
  2.553077e-01    2.178061e+00   5.961245e-02
  2.575182e-01    2.082426e+00   5.794414e-02
  2.597286e-01    2.072881e+00   5.747512e-02
  2.619391e-01    2.076607e+00   5.719557e-02
  2.641495e-01    2.147204e+00   5.783777e-02
  2.663600e-01    2.074322e+00   5.653511e-02
  2.685704e-01    2.152588e+00   5.727957e-02
  2.707809e-01    2.121032e+00   5.655641e-02
  2.729914e-01    2.044325e+00   5.523493e-02
  2.752018e-01    2.051906e+00   5.504925e-02
  2.774123e-01    1.979644e+00   5.379502e-02
  2.796227e-01    1.990368e+00   5.367370e-02
  2.818332e-01    2.035408e+00   5.400682e-02
  2.840436e-01    2.088900e+00   5.444669e-02
  2.862541e-01    1.963458e+00   5.253284e-02
  2.884646e-01    2.000665e+00   5.277656e-02
  2.906750e-01    2.007823e+00   5.262021e-02
  2.928855e-01    1.936071e+00   5.143202e-02
  2.950959e-01    1.969001e+00   5.162929e-02
  2.973064e-01    1.972113e+00   5.143787e-02
  2.995168e-01    1.949525e+00   5.091081e-02
  3.017273e-01    1.976362e+00   5.103401e-02
  3.039377e-01    1.992018e+00   5.101142e-02
  3.061482e-01    1.931510e+00   5.001342e-02
  3.083587e-01    1.912100e+00   4.954608e-02
