# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166608",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "fpyzATfuDLWeAH0yrtCEJg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000135.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.595927e+00   6.835866e-01
  3.315685e-03    1.161834e+00   3.545827e-01
  5.526141e-03    1.685488e+00   3.302440e-01
  7.736597e-03    1.364776e+00   2.510446e-01
  9.947054e-03    1.384843e+00   2.229342e-01
  1.215751e-02    1.203839e+00   1.879545e-01
  1.436797e-02    1.173724e+00   1.707100e-01
  1.657842e-02    1.055673e+00   1.506986e-01
  1.878888e-02    1.236915e+00   1.532264e-01
  2.099934e-02    1.408723e+00   1.547087e-01
  2.320979e-02    1.533538e+00   1.535253e-01
  2.542025e-02    1.554706e+00   1.477180e-01
  2.763070e-02    1.580061e+00   1.428326e-01
  2.984116e-02    1.423090e+00   1.304346e-01
  3.205162e-02    1.506335e+00   1.294932e-01
  3.426207e-02    1.443816e+00   1.226114e-01
  3.647253e-02    1.479848e+00   1.203090e-01
  3.868299e-02    1.501667e+00   1.176881e-01
  4.089344e-02    1.444659e+00   1.122699e-01
  4.310390e-02    1.424778e+00   1.085919e-01
  4.531436e-02    1.559406e+00   1.108015e-01
  4.752481e-02    1.496187e+00   1.059771e-01
  4.973527e-02    1.435067e+00   1.014584e-01
  5.194572e-02    1.458895e+00   1.000956e-01
  5.415618e-02    1.534390e+00   1.005325e-01
  5.636664e-02    1.427329e+00   9.504458e-02
  5.857709e-02    1.333515e+00   9.011839e-02
  6.078755e-02    1.418635e+00   9.124155e-02
  6.299801e-02    1.374833e+00   8.823104e-02
  6.520846e-02    1.447508e+00   8.898590e-02
  6.741892e-02    1.495903e+00   8.896139e-02
  6.962938e-02    1.523848e+00   8.835625e-02
  7.183983e-02    1.384935e+00   8.292525e-02
  7.405029e-02    1.513503e+00   8.538328e-02
  7.626074e-02    1.419952e+00   8.149429e-02
  7.847120e-02    1.366194e+00   7.880069e-02
  8.068166e-02    1.495718e+00   8.131359e-02
  8.289211e-02    1.477165e+00   7.972258e-02
  8.510257e-02    1.464882e+00   7.835212e-02
