# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166600",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "k2X1R4GF+zre/lqC3eMCKw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000137.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.076404e+00   5.614028e-01
  3.315685e-03    1.215239e+00   3.626405e-01
  5.526141e-03    1.044225e+00   2.599376e-01
  7.736597e-03    1.432673e+00   2.572135e-01
  9.947054e-03    1.379162e+00   2.224765e-01
  1.215751e-02    1.378983e+00   2.011630e-01
  1.436797e-02    1.280567e+00   1.783105e-01
  1.657842e-02    1.439949e+00   1.760021e-01
  1.878888e-02    1.410363e+00   1.636172e-01
  2.099934e-02    1.347593e+00   1.513148e-01
  2.320979e-02    1.382053e+00   1.457455e-01
  2.542025e-02    1.377279e+00   1.390338e-01
  2.763070e-02    1.480255e+00   1.382479e-01
  2.984116e-02    1.350554e+00   1.270669e-01
  3.205162e-02    1.441993e+00   1.266974e-01
  3.426207e-02    1.430184e+00   1.220312e-01
  3.647253e-02    1.454580e+00   1.192775e-01
  3.868299e-02    1.411162e+00   1.140864e-01
  4.089344e-02    1.465198e+00   1.130652e-01
  4.310390e-02    1.371702e+00   1.065501e-01
  4.531436e-02    1.446055e+00   1.066985e-01
  4.752481e-02    1.371160e+00   1.014526e-01
  4.973527e-02    1.414390e+00   1.007248e-01
  5.194572e-02    1.461053e+00   1.001696e-01
  5.415618e-02    1.472829e+00   9.849517e-02
  5.636664e-02    1.431420e+00   9.518068e-02
  5.857709e-02    1.343794e+00   9.046505e-02
  6.078755e-02    1.397530e+00   9.056030e-02
  6.299801e-02    1.343097e+00   8.720677e-02
  6.520846e-02    1.373688e+00   8.668713e-02
  6.741892e-02    1.533021e+00   9.005833e-02
  6.962938e-02    1.529650e+00   8.852427e-02
  7.183983e-02    1.601354e+00   8.916938e-02
  7.405029e-02    1.619233e+00   8.831532e-02
  7.626074e-02    1.608841e+00   8.674549e-02
  7.847120e-02    1.508388e+00   8.280005e-02
  8.068166e-02    1.479970e+00   8.088439e-02
  8.289211e-02    1.554493e+00   8.178262e-02
  8.510257e-02    1.502586e+00   7.935406e-02
  8.731303e-02    1.505055e+00   7.840449e-02
  8.952348e-02    1.493659e+00   7.713889e-02
  9.173394e-02    1.511995e+00   7.666709e-02
  9.394439e-02    1.585634e+00   7.758017e-02
  9.615485e-02    1.591947e+00   7.683410e-02
  9.836531e-02    1.591281e+00   7.594790e-02
  1.005758e-01    1.604658e+00   7.542419e-02
  1.027862e-01    1.593641e+00   7.435036e-02
  1.049967e-01    1.537012e+00   7.224348e-02
  1.072071e-01    1.462845e+00   6.974769e-02
  1.094176e-01    1.574903e+00   7.163401e-02
  1.116280e-01    1.559266e+00   7.056672e-02
  1.138385e-01    1.513541e+00   6.884468e-02
  1.160490e-01    1.560394e+00   6.923237e-02
  1.182594e-01    1.627559e+00   7.004122e-02
  1.204699e-01    1.608154e+00   6.898019e-02
  1.226803e-01    1.517680e+00   6.640252e-02
  1.248908e-01    1.535777e+00   6.620267e-02
  1.271012e-01    1.556123e+00   6.605646e-02
  1.293117e-01    1.568898e+00   6.575686e-02
  1.315222e-01    1.631860e+00   6.649587e-02
  1.337326e-01    1.644276e+00   6.619316e-02
  1.359431e-01    1.547668e+00   6.425674e-02
  1.381535e-01    1.610860e+00   6.643540e-02
  1.403640e-01    1.555931e+00   6.557478e-02
  1.425744e-01    1.523103e+00   6.498299e-02
  1.447849e-01    1.494498e+00   6.438468e-02
  1.469953e-01    1.575683e+00   6.606894e-02
  1.492058e-01    1.553663e+00   6.552941e-02
  1.514163e-01    1.505093e+00   6.438991e-02
  1.536267e-01    1.508555e+00   6.433806e-02
  1.558372e-01    1.594081e+00   6.599068e-02
  1.580476e-01    1.620904e+00   6.638211e-02
  1.602581e-01    1.624980e+00   6.629670e-02
  1.624685e-01    1.673661e+00   6.709823e-02
  1.646790e-01    1.702118e+00   6.747195e-02
  1.668895e-01    1.700724e+00   6.724955e-02
  1.690999e-01    1.688032e+00   6.679694e-02
  1.713104e-01    1.657060e+00   6.597594e-02
  1.735208e-01    1.694205e+00   6.650385e-02
  1.757313e-01    1.747916e+00   6.733810e-02
  1.779417e-01    1.832262e+00   6.871881e-02
  1.801522e-01    1.815351e+00   6.818312e-02
  1.823626e-01    1.822954e+00   6.809827e-02
  1.845731e-01    1.889523e+00   6.910592e-02
  1.867836e-01    1.943714e+00   6.985334e-02
  1.889940e-01    1.976009e+00   7.020111e-02
  1.912045e-01    1.982025e+00   7.007311e-02
  1.934149e-01    1.953908e+00   6.934147e-02
  1.956254e-01    1.957703e+00   6.917982e-02
  1.978358e-01    2.075572e+00   7.098789e-02
  2.000463e-01    2.081138e+00   7.084743e-02
  2.022568e-01    2.104783e+00   7.101493e-02
  2.044672e-01    2.037986e+00   6.963960e-02
  2.066777e-01    1.972789e+00   6.828924e-02
  2.088881e-01    1.906885e+00   6.691919e-02
  2.110986e-01    1.924481e+00   6.699673e-02
  2.133090e-01    1.951023e+00   6.723782e-02
  2.155195e-01    1.996495e+00   6.779127e-02
  2.177300e-01    1.901183e+00   6.563360e-02
  2.199404e-01    1.932438e+00   6.442729e-02
  2.221509e-01    1.996665e+00   6.441385e-02
  2.243613e-01    2.016027e+00   6.390489e-02
  2.265718e-01    2.022109e+00   6.329575e-02
  2.287822e-01    2.120552e+00   6.417663e-02
  2.309927e-01    2.011819e+00   6.194018e-02
  2.332031e-01    2.064663e+00   6.221132e-02
  2.354136e-01    2.171981e+00   6.329051e-02
  2.376241e-01    2.221224e+00   6.350715e-02
  2.398345e-01    2.219815e+00   6.301717e-02
  2.420450e-01    2.269410e+00   6.326187e-02
  2.442554e-01    2.167227e+00   6.139537e-02
  2.464659e-01    2.107755e+00   6.014059e-02
  2.486763e-01    2.150287e+00   6.034507e-02
  2.508868e-01    2.130831e+00   5.969248e-02
  2.530973e-01    2.120074e+00   5.917248e-02
  2.553077e-01    2.106485e+00   5.862475e-02
  2.575182e-01    2.187421e+00   5.938692e-02
  2.597286e-01    2.163374e+00   5.871631e-02
  2.619391e-01    1.994779e+00   5.605736e-02
  2.641495e-01    1.992337e+00   5.571297e-02
  2.663600e-01    2.061425e+00   5.635907e-02
  2.685704e-01    2.081020e+00   5.631932e-02
