# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166602",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "kPk2g8IVMM17dE9K9jDBeA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000138.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.507118e+00   6.642944e-01
  3.315685e-03    1.618017e+00   4.184436e-01
  5.526141e-03    1.417331e+00   3.028362e-01
  7.736597e-03    1.425665e+00   2.565836e-01
  9.947054e-03    1.465330e+00   2.293213e-01
  1.215751e-02    1.396740e+00   2.024540e-01
  1.436797e-02    1.346232e+00   1.828251e-01
  1.657842e-02    1.319616e+00   1.684877e-01
  1.878888e-02    1.404174e+00   1.632578e-01
  2.099934e-02    1.486009e+00   1.588959e-01
  2.320979e-02    1.685981e+00   1.609753e-01
  2.542025e-02    1.417831e+00   1.410658e-01
  2.763070e-02    1.419489e+00   1.353806e-01
  2.984116e-02    1.500417e+00   1.339314e-01
  3.205162e-02    1.484785e+00   1.285636e-01
  3.426207e-02    1.288149e+00   1.158132e-01
  3.647253e-02    1.423435e+00   1.179936e-01
  3.868299e-02    1.484714e+00   1.170219e-01
  4.089344e-02    1.356973e+00   1.088094e-01
  4.310390e-02    1.443452e+00   1.093012e-01
  4.531436e-02    1.267531e+00   9.989532e-02
  4.752481e-02    1.271006e+00   9.767708e-02
  4.973527e-02    1.306798e+00   9.681798e-02
  5.194572e-02    1.425552e+00   9.894511e-02
  5.415618e-02    1.472089e+00   9.847043e-02
  5.636664e-02    1.408448e+00   9.441382e-02
  5.857709e-02    1.390592e+00   9.202684e-02
  6.078755e-02    1.446681e+00   9.213904e-02
  6.299801e-02    1.424780e+00   8.981945e-02
  6.520846e-02    1.466488e+00   8.956742e-02
  6.741892e-02    1.537936e+00   9.020257e-02
  6.962938e-02    1.580272e+00   8.997717e-02
  7.183983e-02    1.490961e+00   8.604095e-02
  7.405029e-02    1.468066e+00   8.409186e-02
  7.626074e-02    1.473857e+00   8.302674e-02
  7.847120e-02    1.545046e+00   8.380014e-02
  8.068166e-02    1.449024e+00   8.003431e-02
  8.289211e-02    1.481343e+00   7.983523e-02
  8.510257e-02    1.448129e+00   7.790280e-02
