# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "GcN6APofyJSVrjNOkNUcew==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000139.dat
#        q_A^-1              I           sigma 
  1.105228e-03    4.218611e-01   3.514566e-01
  3.315685e-03    8.470984e-01   3.027697e-01
  5.526141e-03    1.544692e+00   3.161500e-01
  7.736597e-03    1.412838e+00   2.554268e-01
  9.947054e-03    1.316694e+00   2.173797e-01
  1.215751e-02    1.541027e+00   2.126541e-01
  1.436797e-02    1.629682e+00   2.011534e-01
  1.657842e-02    1.527036e+00   1.812463e-01
  1.878888e-02    1.599118e+00   1.742223e-01
  2.099934e-02    1.571360e+00   1.633954e-01
  2.320979e-02    1.500010e+00   1.518378e-01
  2.542025e-02    1.333996e+00   1.368317e-01
  2.763070e-02    1.398501e+00   1.343760e-01
  2.984116e-02    1.402237e+00   1.294754e-01
  3.205162e-02    1.407469e+00   1.251715e-01
  3.426207e-02    1.400319e+00   1.207503e-01
  3.647253e-02    1.546705e+00   1.229967e-01
  3.868299e-02    1.372299e+00   1.125045e-01
  4.089344e-02    1.256704e+00   1.047122e-01
  4.310390e-02    1.352312e+00   1.057943e-01
  4.531436e-02    1.434608e+00   1.062753e-01
  4.752481e-02    1.430910e+00   1.036395e-01
  4.973527e-02    1.303449e+00   9.669385e-02
  5.194572e-02    1.512379e+00   1.019138e-01
  5.415618e-02    1.509092e+00   9.970035e-02
  5.636664e-02    1.356714e+00   9.266363e-02
  5.857709e-02    1.294139e+00   8.877793e-02
  6.078755e-02    1.447085e+00   9.215191e-02
  6.299801e-02    1.415417e+00   8.952386e-02
  6.520846e-02    1.454889e+00   8.921248e-02
  6.741892e-02    1.470987e+00   8.821740e-02
  6.962938e-02    1.502248e+00   8.772779e-02
  7.183983e-02    1.523262e+00   8.696799e-02
  7.405029e-02    1.541877e+00   8.617993e-02
  7.626074e-02    1.410284e+00   8.121639e-02
  7.847120e-02    1.411859e+00   8.010683e-02
  8.068166e-02    1.465044e+00   8.047551e-02
  8.289211e-02    1.510043e+00   8.060489e-02
  8.510257e-02    1.433973e+00   7.752111e-02
  8.731303e-02    1.489581e+00   7.800038e-02
  8.952348e-02    1.474245e+00   7.663593e-02
  9.173394e-02    1.318874e+00   7.160373e-02
  9.394439e-02    1.397971e+00   7.284474e-02
  9.615485e-02    1.589935e+00   7.678554e-02
  9.836531e-02    1.491113e+00   7.351869e-02
  1.005758e-01    1.538262e+00   7.384729e-02
  1.027862e-01    1.577819e+00   7.398037e-02
  1.049967e-01    1.465653e+00   7.054654e-02
  1.072071e-01    1.414314e+00   6.858097e-02
  1.094176e-01    1.507634e+00   7.008746e-02
  1.116280e-01    1.482467e+00   6.880695e-02
  1.138385e-01    1.473925e+00   6.793771e-02
  1.160490e-01    1.524108e+00   6.842265e-02
  1.182594e-01    1.576305e+00   6.892954e-02
  1.204699e-01    1.589878e+00   6.858712e-02
  1.226803e-01    1.450205e+00   6.490964e-02
  1.248908e-01    1.500503e+00   6.543798e-02
  1.271012e-01    1.570644e+00   6.636395e-02
  1.293117e-01    1.598540e+00   6.637517e-02
  1.315222e-01    1.559712e+00   6.500929e-02
  1.337326e-01    1.520008e+00   6.364270e-02
  1.359431e-01    1.610228e+00   6.554256e-02
  1.381535e-01    1.594651e+00   6.610029e-02
  1.403640e-01    1.584088e+00   6.616545e-02
  1.425744e-01    1.566103e+00   6.589388e-02
  1.447849e-01    1.584182e+00   6.628838e-02
  1.469953e-01    1.577229e+00   6.610134e-02
  1.492058e-01    1.560020e+00   6.566334e-02
  1.514163e-01    1.560011e+00   6.555411e-02
  1.536267e-01    1.624656e+00   6.676795e-02
  1.558372e-01    1.640545e+00   6.694551e-02
  1.580476e-01    1.658785e+00   6.715331e-02
  1.602581e-01    1.619221e+00   6.617913e-02
  1.624685e-01    1.621217e+00   6.603860e-02
  1.646790e-01    1.690977e+00   6.725078e-02
  1.668895e-01    1.685979e+00   6.695737e-02
  1.690999e-01    1.683789e+00   6.671295e-02
  1.713104e-01    1.680729e+00   6.644545e-02
  1.735208e-01    1.767446e+00   6.792610e-02
  1.757313e-01    1.876034e+00   6.976232e-02
