# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166596",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "8LC150cK7Wzh5lGTub4J9w==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000140.dat
#        q_A^-1              I           sigma 
  1.105228e-03    7.164525e-01   4.580160e-01
  3.315685e-03    1.440580e+00   3.948337e-01
  5.526141e-03    1.185925e+00   2.770134e-01
  7.736597e-03    1.240312e+00   2.393237e-01
  9.947054e-03    1.258991e+00   2.125631e-01
  1.215751e-02    1.635888e+00   2.191015e-01
  1.436797e-02    1.613944e+00   2.001797e-01
  1.657842e-02    1.585614e+00   1.846899e-01
  1.878888e-02    1.657517e+00   1.773751e-01
  2.099934e-02    1.343531e+00   1.510866e-01
  2.320979e-02    1.339837e+00   1.435023e-01
  2.542025e-02    1.109933e+00   1.248124e-01
  2.763070e-02    1.304701e+00   1.297914e-01
  2.984116e-02    1.447044e+00   1.315277e-01
  3.205162e-02    1.419195e+00   1.256919e-01
  3.426207e-02    1.435992e+00   1.222787e-01
  3.647253e-02    1.434292e+00   1.184428e-01
  3.868299e-02    1.560141e+00   1.199575e-01
  4.089344e-02    1.415041e+00   1.111131e-01
  4.310390e-02    1.317774e+00   1.044346e-01
  4.531436e-02    1.475745e+00   1.077883e-01
  4.752481e-02    1.462605e+00   1.047810e-01
  4.973527e-02    1.376049e+00   9.935020e-02
  5.194572e-02    1.442903e+00   9.954546e-02
  5.415618e-02    1.385350e+00   9.552532e-02
  5.636664e-02    1.492720e+00   9.719734e-02
  5.857709e-02    1.489800e+00   9.525299e-02
  6.078755e-02    1.474563e+00   9.302271e-02
  6.299801e-02    1.410502e+00   8.936826e-02
  6.520846e-02    1.424520e+00   8.827646e-02
  6.741892e-02    1.540800e+00   9.028652e-02
  6.962938e-02    1.555628e+00   8.927281e-02
  7.183983e-02    1.393543e+00   8.318257e-02
  7.405029e-02    1.525288e+00   8.571506e-02
  7.626074e-02    1.430885e+00   8.180741e-02
  7.847120e-02    1.529914e+00   8.338877e-02
  8.068166e-02    1.448952e+00   8.003232e-02
  8.289211e-02    1.422272e+00   7.822724e-02
  8.510257e-02    1.420112e+00   7.714551e-02
  8.731303e-02    1.464788e+00   7.734852e-02
  8.952348e-02    1.496969e+00   7.722432e-02
  9.173394e-02    1.392252e+00   7.356866e-02
  9.394439e-02    1.454988e+00   7.431543e-02
  9.615485e-02    1.501725e+00   7.462510e-02
  9.836531e-02    1.536510e+00   7.462942e-02
  1.005758e-01    1.525376e+00   7.353735e-02
  1.027862e-01    1.552868e+00   7.339307e-02
  1.049967e-01    1.611329e+00   7.396939e-02
  1.072071e-01    1.612991e+00   7.323974e-02
  1.094176e-01    1.560564e+00   7.130718e-02
  1.116280e-01    1.461425e+00   6.831688e-02
  1.138385e-01    1.461733e+00   6.765616e-02
  1.160490e-01    1.520737e+00   6.834693e-02
  1.182594e-01    1.570236e+00   6.879673e-02
  1.204699e-01    1.586167e+00   6.850704e-02
  1.226803e-01    1.511187e+00   6.626032e-02
  1.248908e-01    1.509991e+00   6.564455e-02
  1.271012e-01    1.560637e+00   6.615219e-02
  1.293117e-01    1.458626e+00   6.340387e-02
  1.315222e-01    1.505519e+00   6.386990e-02
  1.337326e-01    1.523931e+00   6.372476e-02
  1.359431e-01    1.677460e+00   6.689686e-02
  1.381535e-01    1.706796e+00   6.838509e-02
  1.403640e-01    1.627586e+00   6.706775e-02
  1.425744e-01    1.614026e+00   6.689445e-02
  1.447849e-01    1.590774e+00   6.642617e-02
  1.469953e-01    1.588371e+00   6.633440e-02
  1.492058e-01    1.601233e+00   6.652505e-02
  1.514163e-01    1.650466e+00   6.742786e-02
  1.536267e-01    1.667645e+00   6.764554e-02
  1.558372e-01    1.664844e+00   6.743950e-02
  1.580476e-01    1.586582e+00   6.567556e-02
  1.602581e-01    1.552338e+00   6.479792e-02
  1.624685e-01    1.589988e+00   6.539947e-02
  1.646790e-01    1.683455e+00   6.710102e-02
  1.668895e-01    1.664207e+00   6.652367e-02
  1.690999e-01    1.645523e+00   6.595051e-02
  1.713104e-01    1.669542e+00   6.622395e-02
  1.735208e-01    1.705678e+00   6.672863e-02
  1.757313e-01    1.805129e+00   6.843128e-02
  1.779417e-01    1.898467e+00   6.994931e-02
  1.801522e-01    1.829477e+00   6.844787e-02
