# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166630",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "NWGvhl+FAoWoRtHUQVMfIA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000142.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.404073e+00   6.411828e-01
  3.315685e-03    1.565265e+00   4.115659e-01
  5.526141e-03    1.193377e+00   2.778823e-01
  7.736597e-03    1.285923e+00   2.436844e-01
  9.947054e-03    1.736117e+00   2.496123e-01
  1.215751e-02    1.430130e+00   2.048596e-01
  1.436797e-02    1.454747e+00   1.900507e-01
  1.657842e-02    1.650563e+00   1.884345e-01
  1.878888e-02    1.318963e+00   1.582267e-01
  2.099934e-02    1.404256e+00   1.544633e-01
  2.320979e-02    1.297608e+00   1.412227e-01
  2.542025e-02    1.396625e+00   1.400069e-01
  2.763070e-02    1.385189e+00   1.337349e-01
  2.984116e-02    1.377572e+00   1.283316e-01
  3.205162e-02    1.552598e+00   1.314667e-01
  3.426207e-02    1.556171e+00   1.272927e-01
  3.647253e-02    1.459296e+00   1.194707e-01
  3.868299e-02    1.422874e+00   1.145589e-01
  4.089344e-02    1.447541e+00   1.123818e-01
  4.310390e-02    1.439714e+00   1.091596e-01
  4.531436e-02    1.384370e+00   1.043979e-01
  4.752481e-02    1.370595e+00   1.014316e-01
  4.973527e-02    1.546072e+00   1.053093e-01
  5.194572e-02    1.470152e+00   1.004810e-01
  5.415618e-02    1.441523e+00   9.744275e-02
  5.636664e-02    1.399572e+00   9.411588e-02
  5.857709e-02    1.480353e+00   9.495047e-02
  6.078755e-02    1.492302e+00   9.358060e-02
  6.299801e-02    1.400653e+00   8.905570e-02
  6.520846e-02    1.470752e+00   8.969750e-02
  6.741892e-02    1.504433e+00   8.921468e-02
  6.962938e-02    1.438355e+00   8.584192e-02
  7.183983e-02    1.427041e+00   8.417638e-02
  7.405029e-02    1.585998e+00   8.740424e-02
  7.626074e-02    1.607982e+00   8.672234e-02
  7.847120e-02    1.524045e+00   8.322865e-02
  8.068166e-02    1.490779e+00   8.117925e-02
  8.289211e-02    1.479123e+00   7.977537e-02
  8.510257e-02    1.519481e+00   7.979894e-02
