# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "S5suy9khYHqNvMYTtKoOJA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000144.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.156190e+00   5.818373e-01
  3.315685e-03    1.416445e+00   3.915121e-01
  5.526141e-03    1.444774e+00   3.057540e-01
  7.736597e-03    1.721376e+00   2.819408e-01
  9.947054e-03    1.385144e+00   2.229585e-01
  1.215751e-02    1.355460e+00   1.994399e-01
  1.436797e-02    1.528133e+00   1.947854e-01
  1.657842e-02    1.382777e+00   1.724727e-01
  1.878888e-02    1.549285e+00   1.714862e-01
  2.099934e-02    1.431738e+00   1.559674e-01
  2.320979e-02    1.401439e+00   1.467641e-01
  2.542025e-02    1.357681e+00   1.380411e-01
  2.763070e-02    1.486759e+00   1.385513e-01
  2.984116e-02    1.419649e+00   1.302768e-01
  3.205162e-02    1.292554e+00   1.199529e-01
  3.426207e-02    1.223437e+00   1.128667e-01
  3.647253e-02    1.390996e+00   1.166414e-01
  3.868299e-02    1.442606e+00   1.153505e-01
  4.089344e-02    1.460466e+00   1.128825e-01
  4.310390e-02    1.499180e+00   1.113912e-01
  4.531436e-02    1.485372e+00   1.081393e-01
  4.752481e-02    1.488131e+00   1.056914e-01
  4.973527e-02    1.512793e+00   1.041697e-01
  5.194572e-02    1.404108e+00   9.819812e-02
  5.415618e-02    1.362437e+00   9.473205e-02
  5.636664e-02    1.505173e+00   9.760194e-02
  5.857709e-02    1.399817e+00   9.233156e-02
  6.078755e-02    1.459662e+00   9.255151e-02
  6.299801e-02    1.464227e+00   9.105437e-02
  6.520846e-02    1.395119e+00   8.736073e-02
  6.741892e-02    1.447409e+00   8.750754e-02
  6.962938e-02    1.413460e+00   8.509580e-02
  7.183983e-02    1.536424e+00   8.734289e-02
  7.405029e-02    1.423306e+00   8.280002e-02
  7.626074e-02    1.515960e+00   8.420426e-02
  7.847120e-02    1.524467e+00   8.324017e-02
  8.068166e-02    1.519868e+00   8.196739e-02
  8.289211e-02    1.567669e+00   8.212852e-02
  8.510257e-02    1.475497e+00   7.863547e-02
