# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166608",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "hUVkwEf7DyArE879QBA7Bg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000146.dat
#        q_A^-1              I           sigma 
  1.105228e-03    8.052240e-01   4.855627e-01
  3.315685e-03    1.469465e+00   3.987723e-01
  5.526141e-03    1.203134e+00   2.790160e-01
  7.736597e-03    1.386362e+00   2.530222e-01
  9.947054e-03    1.668709e+00   2.447185e-01
  1.215751e-02    1.831264e+00   2.318164e-01
  1.436797e-02    1.556927e+00   1.966120e-01
  1.657842e-02    1.085293e+00   1.527981e-01
  1.878888e-02    1.334219e+00   1.591391e-01
  2.099934e-02    1.703378e+00   1.701208e-01
  2.320979e-02    1.528955e+00   1.532958e-01
  2.542025e-02    1.612741e+00   1.504498e-01
  2.763070e-02    1.444613e+00   1.365734e-01
  2.984116e-02    1.423857e+00   1.304697e-01
  3.205162e-02    1.222021e+00   1.166341e-01
  3.426207e-02    1.347409e+00   1.184471e-01
  3.647253e-02    1.328214e+00   1.139787e-01
  3.868299e-02    1.388097e+00   1.131502e-01
  4.089344e-02    1.462544e+00   1.129627e-01
  4.310390e-02    1.445227e+00   1.093684e-01
  4.531436e-02    1.274227e+00   1.001588e-01
  4.752481e-02    1.362584e+00   1.011348e-01
  4.973527e-02    1.476386e+00   1.029086e-01
  5.194572e-02    1.420720e+00   9.877732e-02
  5.415618e-02    1.319016e+00   9.321027e-02
  5.636664e-02    1.317051e+00   9.129910e-02
  5.857709e-02    1.443292e+00   9.375442e-02
  6.078755e-02    1.295341e+00   8.718653e-02
  6.299801e-02    1.436118e+00   9.017610e-02
  6.520846e-02    1.486735e+00   9.018361e-02
  6.741892e-02    1.331475e+00   8.392983e-02
  6.962938e-02    1.449642e+00   8.617806e-02
  7.183983e-02    1.401011e+00   8.340514e-02
  7.405029e-02    1.415177e+00   8.256319e-02
  7.626074e-02    1.556352e+00   8.531871e-02
  7.847120e-02    1.619503e+00   8.579557e-02
  8.068166e-02    1.497410e+00   8.135957e-02
  8.289211e-02    1.501325e+00   8.037186e-02
  8.510257e-02    1.493315e+00   7.910887e-02
  8.731303e-02    1.568292e+00   8.003467e-02
  8.952348e-02    1.534536e+00   7.818729e-02
  9.173394e-02    1.491348e+00   7.614186e-02
  9.394439e-02    1.536898e+00   7.637862e-02
  9.615485e-02    1.536615e+00   7.548702e-02
  9.836531e-02    1.482038e+00   7.329462e-02
  1.005758e-01    1.441141e+00   7.147804e-02
  1.027862e-01    1.473505e+00   7.149301e-02
  1.049967e-01    1.513238e+00   7.168256e-02
  1.072071e-01    1.550786e+00   7.181360e-02
  1.094176e-01    1.484576e+00   6.954944e-02
  1.116280e-01    1.595774e+00   7.138801e-02
  1.138385e-01    1.518528e+00   6.895802e-02
