# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166634",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "ekbf9ci4Jgj4liTfNNrnXg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000148.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.083455e+00   5.632386e-01
  3.315685e-03    1.122922e+00   3.485942e-01
  5.526141e-03    1.157336e+00   2.736540e-01
  7.736597e-03    1.504356e+00   2.635697e-01
  9.947054e-03    1.485860e+00   2.309221e-01
  1.215751e-02    1.372707e+00   2.007047e-01
  1.436797e-02    1.337085e+00   1.822029e-01
  1.657842e-02    1.165784e+00   1.583629e-01
  1.878888e-02    1.159460e+00   1.483513e-01
  2.099934e-02    1.303079e+00   1.487947e-01
  2.320979e-02    1.339996e+00   1.435108e-01
  2.542025e-02    1.317435e+00   1.359797e-01
  2.763070e-02    1.196794e+00   1.243083e-01
  2.984116e-02    1.453963e+00   1.318418e-01
  3.205162e-02    1.401989e+00   1.249276e-01
  3.426207e-02    1.393166e+00   1.204415e-01
  3.647253e-02    1.304573e+00   1.129598e-01
  3.868299e-02    1.379424e+00   1.127962e-01
  4.089344e-02    1.481179e+00   1.136801e-01
  4.310390e-02    1.447470e+00   1.094533e-01
  4.531436e-02    1.363695e+00   1.036154e-01
  4.752481e-02    1.452159e+00   1.044061e-01
  4.973527e-02    1.478501e+00   1.029823e-01
  5.194572e-02    1.462717e+00   1.002266e-01
  5.415618e-02    1.372111e+00   9.506778e-02
  5.636664e-02    1.534316e+00   9.854229e-02
  5.857709e-02    1.493015e+00   9.535570e-02
  6.078755e-02    1.446687e+00   9.213923e-02
  6.299801e-02    1.423317e+00   8.977331e-02
  6.520846e-02    1.364425e+00   8.639441e-02
  6.741892e-02    1.372313e+00   8.520719e-02
  6.962938e-02    1.480882e+00   8.710168e-02
  7.183983e-02    1.497921e+00   8.624155e-02
  7.405029e-02    1.413512e+00   8.251465e-02
  7.626074e-02    1.344780e+00   7.930782e-02
  7.847120e-02    1.343838e+00   7.815333e-02
  8.068166e-02    1.407925e+00   7.889111e-02
  8.289211e-02    1.492528e+00   8.013605e-02
  8.510257e-02    1.548838e+00   8.056612e-02
  8.731303e-02    1.516078e+00   7.869107e-02
  8.952348e-02    1.442668e+00   7.581076e-02
  9.173394e-02    1.442497e+00   7.488438e-02
  9.394439e-02    1.482759e+00   7.502130e-02
  9.615485e-02    1.506473e+00   7.474299e-02
  9.836531e-02    1.535664e+00   7.460888e-02
  1.005758e-01    1.445635e+00   7.158943e-02
  1.027862e-01    1.417251e+00   7.011504e-02
  1.049967e-01    1.529553e+00   7.206795e-02
  1.072071e-01    1.601464e+00   7.297756e-02
  1.094176e-01    1.587838e+00   7.192760e-02
  1.116280e-01    1.448814e+00   6.802149e-02
  1.138385e-01    1.524332e+00   6.908965e-02
  1.160490e-01    1.499743e+00   6.787354e-02
  1.182594e-01    1.530915e+00   6.792987e-02
  1.204699e-01    1.563312e+00   6.801168e-02
  1.226803e-01    1.570796e+00   6.755452e-02
  1.248908e-01    1.546711e+00   6.643794e-02
  1.271012e-01    1.616959e+00   6.733529e-02
  1.293117e-01    1.665183e+00   6.774462e-02
  1.315222e-01    1.621520e+00   6.628487e-02
  1.337326e-01    1.618307e+00   6.566837e-02
  1.359431e-01    1.589142e+00   6.511202e-02
  1.381535e-01    1.502983e+00   6.417230e-02
  1.403640e-01    1.546193e+00   6.536926e-02
  1.425744e-01    1.645246e+00   6.753831e-02
  1.447849e-01    1.675844e+00   6.817918e-02
  1.469953e-01    1.543783e+00   6.539674e-02
  1.492058e-01    1.484855e+00   6.406189e-02
  1.514163e-01    1.590866e+00   6.619921e-02
  1.536267e-01    1.659792e+00   6.748607e-02
  1.558372e-01    1.641207e+00   6.695903e-02
  1.580476e-01    1.605420e+00   6.606429e-02
  1.602581e-01    1.591922e+00   6.561887e-02
  1.624685e-01    1.696049e+00   6.754550e-02
  1.646790e-01    1.694306e+00   6.731695e-02
  1.668895e-01    1.653760e+00   6.631451e-02
  1.690999e-01    1.743820e+00   6.789175e-02
  1.713104e-01    1.802140e+00   6.880353e-02
  1.735208e-01    1.796099e+00   6.847451e-02
  1.757313e-01    1.780520e+00   6.796324e-02
  1.779417e-01    1.783727e+00   6.780255e-02
  1.801522e-01    1.871634e+00   6.923197e-02
  1.823626e-01    1.905675e+00   6.962621e-02
  1.845731e-01    1.962610e+00   7.042975e-02
  1.867836e-01    1.890583e+00   6.889203e-02
  1.889940e-01    1.913326e+00   6.907868e-02
  1.912045e-01    1.936896e+00   6.927076e-02
  1.934149e-01    2.018986e+00   7.048676e-02
  1.956254e-01    1.993903e+00   6.981652e-02
  1.978358e-01    2.023046e+00   7.008389e-02
  2.000463e-01    2.062620e+00   7.053155e-02
  2.022568e-01    2.070604e+00   7.043596e-02
  2.044672e-01    1.955073e+00   6.820830e-02
  2.066777e-01    2.002550e+00   6.880236e-02
  2.088881e-01    2.068026e+00   6.968937e-02
  2.110986e-01    2.036234e+00   6.891448e-02
  2.133090e-01    1.951400e+00   6.724434e-02
  2.155195e-01    1.981744e+00   6.754034e-02
  2.177300e-01    1.994914e+00   6.723204e-02
  2.199404e-01    1.925567e+00   6.431267e-02
  2.221509e-01    1.870727e+00   6.234933e-02
  2.243613e-01    1.976999e+00   6.328327e-02
  2.265718e-01    2.043340e+00   6.362718e-02
  2.287822e-01    2.099439e+00   6.385633e-02
  2.309927e-01    2.183001e+00   6.452155e-02
  2.332031e-01    2.146979e+00   6.343935e-02
