# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166634",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "qHfIOq2hF10hhlzTAvwK0A==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000149.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.000000e+00   5.411118e-01
  3.315685e-03    1.292930e+00   3.740529e-01
  5.526141e-03    1.234713e+00   2.826540e-01
  7.736597e-03    1.034924e+00   2.186122e-01
  9.947054e-03    1.365668e+00   2.213854e-01
  1.215751e-02    1.270503e+00   1.930885e-01
  1.436797e-02    1.643132e+00   2.019817e-01
  1.657842e-02    1.679631e+00   1.900865e-01
  1.878888e-02    1.778775e+00   1.837486e-01
  2.099934e-02    1.451852e+00   1.570592e-01
  2.320979e-02    1.385663e+00   1.459357e-01
  2.542025e-02    1.374918e+00   1.389146e-01
  2.763070e-02    1.442259e+00   1.364621e-01
  2.984116e-02    1.299477e+00   1.246410e-01
  3.205162e-02    1.322278e+00   1.213243e-01
  3.426207e-02    1.432582e+00   1.221334e-01
  3.647253e-02    1.605006e+00   1.252934e-01
  3.868299e-02    1.450710e+00   1.156740e-01
  4.089344e-02    1.506326e+00   1.146410e-01
  4.310390e-02    1.414425e+00   1.081967e-01
  4.531436e-02    1.448606e+00   1.067925e-01
  4.752481e-02    1.562027e+00   1.082837e-01
  4.973527e-02    1.508700e+00   1.040287e-01
  5.194572e-02    1.447554e+00   9.970576e-02
  5.415618e-02    1.451204e+00   9.776940e-02
  5.636664e-02    1.551242e+00   9.908430e-02
  5.857709e-02    1.712771e+00   1.021326e-01
  6.078755e-02    1.536841e+00   9.496681e-02
  6.299801e-02    1.504864e+00   9.230923e-02
  6.520846e-02    1.538073e+00   9.172742e-02
  6.741892e-02    1.526956e+00   8.988000e-02
  6.962938e-02    1.498035e+00   8.760469e-02
  7.183983e-02    1.483639e+00   8.582943e-02
  7.405029e-02    1.496148e+00   8.489233e-02
  7.626074e-02    1.570869e+00   8.571570e-02
  7.847120e-02    1.474496e+00   8.186454e-02
  8.068166e-02    1.461359e+00   8.037420e-02
  8.289211e-02    1.555189e+00   8.180094e-02
  8.510257e-02    1.611966e+00   8.219160e-02
  8.731303e-02    1.519850e+00   7.878890e-02
  8.952348e-02    1.505148e+00   7.743499e-02
  9.173394e-02    1.571543e+00   7.816224e-02
  9.394439e-02    1.560457e+00   7.696179e-02
  9.615485e-02    1.555131e+00   7.594045e-02
  9.836531e-02    1.562741e+00   7.526376e-02
  1.005758e-01    1.509444e+00   7.315230e-02
  1.027862e-01    1.445395e+00   7.080781e-02
  1.049967e-01    1.509298e+00   7.158918e-02
  1.072071e-01    1.564711e+00   7.213531e-02
  1.094176e-01    1.539352e+00   7.082088e-02
  1.116280e-01    1.511957e+00   6.948794e-02
  1.138385e-01    1.544469e+00   6.954450e-02
  1.160490e-01    1.632285e+00   7.080924e-02
  1.182594e-01    1.651954e+00   7.056420e-02
  1.204699e-01    1.530815e+00   6.730108e-02
  1.226803e-01    1.521086e+00   6.647698e-02
  1.248908e-01    1.472841e+00   6.483201e-02
  1.271012e-01    1.473570e+00   6.428040e-02
  1.293117e-01    1.658779e+00   6.761422e-02
  1.315222e-01    1.724213e+00   6.835158e-02
  1.337326e-01    1.739156e+00   6.807615e-02
  1.359431e-01    1.661107e+00   6.657001e-02
  1.381535e-01    1.680613e+00   6.785852e-02
  1.403640e-01    1.708468e+00   6.871400e-02
  1.425744e-01    1.584321e+00   6.627603e-02
  1.447849e-01    1.577205e+00   6.614225e-02
  1.469953e-01    1.716110e+00   6.895018e-02
  1.492058e-01    1.681222e+00   6.816642e-02
  1.514163e-01    1.570484e+00   6.577379e-02
  1.536267e-01    1.653453e+00   6.735708e-02
  1.558372e-01    1.696335e+00   6.807432e-02
  1.580476e-01    1.623165e+00   6.642841e-02
  1.602581e-01    1.604384e+00   6.587520e-02
  1.624685e-01    1.786613e+00   6.932542e-02
  1.646790e-01    1.713172e+00   6.769070e-02
  1.668895e-01    1.701816e+00   6.727113e-02
  1.690999e-01    1.699051e+00   6.701460e-02
  1.713104e-01    1.761553e+00   6.802432e-02
  1.735208e-01    1.807343e+00   6.868852e-02
  1.757313e-01    1.792719e+00   6.819563e-02
  1.779417e-01    1.807985e+00   6.826205e-02
  1.801522e-01    1.861362e+00   6.904176e-02
  1.823626e-01    1.919394e+00   6.987635e-02
  1.845731e-01    1.969119e+00   7.054646e-02
  1.867836e-01    1.976054e+00   7.043207e-02
  1.889940e-01    2.026764e+00   7.109699e-02
  1.912045e-01    1.923975e+00   6.903933e-02
  1.934149e-01    2.032320e+00   7.071912e-02
  1.956254e-01    2.047951e+00   7.075644e-02
  1.978358e-01    2.049000e+00   7.053199e-02
  2.000463e-01    2.068641e+00   7.063443e-02
  2.022568e-01    1.953661e+00   6.841801e-02
  2.044672e-01    2.009905e+00   6.915815e-02
  2.066777e-01    2.033262e+00   6.932796e-02
  2.088881e-01    2.052094e+00   6.942042e-02
  2.110986e-01    1.889125e+00   6.637847e-02
  2.133090e-01    1.901126e+00   6.637246e-02
  2.155195e-01    1.958023e+00   6.713492e-02
  2.177300e-01    1.944908e+00   6.638407e-02
  2.199404e-01    2.009726e+00   6.570305e-02
  2.221509e-01    2.009842e+00   6.462606e-02
  2.243613e-01    1.982390e+00   6.336951e-02
  2.265718e-01    2.028400e+00   6.339414e-02
  2.287822e-01    2.108819e+00   6.399883e-02
  2.309927e-01    2.160051e+00   6.418151e-02
  2.332031e-01    2.155514e+00   6.356532e-02
  2.354136e-01    2.172986e+00   6.330514e-02
  2.376241e-01    2.207322e+00   6.330813e-02
  2.398345e-01    2.173007e+00   6.234923e-02
  2.420450e-01    2.093236e+00   6.075677e-02
  2.442554e-01    2.189359e+00   6.170803e-02
  2.464659e-01    2.142151e+00   6.062932e-02
  2.486763e-01    2.212831e+00   6.121637e-02
  2.508868e-01    2.180755e+00   6.038773e-02
  2.530973e-01    2.140500e+00   5.945684e-02
  2.553077e-01    2.172165e+00   5.953169e-02
  2.575182e-01    2.163361e+00   5.905944e-02
  2.597286e-01    2.135934e+00   5.834272e-02
  2.619391e-01    2.124960e+00   5.785763e-02
  2.641495e-01    2.145912e+00   5.782038e-02
  2.663600e-01    2.090278e+00   5.675211e-02
  2.685704e-01    2.065613e+00   5.611049e-02
  2.707809e-01    2.022440e+00   5.522629e-02
  2.729914e-01    2.061093e+00   5.546101e-02
  2.752018e-01    2.037609e+00   5.485714e-02
  2.774123e-01    1.960787e+00   5.353818e-02
  2.796227e-01    2.040323e+00   5.434310e-02
  2.818332e-01    2.058969e+00   5.431851e-02
  2.840436e-01    2.037894e+00   5.377785e-02
  2.862541e-01    2.038441e+00   5.352652e-02
  2.884646e-01    1.999393e+00   5.275978e-02
  2.906750e-01    2.071880e+00   5.345299e-02
  2.928855e-01    2.042532e+00   5.282718e-02
  2.950959e-01    1.986413e+00   5.185707e-02
  2.973064e-01    1.990103e+00   5.167193e-02
  2.995168e-01    1.966558e+00   5.113274e-02
  3.017273e-01    1.929373e+00   5.042369e-02
  3.039377e-01    1.993833e+00   5.103465e-02
  3.061482e-01    1.973755e+00   5.055738e-02
  3.083587e-01    1.885161e+00   4.919584e-02
  3.105691e-01    1.926532e+00   4.952027e-02
  3.127796e-01    1.974423e+00   4.992125e-02
  3.149900e-01    1.914684e+00   4.895541e-02
  3.172005e-01    1.905540e+00   4.863868e-02
  3.194109e-01    1.908686e+00   4.847784e-02
  3.216214e-01    1.873165e+00   4.782869e-02
  3.238319e-01    1.963997e+00   4.878053e-02
  3.260423e-01    1.927343e+00   4.813076e-02
  3.282528e-01    1.826559e+00   4.666888e-02
  3.304632e-01    1.902828e+00   4.744874e-02
  3.326737e-01    1.920399e+00   4.748131e-02
  3.348841e-01    1.948705e+00   4.764451e-02
  3.370946e-01    1.870187e+00   4.649916e-02
  3.393050e-01    1.881996e+00   4.646906e-02
  3.415155e-01    1.913250e+00   4.667712e-02
  3.437260e-01    1.917166e+00   4.655172e-02
  3.459364e-01    1.857295e+00   4.564957e-02
  3.481469e-01    1.832078e+00   4.517312e-02
  3.503573e-01    1.832055e+00   4.500828e-02
  3.525678e-01    1.851438e+00   4.508449e-02
  3.547782e-01    1.875645e+00   4.521426e-02
  3.569887e-01    1.860313e+00   4.486953e-02
  3.591992e-01    1.806001e+00   4.405326e-02
  3.614096e-01    1.868463e+00   4.465323e-02
  3.636201e-01    1.823758e+00   4.396080e-02
  3.658305e-01    1.852370e+00   4.415315e-02
  3.680410e-01    1.851970e+00   4.399655e-02
  3.702514e-01    1.830181e+00   4.358988e-02
  3.724619e-01    1.875007e+00   4.397021e-02
  3.746724e-01    1.814710e+00   4.311312e-02
  3.768828e-01    1.850405e+00   4.338856e-02
  3.790933e-01    1.831051e+00   4.302044e-02
  3.813037e-01    1.851748e+00   4.312131e-02
  3.835142e-01    1.836842e+00   4.280638e-02
  3.857246e-01    1.851151e+00   4.283369e-02
  3.879351e-01    1.849214e+00   4.267272e-02
  3.901455e-01    1.812504e+00   4.211254e-02
  3.923560e-01    1.823643e+00   4.210747e-02
  3.945665e-01    1.851739e+00   4.229605e-02
