# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166612",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "Prbj04SxF+7BY6pW/1NfPQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000150.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.456844e+00   6.531208e-01
  3.315685e-03    1.380211e+00   3.864722e-01
  5.526141e-03    1.175225e+00   2.757608e-01
  7.736597e-03    1.180773e+00   2.335089e-01
  9.947054e-03    1.443401e+00   2.275989e-01
  1.215751e-02    1.463819e+00   2.072585e-01
  1.436797e-02    1.237127e+00   1.752601e-01
  1.657842e-02    1.485853e+00   1.787855e-01
  1.878888e-02    1.426477e+00   1.645493e-01
  2.099934e-02    1.556136e+00   1.626019e-01
  2.320979e-02    1.547211e+00   1.542082e-01
  2.542025e-02    1.563238e+00   1.481228e-01
  2.763070e-02    1.499246e+00   1.391319e-01
  2.984116e-02    1.477936e+00   1.329243e-01
  3.205162e-02    1.369375e+00   1.234660e-01
  3.426207e-02    1.346304e+00   1.183985e-01
  3.647253e-02    1.396796e+00   1.168843e-01
  3.868299e-02    1.249633e+00   1.073586e-01
  4.089344e-02    1.413225e+00   1.110418e-01
  4.310390e-02    1.602480e+00   1.151649e-01
  4.531436e-02    1.547530e+00   1.103787e-01
  4.752481e-02    1.302113e+00   9.886520e-02
  4.973527e-02    1.424044e+00   1.010679e-01
  5.194572e-02    1.557565e+00   1.034251e-01
  5.415618e-02    1.445240e+00   9.756829e-02
  5.636664e-02    1.477033e+00   9.668528e-02
  5.857709e-02    1.447412e+00   9.388811e-02
  6.078755e-02    1.518705e+00   9.440479e-02
  6.299801e-02    1.413922e+00   8.947654e-02
  6.520846e-02    1.386396e+00   8.708721e-02
  6.741892e-02    1.475117e+00   8.834115e-02
  6.962938e-02    1.490493e+00   8.738387e-02
  7.183983e-02    1.569678e+00   8.828304e-02
  7.405029e-02    1.568043e+00   8.690810e-02
  7.626074e-02    1.542629e+00   8.494173e-02
  7.847120e-02    1.557042e+00   8.412483e-02
  8.068166e-02    1.361556e+00   7.758112e-02
  8.289211e-02    1.385016e+00   7.719588e-02
  8.510257e-02    1.412515e+00   7.693888e-02
  8.731303e-02    1.494105e+00   7.811876e-02
  8.952348e-02    1.449356e+00   7.598625e-02
  9.173394e-02    1.570543e+00   7.813735e-02
  9.394439e-02    1.549594e+00   7.669345e-02
  9.615485e-02    1.468983e+00   7.380710e-02
  9.836531e-02    1.563993e+00   7.529389e-02
  1.005758e-01    1.565680e+00   7.450250e-02
  1.027862e-01    1.585878e+00   7.416905e-02
  1.049967e-01    1.615070e+00   7.405522e-02
  1.072071e-01    1.621855e+00   7.344068e-02
  1.094176e-01    1.684779e+00   7.409073e-02
  1.116280e-01    1.605371e+00   7.160238e-02
  1.138385e-01    1.534493e+00   6.931955e-02
  1.160490e-01    1.598818e+00   7.007959e-02
  1.182594e-01    1.550245e+00   6.835740e-02
  1.204699e-01    1.542379e+00   6.755479e-02
  1.226803e-01    1.658226e+00   6.940907e-02
  1.248908e-01    1.758566e+00   7.084202e-02
  1.271012e-01    1.632020e+00   6.764817e-02
  1.293117e-01    1.735921e+00   6.916856e-02
  1.315222e-01    1.679172e+00   6.745292e-02
  1.337326e-01    1.624082e+00   6.578543e-02
  1.359431e-01    1.648357e+00   6.631401e-02
  1.381535e-01    1.654758e+00   6.733453e-02
  1.403640e-01    1.626829e+00   6.705216e-02
  1.425744e-01    1.550431e+00   6.556334e-02
  1.447849e-01    1.561177e+00   6.580532e-02
  1.469953e-01    1.630669e+00   6.721183e-02
  1.492058e-01    1.756785e+00   6.968144e-02
  1.514163e-01    1.647459e+00   6.736642e-02
  1.536267e-01    1.610422e+00   6.647482e-02
  1.558372e-01    1.665567e+00   6.745411e-02
  1.580476e-01    1.678043e+00   6.754201e-02
  1.602581e-01    1.647360e+00   6.675168e-02
  1.624685e-01    1.666709e+00   6.695873e-02
  1.646790e-01    1.734372e+00   6.810824e-02
  1.668895e-01    1.780234e+00   6.880356e-02
  1.690999e-01    1.814091e+00   6.924617e-02
  1.713104e-01    1.806394e+00   6.888469e-02
  1.735208e-01    1.844378e+00   6.938870e-02
  1.757313e-01    1.814511e+00   6.860889e-02
  1.779417e-01    1.870961e+00   6.944071e-02
  1.801522e-01    1.851198e+00   6.885301e-02
  1.823626e-01    1.913904e+00   6.977636e-02
  1.845731e-01    1.921073e+00   6.968048e-02
  1.867836e-01    1.999799e+00   7.085396e-02
  1.889940e-01    2.038540e+00   7.130324e-02
  1.912045e-01    1.999158e+00   7.037532e-02
  1.934149e-01    1.993992e+00   7.004913e-02
  1.956254e-01    1.919903e+00   6.850869e-02
  1.978358e-01    2.041684e+00   7.040600e-02
  2.000463e-01    2.000393e+00   6.945945e-02
  2.022568e-01    1.999171e+00   6.921033e-02
  2.044672e-01    1.986976e+00   6.876254e-02
  2.066777e-01    2.011061e+00   6.894843e-02
  2.088881e-01    2.005814e+00   6.863314e-02
  2.110986e-01    2.073946e+00   6.954972e-02
  2.133090e-01    2.015541e+00   6.834054e-02
  2.155195e-01    2.022174e+00   6.822582e-02
  2.177300e-01    2.006206e+00   6.742205e-02
  2.199404e-01    2.018796e+00   6.585116e-02
  2.221509e-01    1.924008e+00   6.323104e-02
  2.243613e-01    1.901269e+00   6.205938e-02
  2.265718e-01    2.065810e+00   6.397609e-02
  2.287822e-01    2.140413e+00   6.447643e-02
  2.309927e-01    2.231468e+00   6.523390e-02
  2.332031e-01    2.218990e+00   6.449448e-02
  2.354136e-01    2.198102e+00   6.366995e-02
  2.376241e-01    2.155495e+00   6.256048e-02
  2.398345e-01    2.163027e+00   6.220587e-02
  2.420450e-01    2.190622e+00   6.215403e-02
  2.442554e-01    2.161366e+00   6.131227e-02
  2.464659e-01    2.225451e+00   6.179689e-02
  2.486763e-01    2.274337e+00   6.206131e-02
  2.508868e-01    2.161928e+00   6.012649e-02
  2.530973e-01    2.126098e+00   5.925648e-02
  2.553077e-01    2.122523e+00   5.884751e-02
  2.575182e-01    2.130652e+00   5.861124e-02
  2.597286e-01    2.193510e+00   5.912384e-02
