# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "etSeZFrdzi8ex9gpbI2p9Q==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000151.dat
#        q_A^-1              I           sigma 
  1.105228e-03    4.632374e-01   3.682890e-01
  3.315685e-03    1.183133e+00   3.578179e-01
  5.526141e-03    1.065842e+00   2.626144e-01
  7.736597e-03    1.409683e+00   2.551414e-01
  9.947054e-03    1.337551e+00   2.190946e-01
  1.215751e-02    1.353935e+00   1.993277e-01
  1.436797e-02    1.238688e+00   1.753706e-01
  1.657842e-02    1.379727e+00   1.722824e-01
  1.878888e-02    1.582517e+00   1.733156e-01
  2.099934e-02    1.414726e+00   1.550380e-01
  2.320979e-02    1.510446e+00   1.523651e-01
  2.542025e-02    1.399189e+00   1.401353e-01
  2.763070e-02    1.301976e+00   1.296558e-01
  2.984116e-02    1.305914e+00   1.249493e-01
  3.205162e-02    1.494951e+00   1.290030e-01
  3.426207e-02    1.486709e+00   1.244193e-01
  3.647253e-02    1.373333e+00   1.158984e-01
  3.868299e-02    1.468415e+00   1.163778e-01
  4.089344e-02    1.445919e+00   1.123188e-01
  4.310390e-02    1.544592e+00   1.130657e-01
  4.531436e-02    1.479955e+00   1.079419e-01
  4.752481e-02    1.435688e+00   1.038123e-01
  4.973527e-02    1.413055e+00   1.006773e-01
  5.194572e-02    1.512928e+00   1.019324e-01
  5.415618e-02    1.548406e+00   1.009907e-01
  5.636664e-02    1.607210e+00   1.008559e-01
  5.857709e-02    1.420552e+00   9.301291e-02
  6.078755e-02    1.569443e+00   9.596881e-02
  6.299801e-02    1.484178e+00   9.167261e-02
  6.520846e-02    1.492503e+00   9.035835e-02
  6.741892e-02    1.474997e+00   8.833757e-02
  6.962938e-02    1.467836e+00   8.671715e-02
  7.183983e-02    1.601492e+00   8.917321e-02
  7.405029e-02    1.570652e+00   8.698037e-02
  7.626074e-02    1.477082e+00   8.311753e-02
  7.847120e-02    1.541900e+00   8.371477e-02
  8.068166e-02    1.465440e+00   8.048637e-02
  8.289211e-02    1.458234e+00   7.921006e-02
  8.510257e-02    1.412155e+00   7.692910e-02
