# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166604",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "wi7HeSK/DPtKga5aBUSMQQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000152.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.355602e+00   6.300181e-01
  3.315685e-03    1.674268e+00   4.256552e-01
  5.526141e-03    1.698431e+00   3.315096e-01
  7.736597e-03    1.631773e+00   2.745048e-01
  9.947054e-03    1.335598e+00   2.189346e-01
  1.215751e-02    1.218464e+00   1.890928e-01
  1.436797e-02    1.275240e+00   1.779393e-01
  1.657842e-02    1.404115e+00   1.737984e-01
  1.878888e-02    1.327431e+00   1.587338e-01
  2.099934e-02    1.360520e+00   1.520389e-01
  2.320979e-02    1.403140e+00   1.468531e-01
  2.542025e-02    1.413401e+00   1.408452e-01
  2.763070e-02    1.639692e+00   1.455029e-01
  2.984116e-02    1.455788e+00   1.319245e-01
  3.205162e-02    1.406562e+00   1.251312e-01
  3.426207e-02    1.411394e+00   1.212269e-01
  3.647253e-02    1.513924e+00   1.216863e-01
  3.868299e-02    1.441613e+00   1.153108e-01
  4.089344e-02    1.404254e+00   1.106888e-01
  4.310390e-02    1.480658e+00   1.107009e-01
  4.531436e-02    1.517126e+00   1.092890e-01
  4.752481e-02    1.500017e+00   1.061127e-01
  4.973527e-02    1.488165e+00   1.033183e-01
  5.194572e-02    1.458862e+00   1.000945e-01
  5.415618e-02    1.431380e+00   9.709933e-02
  5.636664e-02    1.469534e+00   9.643950e-02
  5.857709e-02    1.545674e+00   9.702276e-02
  6.078755e-02    1.523726e+00   9.456073e-02
  6.299801e-02    1.599615e+00   9.517089e-02
  6.520846e-02    1.488783e+00   9.024569e-02
  6.741892e-02    1.474235e+00   8.831476e-02
  6.962938e-02    1.472481e+00   8.685427e-02
  7.183983e-02    1.409267e+00   8.365052e-02
  7.405029e-02    1.464411e+00   8.398711e-02
  7.626074e-02    1.582572e+00   8.603436e-02
  7.847120e-02    1.533296e+00   8.348089e-02
  8.068166e-02    1.405338e+00   7.881860e-02
  8.289211e-02    1.501875e+00   8.038657e-02
  8.510257e-02    1.602851e+00   8.195887e-02
  8.731303e-02    1.481578e+00   7.779060e-02
  8.952348e-02    1.532142e+00   7.812625e-02
  9.173394e-02    1.657864e+00   8.028020e-02
  9.394439e-02    1.548165e+00   7.665809e-02
  9.615485e-02    1.496004e+00   7.448282e-02
  9.836531e-02    1.517729e+00   7.417191e-02
  1.005758e-01    1.551728e+00   7.416982e-02
  1.027862e-01    1.600289e+00   7.450529e-02
  1.049967e-01    1.523073e+00   7.191514e-02
  1.072071e-01    1.504599e+00   7.073609e-02
  1.094176e-01    1.608868e+00   7.240233e-02
  1.116280e-01    1.616556e+00   7.185137e-02
  1.138385e-01    1.628352e+00   7.140810e-02
  1.160490e-01    1.637023e+00   7.091196e-02
  1.182594e-01    1.575954e+00   6.892189e-02
