# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166622",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "Aa7H6iy1Q2ACE8L2zqCysA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000156.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.026004e+00   7.702065e-01
  3.315685e-03    1.980531e+00   4.629524e-01
  5.526141e-03    1.397012e+00   3.006576e-01
  7.736597e-03    1.637575e+00   2.749925e-01
  9.947054e-03    1.502793e+00   2.322342e-01
  1.215751e-02    1.472601e+00   2.078792e-01
  1.436797e-02    1.413370e+00   1.873285e-01
  1.657842e-02    1.384927e+00   1.726068e-01
  1.878888e-02    1.354385e+00   1.603373e-01
  2.099934e-02    1.508838e+00   1.601118e-01
  2.320979e-02    1.441052e+00   1.488239e-01
  2.542025e-02    1.571509e+00   1.485142e-01
  2.763070e-02    1.546590e+00   1.413116e-01
  2.984116e-02    1.529323e+00   1.352154e-01
  3.205162e-02    1.425902e+00   1.259886e-01
  3.426207e-02    1.403599e+00   1.208917e-01
  3.647253e-02    1.412782e+00   1.175513e-01
  3.868299e-02    1.507523e+00   1.179173e-01
  4.089344e-02    1.548909e+00   1.162502e-01
  4.310390e-02    1.600832e+00   1.151057e-01
  4.531436e-02    1.507632e+00   1.089466e-01
  4.752481e-02    1.577025e+00   1.088023e-01
  4.973527e-02    1.541528e+00   1.051544e-01
  5.194572e-02    1.498458e+00   1.014437e-01
  5.415618e-02    1.571992e+00   1.017569e-01
  5.636664e-02    1.500803e+00   9.746014e-02
  5.857709e-02    1.510363e+00   9.590808e-02
  6.078755e-02    1.457345e+00   9.247802e-02
  6.299801e-02    1.384797e+00   8.855020e-02
  6.520846e-02    1.549835e+00   9.207748e-02
  6.741892e-02    1.546796e+00   9.046207e-02
  6.962938e-02    1.418668e+00   8.525243e-02
  7.183983e-02    1.512595e+00   8.666293e-02
  7.405029e-02    1.415191e+00   8.256362e-02
  7.626074e-02    1.474580e+00   8.304710e-02
  7.847120e-02    1.536121e+00   8.355775e-02
  8.068166e-02    1.530673e+00   8.225825e-02
  8.289211e-02    1.555470e+00   8.180831e-02
  8.510257e-02    1.598479e+00   8.184702e-02
