# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166596",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "NC2Ag7Fxa+csOtbb1Qriig==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000158.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.199368e+00   5.926021e-01
  3.315685e-03    1.464570e+00   3.981076e-01
  5.526141e-03    1.529214e+00   3.145620e-01
  7.736597e-03    1.204451e+00   2.358385e-01
  9.947054e-03    1.219294e+00   2.091851e-01
  1.215751e-02    1.331756e+00   1.976883e-01
  1.436797e-02    1.438569e+00   1.889910e-01
  1.657842e-02    1.485797e+00   1.787822e-01
  1.878888e-02    1.426979e+00   1.645782e-01
  2.099934e-02    1.553630e+00   1.624710e-01
  2.320979e-02    1.363505e+00   1.447642e-01
  2.542025e-02    1.393442e+00   1.398472e-01
  2.763070e-02    1.614208e+00   1.443677e-01
  2.984116e-02    1.539198e+00   1.356512e-01
  3.205162e-02    1.547212e+00   1.312385e-01
  3.426207e-02    1.421529e+00   1.216614e-01
  3.647253e-02    1.440532e+00   1.187001e-01
  3.868299e-02    1.449171e+00   1.156127e-01
  4.089344e-02    1.579136e+00   1.173790e-01
  4.310390e-02    1.545070e+00   1.130832e-01
  4.531436e-02    1.319005e+00   1.019035e-01
  4.752481e-02    1.388700e+00   1.020994e-01
  4.973527e-02    1.494393e+00   1.035343e-01
  5.194572e-02    1.425575e+00   9.894595e-02
  5.415618e-02    1.443684e+00   9.751576e-02
  5.636664e-02    1.501968e+00   9.749798e-02
  5.857709e-02    1.393714e+00   9.213007e-02
  6.078755e-02    1.361159e+00   8.937413e-02
  6.299801e-02    1.403739e+00   8.915377e-02
  6.520846e-02    1.435299e+00   8.860983e-02
  6.741892e-02    1.397856e+00   8.599658e-02
  6.962938e-02    1.387912e+00   8.432323e-02
  7.183983e-02    1.392454e+00   8.315006e-02
  7.405029e-02    1.455760e+00   8.373867e-02
  7.626074e-02    1.428913e+00   8.175103e-02
  7.847120e-02    1.454713e+00   8.131350e-02
  8.068166e-02    1.517805e+00   8.191175e-02
  8.289211e-02    1.552525e+00   8.173086e-02
  8.510257e-02    1.525566e+00   7.995854e-02
  8.731303e-02    1.526326e+00   7.895660e-02
  8.952348e-02    1.474560e+00   7.664412e-02
  9.173394e-02    1.530630e+00   7.713809e-02
  9.394439e-02    1.455094e+00   7.431816e-02
  9.615485e-02    1.563740e+00   7.615034e-02
  9.836531e-02    1.481504e+00   7.328142e-02
  1.005758e-01    1.525303e+00   7.353558e-02
  1.027862e-01    1.483853e+00   7.174362e-02
  1.049967e-01    1.482421e+00   7.094891e-02
  1.072071e-01    1.529035e+00   7.130820e-02
  1.094176e-01    1.501109e+00   6.993563e-02
  1.116280e-01    1.499474e+00   6.920049e-02
  1.138385e-01    1.568372e+00   7.008060e-02
  1.160490e-01    1.548226e+00   6.896190e-02
  1.182594e-01    1.572973e+00   6.885666e-02
  1.204699e-01    1.655298e+00   6.998399e-02
  1.226803e-01    1.617818e+00   6.855819e-02
  1.248908e-01    1.624565e+00   6.808949e-02
  1.271012e-01    1.723335e+00   6.951493e-02
  1.293117e-01    1.703292e+00   6.851543e-02
  1.315222e-01    1.661969e+00   6.710652e-02
  1.337326e-01    1.627746e+00   6.585958e-02
  1.359431e-01    1.597396e+00   6.528091e-02
  1.381535e-01    1.617075e+00   6.656342e-02
  1.403640e-01    1.578798e+00   6.605488e-02
  1.425744e-01    1.642762e+00   6.748731e-02
  1.447849e-01    1.576610e+00   6.612978e-02
  1.469953e-01    1.524229e+00   6.498124e-02
  1.492058e-01    1.572026e+00   6.591552e-02
  1.514163e-01    1.537370e+00   6.507666e-02
  1.536267e-01    1.531693e+00   6.482958e-02
  1.558372e-01    1.508907e+00   6.420351e-02
  1.580476e-01    1.596332e+00   6.587701e-02
  1.602581e-01    1.690116e+00   6.761237e-02
  1.624685e-01    1.635750e+00   6.633396e-02
  1.646790e-01    1.609928e+00   6.561930e-02
  1.668895e-01    1.685954e+00   6.695687e-02
  1.690999e-01    1.676850e+00   6.657533e-02
  1.713104e-01    1.732361e+00   6.745834e-02
  1.735208e-01    1.754057e+00   6.766837e-02
  1.757313e-01    1.789764e+00   6.813943e-02
  1.779417e-01    1.866341e+00   6.935492e-02
  1.801522e-01    1.956115e+00   7.077724e-02
  1.823626e-01    1.888400e+00   6.930991e-02
  1.845731e-01    1.884996e+00   6.902307e-02
  1.867836e-01    2.034123e+00   7.145943e-02
  1.889940e-01    2.061606e+00   7.170551e-02
  1.912045e-01    2.005393e+00   7.048499e-02
  1.934149e-01    1.900312e+00   6.838384e-02
  1.956254e-01    1.875640e+00   6.771436e-02
  1.978358e-01    1.894611e+00   6.782276e-02
  2.000463e-01    1.854161e+00   6.687247e-02
  2.022568e-01    1.936239e+00   6.811226e-02
  2.044672e-01    2.005565e+00   6.908346e-02
  2.066777e-01    1.981583e+00   6.844122e-02
  2.088881e-01    2.032818e+00   6.909359e-02
  2.110986e-01    2.037847e+00   6.894177e-02
  2.133090e-01    2.051799e+00   6.895249e-02
  2.155195e-01    2.005187e+00   6.793867e-02
  2.177300e-01    1.938587e+00   6.627610e-02
  2.199404e-01    1.926984e+00   6.433631e-02
  2.221509e-01    1.936808e+00   6.344098e-02
  2.243613e-01    2.023319e+00   6.402032e-02
  2.265718e-01    2.037541e+00   6.353684e-02
  2.287822e-01    2.077021e+00   6.351448e-02
  2.309927e-01    2.070006e+00   6.282952e-02
  2.332031e-01    2.094117e+00   6.265350e-02
  2.354136e-01    2.149463e+00   6.296158e-02
  2.376241e-01    2.125278e+00   6.212042e-02
  2.398345e-01    2.182353e+00   6.248315e-02
  2.420450e-01    2.141588e+00   6.145449e-02
  2.442554e-01    2.098200e+00   6.040970e-02
  2.464659e-01    2.125839e+00   6.039803e-02
  2.486763e-01    2.180379e+00   6.076584e-02
  2.508868e-01    2.174185e+00   6.029667e-02
  2.530973e-01    2.155167e+00   5.966021e-02
  2.553077e-01    2.105654e+00   5.861319e-02
  2.575182e-01    2.090351e+00   5.805429e-02
  2.597286e-01    2.066803e+00   5.739081e-02
  2.619391e-01    2.159082e+00   5.832029e-02
  2.641495e-01    2.181308e+00   5.829528e-02
  2.663600e-01    2.110647e+00   5.702797e-02
  2.685704e-01    2.041034e+00   5.577564e-02
  2.707809e-01    2.017045e+00   5.515258e-02
  2.729914e-01    2.045879e+00   5.525593e-02
  2.752018e-01    2.053267e+00   5.506748e-02
  2.774123e-01    2.002437e+00   5.410384e-02
  2.796227e-01    2.006995e+00   5.389741e-02
  2.818332e-01    2.027329e+00   5.389955e-02
  2.840436e-01    1.989408e+00   5.313426e-02
  2.862541e-01    1.969006e+00   5.260698e-02
  2.884646e-01    2.003290e+00   5.281117e-02
  2.906750e-01    2.000912e+00   5.252956e-02
  2.928855e-01    2.048536e+00   5.290475e-02
  2.950959e-01    1.926674e+00   5.107137e-02
  2.973064e-01    1.927866e+00   5.085754e-02
  2.995168e-01    1.918571e+00   5.050501e-02
  3.017273e-01    1.971358e+00   5.096937e-02
  3.039377e-01    1.959400e+00   5.059205e-02
  3.061482e-01    1.990886e+00   5.077633e-02
  3.083587e-01    1.858200e+00   4.884279e-02
  3.105691e-01    1.848592e+00   4.850825e-02
  3.127796e-01    1.877025e+00   4.867438e-02
  3.149900e-01    1.886546e+00   4.859435e-02
  3.172005e-01    1.900739e+00   4.857736e-02
  3.194109e-01    1.900870e+00   4.837848e-02
  3.216214e-01    1.880534e+00   4.792268e-02
  3.238319e-01    1.865367e+00   4.753990e-02
  3.260423e-01    1.932486e+00   4.819492e-02
