# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166608",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "HTP2CZGjAipQ8JvWQxcRAg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000159.dat
#        q_A^-1              I           sigma 
  1.105228e-03    7.846463e-01   4.793182e-01
  3.315685e-03    1.793546e+00   4.405566e-01
  5.526141e-03    1.697263e+00   3.313955e-01
  7.736597e-03    1.548903e+00   2.674437e-01
  9.947054e-03    1.439418e+00   2.272846e-01
  1.215751e-02    1.275242e+00   1.934483e-01
  1.436797e-02    1.590579e+00   1.987254e-01
  1.657842e-02    1.291988e+00   1.667146e-01
  1.878888e-02    1.402741e+00   1.631745e-01
  2.099934e-02    1.247537e+00   1.455891e-01
  2.320979e-02    1.280202e+00   1.402724e-01
  2.542025e-02    1.515455e+00   1.458414e-01
  2.763070e-02    1.535052e+00   1.407835e-01
  2.984116e-02    1.586624e+00   1.377252e-01
  3.205162e-02    1.565408e+00   1.320079e-01
  3.426207e-02    1.484779e+00   1.243386e-01
  3.647253e-02    1.453002e+00   1.192128e-01
  3.868299e-02    1.411384e+00   1.140954e-01
  4.089344e-02    1.418875e+00   1.112635e-01
  4.310390e-02    1.452187e+00   1.096315e-01
  4.531436e-02    1.370947e+00   1.038906e-01
  4.752481e-02    1.420082e+00   1.032466e-01
  4.973527e-02    1.508254e+00   1.040133e-01
  5.194572e-02    1.444093e+00   9.958652e-02
  5.415618e-02    1.439882e+00   9.738730e-02
  5.636664e-02    1.412638e+00   9.455416e-02
  5.857709e-02    1.496678e+00   9.547260e-02
  6.078755e-02    1.382519e+00   9.007265e-02
  6.299801e-02    1.341588e+00   8.715774e-02
  6.520846e-02    1.366980e+00   8.647525e-02
  6.741892e-02    1.479689e+00   8.847794e-02
  6.962938e-02    1.542043e+00   8.888215e-02
  7.183983e-02    1.491618e+00   8.605994e-02
  7.405029e-02    1.316692e+00   7.963854e-02
  7.626074e-02    1.477746e+00   8.313619e-02
  7.847120e-02    1.475497e+00   8.189232e-02
  8.068166e-02    1.565875e+00   8.319876e-02
  8.289211e-02    1.544191e+00   8.151120e-02
  8.510257e-02    1.558305e+00   8.081195e-02
  8.731303e-02    1.503844e+00   7.837296e-02
  8.952348e-02    1.445208e+00   7.587746e-02
  9.173394e-02    1.455006e+00   7.520840e-02
  9.394439e-02    1.443608e+00   7.402424e-02
  9.615485e-02    1.504617e+00   7.469691e-02
  9.836531e-02    1.565865e+00   7.533896e-02
  1.005758e-01    1.498500e+00   7.288660e-02
  1.027862e-01    1.543415e+00   7.316935e-02
  1.049967e-01    1.479088e+00   7.086910e-02
  1.072071e-01    1.547619e+00   7.174024e-02
  1.094176e-01    1.455857e+00   6.887344e-02
  1.116280e-01    1.437099e+00   6.774589e-02
  1.138385e-01    1.520933e+00   6.901259e-02
  1.160490e-01    1.535400e+00   6.867564e-02
  1.182594e-01    1.607859e+00   6.961603e-02
  1.204699e-01    1.608086e+00   6.897873e-02
  1.226803e-01    1.558118e+00   6.728135e-02
  1.248908e-01    1.541405e+00   6.632387e-02
  1.271012e-01    1.616968e+00   6.733547e-02
  1.293117e-01    1.669941e+00   6.784134e-02
  1.315222e-01    1.599848e+00   6.584043e-02
  1.337326e-01    1.577123e+00   6.482738e-02
  1.359431e-01    1.530836e+00   6.390636e-02
  1.381535e-01    1.588988e+00   6.598281e-02
  1.403640e-01    1.661815e+00   6.776930e-02
  1.425744e-01    1.601920e+00   6.664313e-02
  1.447849e-01    1.568975e+00   6.596947e-02
  1.469953e-01    1.654123e+00   6.769346e-02
  1.492058e-01    1.611763e+00   6.674342e-02
  1.514163e-01    1.647026e+00   6.735756e-02
  1.536267e-01    1.531530e+00   6.482615e-02
  1.558372e-01    1.560118e+00   6.528390e-02
  1.580476e-01    1.676623e+00   6.751342e-02
  1.602581e-01    1.698744e+00   6.778475e-02
  1.624685e-01    1.746162e+00   6.853613e-02
  1.646790e-01    1.702992e+00   6.748927e-02
  1.668895e-01    1.667831e+00   6.659605e-02
  1.690999e-01    1.692454e+00   6.688436e-02
  1.713104e-01    1.712333e+00   6.706726e-02
  1.735208e-01    1.741340e+00   6.742262e-02
  1.757313e-01    1.799651e+00   6.832737e-02
  1.779417e-01    1.835065e+00   6.877134e-02
  1.801522e-01    1.844367e+00   6.872586e-02
  1.823626e-01    1.824857e+00   6.813381e-02
  1.845731e-01    1.906925e+00   6.942341e-02
  1.867836e-01    1.997453e+00   7.081240e-02
  1.889940e-01    1.955282e+00   6.983198e-02
  1.912045e-01    1.978455e+00   7.000995e-02
  1.934149e-01    2.014353e+00   7.040584e-02
  1.956254e-01    2.055298e+00   7.088324e-02
  1.978358e-01    2.026686e+00   7.014692e-02
  2.000463e-01    2.050293e+00   7.032046e-02
  2.022568e-01    1.975042e+00   6.879140e-02
  2.044672e-01    1.930377e+00   6.777611e-02
  2.066777e-01    1.976985e+00   6.836179e-02
  2.088881e-01    2.062790e+00   6.960108e-02
  2.110986e-01    2.031897e+00   6.884107e-02
  2.133090e-01    1.949745e+00   6.721581e-02
  2.155195e-01    1.976273e+00   6.744707e-02
  2.177300e-01    2.003571e+00   6.737776e-02
  2.199404e-01    1.977536e+00   6.517477e-02
  2.221509e-01    1.901695e+00   6.286328e-02
  2.243613e-01    1.985192e+00   6.341429e-02
  2.265718e-01    1.980902e+00   6.264751e-02
  2.287822e-01    2.046741e+00   6.304982e-02
  2.309927e-01    1.988343e+00   6.157773e-02
  2.332031e-01    2.003160e+00   6.127771e-02
  2.354136e-01    2.138877e+00   6.280634e-02
  2.376241e-01    2.102095e+00   6.178070e-02
  2.398345e-01    2.043665e+00   6.046516e-02
  2.420450e-01    2.219909e+00   6.256811e-02
  2.442554e-01    2.201817e+00   6.188336e-02
  2.464659e-01    2.179554e+00   6.115635e-02
  2.486763e-01    2.093051e+00   5.953652e-02
  2.508868e-01    2.132269e+00   5.971260e-02
  2.530973e-01    2.121766e+00   5.919609e-02
  2.553077e-01    2.105330e+00   5.860869e-02
  2.575182e-01    2.074822e+00   5.783825e-02
  2.597286e-01    2.060033e+00   5.729673e-02
  2.619391e-01    2.069910e+00   5.710327e-02
  2.641495e-01    2.047321e+00   5.647650e-02
  2.663600e-01    2.081662e+00   5.663504e-02
  2.685704e-01    2.014383e+00   5.541029e-02
  2.707809e-01    1.970793e+00   5.451658e-02
  2.729914e-01    2.007980e+00   5.474174e-02
  2.752018e-01    2.073783e+00   5.534192e-02
  2.774123e-01    2.050246e+00   5.474589e-02
  2.796227e-01    1.970120e+00   5.340000e-02
  2.818332e-01    1.968878e+00   5.311685e-02
  2.840436e-01    1.986654e+00   5.309747e-02
  2.862541e-01    1.984402e+00   5.281225e-02
  2.884646e-01    1.985285e+00   5.257335e-02
  2.906750e-01    1.889564e+00   5.104704e-02
  2.928855e-01    1.945032e+00   5.155089e-02
  2.950959e-01    1.926291e+00   5.106628e-02
  2.973064e-01    2.027462e+00   5.215468e-02
  2.995168e-01    2.008043e+00   5.166924e-02
  3.017273e-01    1.969780e+00   5.094899e-02
  3.039377e-01    1.968840e+00   5.071377e-02
  3.061482e-01    2.016136e+00   5.109730e-02
  3.083587e-01    1.960099e+00   5.016411e-02
  3.105691e-01    1.894951e+00   4.911273e-02
  3.127796e-01    1.946438e+00   4.956621e-02
  3.149900e-01    1.928304e+00   4.912923e-02
  3.172005e-01    1.900473e+00   4.857396e-02
  3.194109e-01    1.861598e+00   4.787614e-02
  3.216214e-01    1.867625e+00   4.775790e-02
  3.238319e-01    1.900899e+00   4.799055e-02
  3.260423e-01    1.884145e+00   4.758831e-02
  3.282528e-01    1.836143e+00   4.679115e-02
  3.304632e-01    1.922735e+00   4.769628e-02
  3.326737e-01    1.871188e+00   4.686901e-02
  3.348841e-01    1.895460e+00   4.698908e-02
  3.370946e-01    1.876924e+00   4.658283e-02
  3.393050e-01    1.849081e+00   4.606090e-02
  3.415155e-01    1.835857e+00   4.572333e-02
  3.437260e-01    1.837491e+00   4.557412e-02
  3.459364e-01    1.863058e+00   4.572033e-02
  3.481469e-01    1.877286e+00   4.572706e-02
  3.503573e-01    1.800443e+00   4.461827e-02
  3.525678e-01    1.826144e+00   4.477548e-02
  3.547782e-01    1.797763e+00   4.426559e-02
  3.569887e-01    1.853455e+00   4.478675e-02
  3.591992e-01    1.851018e+00   4.459894e-02
  3.614096e-01    1.784174e+00   4.363444e-02
  3.636201e-01    1.782485e+00   4.346051e-02
