# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166630",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "eSCPYSqd5JcBymhsmLGWug==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000162.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.057407e+00   5.564268e-01
  3.315685e-03    1.088229e+00   3.431671e-01
  5.526141e-03    1.466773e+00   3.080730e-01
  7.736597e-03    1.312958e+00   2.462327e-01
  9.947054e-03    1.772553e+00   2.522180e-01
  1.215751e-02    1.269979e+00   1.930487e-01
  1.436797e-02    1.177789e+00   1.710053e-01
  1.657842e-02    1.363191e+00   1.712469e-01
  1.878888e-02    1.257102e+00   1.544716e-01
  2.099934e-02    1.380276e+00   1.531387e-01
  2.320979e-02    1.233316e+00   1.376797e-01
  2.542025e-02    1.407942e+00   1.405730e-01
  2.763070e-02    1.442236e+00   1.364610e-01
  2.984116e-02    1.441399e+00   1.312710e-01
  3.205162e-02    1.350241e+00   1.226004e-01
  3.426207e-02    1.510732e+00   1.254205e-01
  3.647253e-02    1.390679e+00   1.166281e-01
  3.868299e-02    1.419533e+00   1.144243e-01
  4.089344e-02    1.507094e+00   1.146703e-01
  4.310390e-02    1.551472e+00   1.133172e-01
  4.531436e-02    1.628227e+00   1.132200e-01
  4.752481e-02    1.624129e+00   1.104153e-01
  4.973527e-02    1.478354e+00   1.029772e-01
  5.194572e-02    1.553038e+00   1.032747e-01
  5.415618e-02    1.478843e+00   9.869608e-02
  5.636664e-02    1.458820e+00   9.608731e-02
  5.857709e-02    1.438249e+00   9.359046e-02
  6.078755e-02    1.494871e+00   9.366108e-02
  6.299801e-02    1.377403e+00   8.831348e-02
  6.520846e-02    1.516824e+00   9.109159e-02
  6.741892e-02    1.379550e+00   8.543161e-02
  6.962938e-02    1.418448e+00   8.524579e-02
  7.183983e-02    1.461902e+00   8.519834e-02
  7.405029e-02    1.437391e+00   8.320870e-02
  7.626074e-02    1.385599e+00   8.050246e-02
  7.847120e-02    1.429123e+00   8.059511e-02
  8.068166e-02    1.504271e+00   8.154576e-02
  8.289211e-02    1.518882e+00   8.084045e-02
  8.510257e-02    1.518171e+00   7.976453e-02
  8.731303e-02    1.562564e+00   7.988840e-02
  8.952348e-02    1.511248e+00   7.759174e-02
  9.173394e-02    1.546240e+00   7.753047e-02
  9.394439e-02    1.527423e+00   7.614283e-02
  9.615485e-02    1.465330e+00   7.371525e-02
  9.836531e-02    1.485053e+00   7.336915e-02
  1.005758e-01    1.475629e+00   7.232824e-02
  1.027862e-01    1.513248e+00   7.245076e-02
  1.049967e-01    1.493888e+00   7.122278e-02
  1.072071e-01    1.552526e+00   7.185388e-02
  1.094176e-01    1.559120e+00   7.127417e-02
