# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166636",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "sKGQbdehRKA/nhJPKv70Fw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000163.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.943296e+00   7.543214e-01
  3.315685e-03    1.189750e+00   3.588173e-01
  5.526141e-03    1.289185e+00   2.888216e-01
  7.736597e-03    1.286313e+00   2.437213e-01
  9.947054e-03    1.503173e+00   2.322636e-01
  1.215751e-02    1.620261e+00   2.180525e-01
  1.436797e-02    1.234311e+00   1.750605e-01
  1.657842e-02    1.481481e+00   1.785223e-01
  1.878888e-02    1.460841e+00   1.665195e-01
  2.099934e-02    1.451233e+00   1.570256e-01
  2.320979e-02    1.450976e+00   1.493355e-01
  2.542025e-02    1.228150e+00   1.312911e-01
  2.763070e-02    1.323404e+00   1.307183e-01
  2.984116e-02    1.501724e+00   1.339897e-01
  3.205162e-02    1.498655e+00   1.291627e-01
  3.426207e-02    1.407762e+00   1.210708e-01
  3.647253e-02    1.515729e+00   1.217588e-01
  3.868299e-02    1.440382e+00   1.152615e-01
  4.089344e-02    1.376261e+00   1.095799e-01
  4.310390e-02    1.333852e+00   1.050697e-01
  4.531436e-02    1.425879e+00   1.059515e-01
  4.752481e-02    1.344779e+00   1.004719e-01
  4.973527e-02    1.487990e+00   1.033122e-01
  5.194572e-02    1.419101e+00   9.872101e-02
  5.415618e-02    1.337788e+00   9.387121e-02
  5.636664e-02    1.410667e+00   9.448817e-02
  5.857709e-02    1.479799e+00   9.493271e-02
  6.078755e-02    1.392956e+00   9.041202e-02
  6.299801e-02    1.296040e+00   8.566546e-02
  6.520846e-02    1.307364e+00   8.456857e-02
  6.741892e-02    1.473990e+00   8.830738e-02
  6.962938e-02    1.496392e+00   8.755663e-02
  7.183983e-02    1.529842e+00   8.715562e-02
  7.405029e-02    1.490411e+00   8.472944e-02
  7.626074e-02    1.427405e+00   8.170787e-02
  7.847120e-02    1.500270e+00   8.257694e-02
  8.068166e-02    1.504918e+00   8.156327e-02
  8.289211e-02    1.529519e+00   8.112302e-02
  8.510257e-02    1.467852e+00   7.843149e-02
  8.731303e-02    1.453735e+00   7.705615e-02
  8.952348e-02    1.529760e+00   7.806553e-02
  9.173394e-02    1.525665e+00   7.701289e-02
  9.394439e-02    1.592995e+00   7.776004e-02
  9.615485e-02    1.637060e+00   7.791515e-02
  9.836531e-02    1.582313e+00   7.573360e-02
  1.005758e-01    1.558630e+00   7.433458e-02
  1.027862e-01    1.570434e+00   7.380704e-02
  1.049967e-01    1.492004e+00   7.117787e-02
  1.072071e-01    1.524556e+00   7.120367e-02
  1.094176e-01    1.601657e+00   7.223991e-02
  1.116280e-01    1.618240e+00   7.188877e-02
  1.138385e-01    1.627988e+00   7.140012e-02
  1.160490e-01    1.647882e+00   7.114676e-02
  1.182594e-01    1.689886e+00   7.136975e-02
  1.204699e-01    1.559024e+00   6.791835e-02
  1.226803e-01    1.499072e+00   6.599420e-02
  1.248908e-01    1.569030e+00   6.691556e-02
  1.271012e-01    1.517815e+00   6.523831e-02
  1.293117e-01    1.538630e+00   6.511946e-02
  1.315222e-01    1.628026e+00   6.641771e-02
  1.337326e-01    1.649675e+00   6.630171e-02
  1.359431e-01    1.597974e+00   6.529272e-02
  1.381535e-01    1.619972e+00   6.662303e-02
  1.403640e-01    1.600862e+00   6.651486e-02
  1.425744e-01    1.557261e+00   6.570762e-02
  1.447849e-01    1.449058e+00   6.339832e-02
  1.469953e-01    1.551238e+00   6.555442e-02
  1.492058e-01    1.575806e+00   6.599474e-02
  1.514163e-01    1.528934e+00   6.489788e-02
  1.536267e-01    1.530704e+00   6.480864e-02
  1.558372e-01    1.603482e+00   6.618498e-02
  1.580476e-01    1.582556e+00   6.559218e-02
  1.602581e-01    1.600628e+00   6.579807e-02
  1.624685e-01    1.662749e+00   6.687913e-02
  1.646790e-01    1.767868e+00   6.876277e-02
  1.668895e-01    1.756376e+00   6.834097e-02
  1.690999e-01    1.828294e+00   6.951673e-02
  1.713104e-01    1.772872e+00   6.824253e-02
  1.735208e-01    1.846483e+00   6.942827e-02
  1.757313e-01    1.815227e+00   6.862244e-02
  1.779417e-01    1.767206e+00   6.748784e-02
  1.801522e-01    1.801653e+00   6.792536e-02
  1.823626e-01    1.933982e+00   7.014140e-02
  1.845731e-01    1.878245e+00   6.889938e-02
  1.867836e-01    1.966285e+00   7.025773e-02
  1.889940e-01    1.996377e+00   7.056199e-02
  1.912045e-01    1.955817e+00   6.960829e-02
  1.934149e-01    2.019346e+00   7.049302e-02
  1.956254e-01    2.054169e+00   7.086376e-02
  1.978358e-01    2.028808e+00   7.018362e-02
  2.000463e-01    2.037316e+00   7.009756e-02
  2.022568e-01    2.009115e+00   6.938224e-02
  2.044672e-01    1.993744e+00   6.887954e-02
  2.066777e-01    2.032101e+00   6.930817e-02
  2.088881e-01    2.022881e+00   6.892451e-02
  2.110986e-01    1.935980e+00   6.719657e-02
  2.133090e-01    1.937824e+00   6.701001e-02
  2.155195e-01    2.021739e+00   6.821847e-02
  2.177300e-01    2.018150e+00   6.762247e-02
  2.199404e-01    1.972237e+00   6.508738e-02
  2.221509e-01    1.982663e+00   6.418759e-02
  2.243613e-01    1.966193e+00   6.311011e-02
  2.265718e-01    2.021184e+00   6.328126e-02
  2.287822e-01    2.108519e+00   6.399427e-02
  2.309927e-01    2.086098e+00   6.307326e-02
  2.332031e-01    2.106391e+00   6.283684e-02
  2.354136e-01    2.167045e+00   6.321855e-02
  2.376241e-01    2.150172e+00   6.248318e-02
