# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166612",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "H7Hi0h5c4XTiogUI4GCI0A==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000165.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.412306e+00   6.430598e-01
  3.315685e-03    2.158175e+00   4.832687e-01
  5.526141e-03    1.366526e+00   2.973590e-01
  7.736597e-03    1.532166e+00   2.659948e-01
  9.947054e-03    1.551731e+00   2.359852e-01
  1.215751e-02    1.257963e+00   1.921332e-01
  1.436797e-02    1.236057e+00   1.751842e-01
  1.657842e-02    1.360701e+00   1.710904e-01
  1.878888e-02    1.301985e+00   1.572051e-01
  2.099934e-02    1.530334e+00   1.612483e-01
  2.320979e-02    1.717781e+00   1.624863e-01
  2.542025e-02    1.373244e+00   1.388300e-01
  2.763070e-02    1.447307e+00   1.367007e-01
  2.984116e-02    1.362980e+00   1.276501e-01
  3.205162e-02    1.318656e+00   1.211579e-01
  3.426207e-02    1.320272e+00   1.172483e-01
  3.647253e-02    1.425476e+00   1.180782e-01
  3.868299e-02    1.556632e+00   1.198226e-01
  4.089344e-02    1.394869e+00   1.103183e-01
  4.310390e-02    1.481556e+00   1.107345e-01
  4.531436e-02    1.418239e+00   1.056673e-01
  4.752481e-02    1.365585e+00   1.012461e-01
  4.973527e-02    1.527784e+00   1.046846e-01
  5.194572e-02    1.569635e+00   1.038251e-01
  5.415618e-02    1.564188e+00   1.015040e-01
  5.636664e-02    1.517000e+00   9.798465e-02
  5.857709e-02    1.592641e+00   9.848578e-02
  6.078755e-02    1.637084e+00   9.801509e-02
  6.299801e-02    1.567302e+00   9.420476e-02
  6.520846e-02    1.403774e+00   8.763132e-02
  6.741892e-02    1.442933e+00   8.737212e-02
  6.962938e-02    1.465347e+00   8.664363e-02
  7.183983e-02    1.388595e+00   8.303476e-02
  7.405029e-02    1.346379e+00   8.053134e-02
  7.626074e-02    1.383816e+00   8.045065e-02
  7.847120e-02    1.486309e+00   8.219179e-02
  8.068166e-02    1.580241e+00   8.357955e-02
  8.289211e-02    1.557514e+00   8.186206e-02
  8.510257e-02    1.443490e+00   7.777794e-02
