# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "AxaCUSVIOrWT8sdIikFqUg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000168.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.282823e+00   6.128727e-01
  3.315685e-03    1.428727e+00   3.932059e-01
  5.526141e-03    1.101974e+00   2.670286e-01
  7.736597e-03    1.183211e+00   2.337499e-01
  9.947054e-03    1.336069e+00   2.189732e-01
  1.215751e-02    1.423286e+00   2.043689e-01
  1.436797e-02    1.439679e+00   1.890639e-01
  1.657842e-02    1.609869e+00   1.860971e-01
  1.878888e-02    1.589289e+00   1.736861e-01
  2.099934e-02    1.508087e+00   1.600720e-01
  2.320979e-02    1.435960e+00   1.485607e-01
  2.542025e-02    1.319285e+00   1.360752e-01
  2.763070e-02    1.191903e+00   1.240540e-01
  2.984116e-02    1.401610e+00   1.294464e-01
  3.205162e-02    1.386210e+00   1.242226e-01
  3.426207e-02    1.644296e+00   1.308473e-01
  3.647253e-02    1.573888e+00   1.240728e-01
  3.868299e-02    1.496531e+00   1.174866e-01
  4.089344e-02    1.448861e+00   1.124331e-01
  4.310390e-02    1.358068e+00   1.060192e-01
  4.531436e-02    1.396681e+00   1.048611e-01
  4.752481e-02    1.582323e+00   1.089850e-01
  4.973527e-02    1.398571e+00   1.001600e-01
  5.194572e-02    1.324265e+00   9.536529e-02
  5.415618e-02    1.432702e+00   9.714416e-02
  5.636664e-02    1.351571e+00   9.248785e-02
  5.857709e-02    1.281325e+00   8.833732e-02
  6.078755e-02    1.358515e+00   8.928725e-02
  6.299801e-02    1.490683e+00   9.187326e-02
  6.520846e-02    1.517571e+00   9.111403e-02
  6.741892e-02    1.477427e+00   8.841030e-02
  6.962938e-02    1.434888e+00   8.573839e-02
  7.183983e-02    1.443636e+00   8.466440e-02
  7.405029e-02    1.452418e+00   8.364251e-02
  7.626074e-02    1.347195e+00   7.937898e-02
  7.847120e-02    1.430906e+00   8.064539e-02
  8.068166e-02    1.529606e+00   8.222958e-02
  8.289211e-02    1.446993e+00   7.890415e-02
  8.510257e-02    1.356495e+00   7.539777e-02
  8.731303e-02    1.483560e+00   7.784257e-02
  8.952348e-02    1.537757e+00   7.826928e-02
  9.173394e-02    1.564574e+00   7.798874e-02
  9.394439e-02    1.466473e+00   7.460815e-02
  9.615485e-02    1.543917e+00   7.566617e-02
  9.836531e-02    1.498429e+00   7.369881e-02
  1.005758e-01    1.466266e+00   7.209843e-02
  1.027862e-01    1.533432e+00   7.293233e-02
  1.049967e-01    1.494497e+00   7.123731e-02
  1.072071e-01    1.403802e+00   6.832563e-02
  1.094176e-01    1.481927e+00   6.948734e-02
  1.116280e-01    1.548369e+00   7.031967e-02
  1.138385e-01    1.629451e+00   7.143218e-02
  1.160490e-01    1.577538e+00   6.961165e-02
  1.182594e-01    1.561086e+00   6.859601e-02
  1.204699e-01    1.514573e+00   6.694309e-02
  1.226803e-01    1.508911e+00   6.621039e-02
  1.248908e-01    1.565625e+00   6.684292e-02
  1.271012e-01    1.527624e+00   6.544877e-02
  1.293117e-01    1.578063e+00   6.594864e-02
  1.315222e-01    1.572829e+00   6.528208e-02
  1.337326e-01    1.564943e+00   6.457654e-02
  1.359431e-01    1.598240e+00   6.529815e-02
  1.381535e-01    1.569079e+00   6.556815e-02
  1.403640e-01    1.549377e+00   6.543655e-02
  1.425744e-01    1.514142e+00   6.479152e-02
  1.447849e-01    1.553235e+00   6.563772e-02
  1.469953e-01    1.639770e+00   6.739916e-02
  1.492058e-01    1.558168e+00   6.562435e-02
  1.514163e-01    1.500347e+00   6.428833e-02
  1.536267e-01    1.492301e+00   6.399050e-02
  1.558372e-01    1.615203e+00   6.642644e-02
  1.580476e-01    1.613886e+00   6.623825e-02
  1.602581e-01    1.569880e+00   6.516302e-02
  1.624685e-01    1.667945e+00   6.698354e-02
  1.646790e-01    1.690291e+00   6.723715e-02
  1.668895e-01    1.708219e+00   6.739755e-02
  1.690999e-01    1.680425e+00   6.664628e-02
  1.713104e-01    1.683222e+00   6.649471e-02
  1.735208e-01    1.702111e+00   6.665885e-02
  1.757313e-01    1.735094e+00   6.709064e-02
  1.779417e-01    1.875661e+00   6.952788e-02
  1.801522e-01    1.900617e+00   6.976599e-02
  1.823626e-01    1.914771e+00   6.979217e-02
  1.845731e-01    1.911837e+00   6.951277e-02
  1.867836e-01    1.917037e+00   6.937235e-02
  1.889940e-01    1.978107e+00   7.023837e-02
  1.912045e-01    2.018172e+00   7.070921e-02
  1.934149e-01    1.955335e+00   6.936678e-02
  1.956254e-01    1.945493e+00   6.896376e-02
  1.978358e-01    1.920456e+00   6.828378e-02
  2.000463e-01    1.905646e+00   6.779455e-02
  2.022568e-01    1.898645e+00   6.744780e-02
  2.044672e-01    1.976837e+00   6.858687e-02
  2.066777e-01    1.949046e+00   6.787702e-02
  2.088881e-01    1.991335e+00   6.838497e-02
  2.110986e-01    1.987225e+00   6.808010e-02
  2.133090e-01    1.976101e+00   6.766858e-02
  2.155195e-01    1.987602e+00   6.764010e-02
  2.177300e-01    1.985531e+00   6.707375e-02
