# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166600",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "ixqpw7lDuwEQ4NeJAMwsaQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000174.dat
#        q_A^-1              I           sigma 
  1.105228e-03    4.793120e-01   3.746245e-01
  3.315685e-03    7.911814e-01   2.926061e-01
  5.526141e-03    1.402063e+00   3.012007e-01
  7.736597e-03    1.379539e+00   2.523987e-01
  9.947054e-03    1.322243e+00   2.178372e-01
  1.215751e-02    1.530279e+00   2.119112e-01
  1.436797e-02    1.375791e+00   1.848213e-01
  1.657842e-02    1.488340e+00   1.789351e-01
  1.878888e-02    1.370811e+00   1.613067e-01
  2.099934e-02    1.443531e+00   1.566084e-01
  2.320979e-02    1.310791e+00   1.419383e-01
  2.542025e-02    1.588252e+00   1.493032e-01
  2.763070e-02    1.596382e+00   1.435684e-01
  2.984116e-02    1.319527e+00   1.255988e-01
  3.205162e-02    1.415434e+00   1.255252e-01
  3.426207e-02    1.353257e+00   1.187039e-01
  3.647253e-02    1.344320e+00   1.146677e-01
  3.868299e-02    1.428642e+00   1.147909e-01
  4.089344e-02    1.361441e+00   1.089884e-01
  4.310390e-02    1.363685e+00   1.062382e-01
  4.531436e-02    1.449949e+00   1.068420e-01
  4.752481e-02    1.509921e+00   1.064624e-01
  4.973527e-02    1.353875e+00   9.854650e-02
  5.194572e-02    1.271926e+00   9.346171e-02
  5.415618e-02    1.403217e+00   9.613934e-02
  5.636664e-02    1.411345e+00   9.451088e-02
  5.857709e-02    1.364753e+00   9.116784e-02
  6.078755e-02    1.420104e+00   9.128876e-02
  6.299801e-02    1.486239e+00   9.173620e-02
  6.520846e-02    1.482716e+00   9.006162e-02
  6.741892e-02    1.432303e+00   8.704972e-02
  6.962938e-02    1.457304e+00   8.640552e-02
  7.183983e-02    1.525321e+00   8.702675e-02
  7.405029e-02    1.444150e+00   8.340411e-02
  7.626074e-02    1.458830e+00   8.260241e-02
  7.847120e-02    1.383412e+00   7.929572e-02
  8.068166e-02    1.433035e+00   7.959149e-02
  8.289211e-02    1.544172e+00   8.151069e-02
  8.510257e-02    1.430119e+00   7.741686e-02
  8.731303e-02    1.383799e+00   7.517980e-02
  8.952348e-02    1.388766e+00   7.438102e-02
  9.173394e-02    1.470205e+00   7.560016e-02
  9.394439e-02    1.510743e+00   7.572592e-02
  9.615485e-02    1.458524e+00   7.354388e-02
  9.836531e-02    1.416386e+00   7.165278e-02
  1.005758e-01    1.565588e+00   7.450032e-02
  1.027862e-01    1.484077e+00   7.174905e-02
  1.049967e-01    1.472517e+00   7.071149e-02
  1.072071e-01    1.462177e+00   6.973178e-02
  1.094176e-01    1.578569e+00   7.171734e-02
  1.116280e-01    1.494243e+00   6.907969e-02
  1.138385e-01    1.524205e+00   6.908679e-02
  1.160490e-01    1.551120e+00   6.902632e-02
  1.182594e-01    1.474522e+00   6.666701e-02
  1.204699e-01    1.481885e+00   6.621676e-02
  1.226803e-01    1.581505e+00   6.778438e-02
  1.248908e-01    1.528185e+00   6.603887e-02
  1.271012e-01    1.563349e+00   6.620962e-02
  1.293117e-01    1.638023e+00   6.718986e-02
  1.315222e-01    1.640538e+00   6.667245e-02
  1.337326e-01    1.581559e+00   6.491847e-02
  1.359431e-01    1.616918e+00   6.567860e-02
  1.381535e-01    1.592973e+00   6.606550e-02
  1.403640e-01    1.663609e+00   6.780588e-02
  1.425744e-01    1.579277e+00   6.617045e-02
  1.447849e-01    1.524016e+00   6.501742e-02
  1.469953e-01    1.625106e+00   6.709708e-02
  1.492058e-01    1.564012e+00   6.574733e-02
  1.514163e-01    1.498757e+00   6.425424e-02
  1.536267e-01    1.603339e+00   6.632847e-02
  1.558372e-01    1.651505e+00   6.716879e-02
  1.580476e-01    1.612877e+00   6.621756e-02
  1.602581e-01    1.573860e+00   6.524558e-02
  1.624685e-01    1.666053e+00   6.694553e-02
  1.646790e-01    1.711289e+00   6.765349e-02
  1.668895e-01    1.729102e+00   6.780826e-02
  1.690999e-01    1.725098e+00   6.752633e-02
  1.713104e-01    1.670255e+00   6.623810e-02
  1.735208e-01    1.719481e+00   6.699808e-02
  1.757313e-01    1.788464e+00   6.811467e-02
  1.779417e-01    1.797890e+00   6.807119e-02
  1.801522e-01    1.850461e+00   6.883929e-02
  1.823626e-01    1.853072e+00   6.865853e-02
  1.845731e-01    1.772160e+00   6.692536e-02
  1.867836e-01    1.804677e+00   6.730863e-02
  1.889940e-01    1.838600e+00   6.771629e-02
  1.912045e-01    1.954780e+00   6.958982e-02
  1.934149e-01    1.937326e+00   6.904661e-02
  1.956254e-01    1.879042e+00   6.777575e-02
  1.978358e-01    1.986026e+00   6.943968e-02
  2.000463e-01    2.017571e+00   6.975705e-02
  2.022568e-01    2.054332e+00   7.015865e-02
  2.044672e-01    2.015471e+00   6.925385e-02
  2.066777e-01    1.989293e+00   6.857426e-02
  2.088881e-01    1.898638e+00   6.677436e-02
  2.110986e-01    1.852993e+00   6.574056e-02
  2.133090e-01    1.964694e+00   6.747299e-02
  2.155195e-01    2.032292e+00   6.839630e-02
  2.177300e-01    1.995573e+00   6.724314e-02
  2.199404e-01    1.942759e+00   6.459913e-02
  2.221509e-01    1.946918e+00   6.360633e-02
  2.243613e-01    2.025422e+00   6.405361e-02
  2.265718e-01    2.048788e+00   6.371195e-02
  2.287822e-01    2.035987e+00   6.288394e-02
  2.309927e-01    2.003280e+00   6.180859e-02
  2.332031e-01    2.034398e+00   6.175366e-02
  2.354136e-01    2.087271e+00   6.204404e-02
  2.376241e-01    2.192932e+00   6.310140e-02
  2.398345e-01    2.131264e+00   6.174748e-02
  2.420450e-01    2.108531e+00   6.097830e-02
  2.442554e-01    2.169226e+00   6.142368e-02
  2.464659e-01    2.060031e+00   5.945585e-02
  2.486763e-01    2.099648e+00   5.963025e-02
  2.508868e-01    2.192381e+00   6.054845e-02
  2.530973e-01    2.193372e+00   6.018669e-02
  2.553077e-01    2.112935e+00   5.871444e-02
  2.575182e-01    2.086159e+00   5.799606e-02
  2.597286e-01    2.034362e+00   5.693862e-02
  2.619391e-01    2.112861e+00   5.769268e-02
  2.641495e-01    2.104327e+00   5.725740e-02
  2.663600e-01    2.059521e+00   5.633303e-02
  2.685704e-01    2.027505e+00   5.559048e-02
  2.707809e-01    2.050043e+00   5.560189e-02
  2.729914e-01    2.009999e+00   5.476926e-02
  2.752018e-01    1.997606e+00   5.431595e-02
  2.774123e-01    1.978032e+00   5.377312e-02
  2.796227e-01    1.997303e+00   5.376713e-02
  2.818332e-01    1.968162e+00   5.310719e-02
  2.840436e-01    1.966879e+00   5.283254e-02
  2.862541e-01    1.947595e+00   5.232018e-02
  2.884646e-01    1.978893e+00   5.248861e-02
  2.906750e-01    1.990576e+00   5.239372e-02
  2.928855e-01    2.008008e+00   5.237879e-02
  2.950959e-01    1.986121e+00   5.185329e-02
  2.973064e-01    1.886458e+00   5.030840e-02
  2.995168e-01    1.992327e+00   5.146663e-02
  3.017273e-01    1.906018e+00   5.011761e-02
  3.039377e-01    1.894410e+00   4.974593e-02
  3.061482e-01    1.938251e+00   5.010062e-02
  3.083587e-01    1.835854e+00   4.854821e-02
  3.105691e-01    1.883816e+00   4.896822e-02
  3.127796e-01    1.898605e+00   4.895338e-02
  3.149900e-01    1.919416e+00   4.901585e-02
  3.172005e-01    1.889808e+00   4.843748e-02
  3.194109e-01    1.880903e+00   4.812373e-02
  3.216214e-01    1.842783e+00   4.743922e-02
  3.238319e-01    1.841373e+00   4.723316e-02
  3.260423e-01    1.902566e+00   4.782036e-02
  3.282528e-01    1.883044e+00   4.738499e-02
  3.304632e-01    1.875742e+00   4.710983e-02
  3.326737e-01    1.889486e+00   4.709760e-02
  3.348841e-01    1.839963e+00   4.629611e-02
  3.370946e-01    1.792365e+00   4.552142e-02
  3.393050e-01    1.826010e+00   4.577265e-02
  3.415155e-01    1.814637e+00   4.545829e-02
  3.437260e-01    1.846077e+00   4.568048e-02
  3.459364e-01    1.836811e+00   4.539714e-02
  3.481469e-01    1.820407e+00   4.502900e-02
  3.503573e-01    1.825894e+00   4.493253e-02
  3.525678e-01    1.786858e+00   4.429123e-02
  3.547782e-01    1.793962e+00   4.421876e-02
  3.569887e-01    1.801165e+00   4.415048e-02
  3.591992e-01    1.793147e+00   4.389622e-02
  3.614096e-01    1.823347e+00   4.411085e-02
  3.636201e-01    1.845668e+00   4.422407e-02
  3.658305e-01    1.839091e+00   4.399461e-02
  3.680410e-01    1.805405e+00   4.343994e-02
  3.702514e-01    1.766242e+00   4.282168e-02
  3.724619e-01    1.734927e+00   4.229586e-02
  3.746724e-01    1.809943e+00   4.305644e-02
  3.768828e-01    1.768280e+00   4.241482e-02
  3.790933e-01    1.752868e+00   4.209194e-02
  3.813037e-01    1.822488e+00   4.277927e-02
  3.835142e-01    1.806907e+00   4.245615e-02
  3.857246e-01    1.740735e+00   4.153661e-02
  3.879351e-01    1.831791e+00   4.247120e-02
  3.901455e-01    1.785416e+00   4.179668e-02
  3.923560e-01    1.808956e+00   4.193757e-02
  3.945665e-01    1.789096e+00   4.157449e-02
  3.967769e-01    1.778813e+00   4.132499e-02
  3.989874e-01    1.789664e+00   4.132143e-02
  4.011978e-01    1.733888e+00   4.054734e-02
  4.034083e-01    1.770000e+00   4.084165e-02
  4.056187e-01    1.754373e+00   4.053570e-02
  4.078292e-01    1.803291e+00   4.097256e-02
  4.100397e-01    1.836004e+00   4.121633e-02
  4.122501e-01    1.723036e+00   3.980873e-02
  4.144606e-01    1.797063e+00   4.053432e-02
  4.166710e-01    1.820217e+00   4.067333e-02
  4.188815e-01    1.797664e+00   4.030116e-02
  4.210919e-01    1.800155e+00   4.021088e-02
  4.233024e-01    1.809307e+00   4.019440e-02
  4.255128e-01    1.752619e+00   3.944537e-02
  4.277233e-01    1.780606e+00   3.964481e-02
  4.299338e-01    1.838087e+00   4.016374e-02
  4.321442e-01    1.838102e+00   4.004897e-02
  4.343547e-01    1.822703e+00   3.976811e-02
  4.365651e-01    1.766682e+00   3.904095e-02
  4.387756e-01    1.768074e+00   3.894697e-02
  4.409860e-01    1.794784e+00   3.913133e-02
