# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166606",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "dQLJ1H5Gb1R3TvkHamXa5Q==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000175.dat
#        q_A^-1              I           sigma 
  1.105228e-03    7.568407e-01   4.707488e-01
  3.315685e-03    8.301015e-01   2.997167e-01
  5.526141e-03    9.391146e-01   2.465082e-01
  7.736597e-03    1.330001e+00   2.478255e-01
  9.947054e-03    1.471421e+00   2.297973e-01
  1.215751e-02    1.529022e+00   2.118242e-01
  1.436797e-02    1.250970e+00   1.762379e-01
  1.657842e-02    1.541571e+00   1.821068e-01
  1.878888e-02    1.354889e+00   1.603671e-01
  2.099934e-02    1.467518e+00   1.579042e-01
  2.320979e-02    1.586209e+00   1.561396e-01
  2.542025e-02    1.579425e+00   1.488878e-01
  2.763070e-02    1.600039e+00   1.437327e-01
  2.984116e-02    1.411909e+00   1.299212e-01
  3.205162e-02    1.349932e+00   1.225864e-01
  3.426207e-02    1.466544e+00   1.235727e-01
  3.647253e-02    1.506654e+00   1.213938e-01
  3.868299e-02    1.387730e+00   1.131353e-01
  4.089344e-02    1.355876e+00   1.087654e-01
  4.310390e-02    1.420550e+00   1.084307e-01
  4.531436e-02    1.461775e+00   1.072769e-01
  4.752481e-02    1.548644e+00   1.078189e-01
  4.973527e-02    1.485635e+00   1.032305e-01
  5.194572e-02    1.446006e+00   9.965242e-02
  5.415618e-02    1.398999e+00   9.599474e-02
  5.636664e-02    1.388189e+00   9.373234e-02
  5.857709e-02    1.562783e+00   9.755822e-02
  6.078755e-02    1.433879e+00   9.173046e-02
  6.299801e-02    1.457885e+00   9.085694e-02
  6.520846e-02    1.476660e+00   8.987751e-02
  6.741892e-02    1.528344e+00   8.992086e-02
  6.962938e-02    1.512422e+00   8.802438e-02
  7.183983e-02    1.360502e+00   8.219048e-02
  7.405029e-02    1.462631e+00   8.393607e-02
  7.626074e-02    1.486701e+00   8.338772e-02
  7.847120e-02    1.387779e+00   7.942080e-02
  8.068166e-02    1.393797e+00   7.849428e-02
  8.289211e-02    1.464992e+00   7.939339e-02
  8.510257e-02    1.477588e+00   7.869121e-02
  8.731303e-02    1.456718e+00   7.713516e-02
  8.952348e-02    1.442428e+00   7.580444e-02
  9.173394e-02    1.470244e+00   7.560117e-02
  9.394439e-02    1.453112e+00   7.426751e-02
  9.615485e-02    1.440481e+00   7.308757e-02
  9.836531e-02    1.467210e+00   7.292706e-02
  1.005758e-01    1.386303e+00   7.010492e-02
  1.027862e-01    1.396721e+00   6.960535e-02
  1.049967e-01    1.462541e+00   7.047156e-02
  1.072071e-01    1.605802e+00   7.307634e-02
  1.094176e-01    1.547892e+00   7.101707e-02
  1.116280e-01    1.549583e+00   7.034724e-02
  1.138385e-01    1.505821e+00   6.866890e-02
  1.160490e-01    1.469593e+00   6.718782e-02
  1.182594e-01    1.522024e+00   6.773234e-02
  1.204699e-01    1.556198e+00   6.785676e-02
  1.226803e-01    1.609113e+00   6.837346e-02
  1.248908e-01    1.560469e+00   6.673278e-02
  1.271012e-01    1.546613e+00   6.585428e-02
  1.293117e-01    1.632928e+00   6.708528e-02
  1.315222e-01    1.573276e+00   6.529136e-02
  1.337326e-01    1.522201e+00   6.368859e-02
  1.359431e-01    1.534408e+00   6.398087e-02
  1.381535e-01    1.550074e+00   6.516986e-02
  1.403640e-01    1.520574e+00   6.482544e-02
  1.425744e-01    1.543160e+00   6.540944e-02
  1.447849e-01    1.557131e+00   6.571998e-02
  1.469953e-01    1.544682e+00   6.541577e-02
  1.492058e-01    1.567516e+00   6.582092e-02
  1.514163e-01    1.520240e+00   6.471312e-02
  1.536267e-01    1.584121e+00   6.592975e-02
  1.558372e-01    1.634584e+00   6.682380e-02
  1.580476e-01    1.587941e+00   6.570365e-02
  1.602581e-01    1.626073e+00   6.631901e-02
  1.624685e-01    1.670738e+00   6.703959e-02
  1.646790e-01    1.634883e+00   6.612594e-02
  1.668895e-01    1.665261e+00   6.654470e-02
  1.690999e-01    1.743353e+00   6.788268e-02
  1.713104e-01    1.708355e+00   6.698931e-02
  1.735208e-01    1.736004e+00   6.731923e-02
  1.757313e-01    1.778559e+00   6.792578e-02
  1.779417e-01    1.738687e+00   6.694108e-02
  1.801522e-01    1.712367e+00   6.622086e-02
  1.823626e-01    1.798501e+00   6.764000e-02
  1.845731e-01    1.803899e+00   6.752201e-02
  1.867836e-01    1.868130e+00   6.848169e-02
  1.889940e-01    1.927732e+00   6.933826e-02
  1.912045e-01    1.914416e+00   6.886762e-02
  1.934149e-01    1.910659e+00   6.856973e-02
  1.956254e-01    2.039854e+00   7.061641e-02
  1.978358e-01    1.989842e+00   6.950638e-02
  2.000463e-01    1.916198e+00   6.798200e-02
  2.022568e-01    1.883899e+00   6.718537e-02
  2.044672e-01    1.875397e+00   6.680395e-02
  2.066777e-01    1.912865e+00   6.724405e-02
  2.088881e-01    1.980541e+00   6.819939e-02
  2.110986e-01    1.907514e+00   6.670073e-02
  2.133090e-01    1.950229e+00   6.722415e-02
  2.155195e-01    1.903641e+00   6.619605e-02
  2.177300e-01    1.936884e+00   6.624696e-02
  2.199404e-01    2.009185e+00   6.569421e-02
  2.221509e-01    2.038724e+00   6.508874e-02
  2.243613e-01    2.040937e+00   6.429849e-02
  2.265718e-01    2.027681e+00   6.338292e-02
  2.287822e-01    2.015128e+00   6.256101e-02
  2.309927e-01    1.998154e+00   6.172945e-02
  2.332031e-01    2.149820e+00   6.348129e-02
  2.354136e-01    2.110907e+00   6.239435e-02
  2.376241e-01    2.105500e+00   6.183071e-02
