# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166608",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "GEKr58KbMMDbKrISloTF1Q==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000176.dat
#        q_A^-1              I           sigma 
  1.105228e-03    7.254378e-01   4.608791e-01
  3.315685e-03    1.084812e+00   3.426279e-01
  5.526141e-03    1.079906e+00   2.643414e-01
  7.736597e-03    1.231263e+00   2.384490e-01
  9.947054e-03    1.533916e+00   2.346266e-01
  1.215751e-02    1.453003e+00   2.064914e-01
  1.436797e-02    1.401865e+00   1.865644e-01
  1.657842e-02    1.400708e+00   1.735874e-01
  1.878888e-02    1.505730e+00   1.690585e-01
  2.099934e-02    1.396047e+00   1.540111e-01
  2.320979e-02    1.315911e+00   1.422152e-01
  2.542025e-02    1.467004e+00   1.434911e-01
  2.763070e-02    1.600641e+00   1.437597e-01
  2.984116e-02    1.359374e+00   1.274811e-01
  3.205162e-02    1.419191e+00   1.256917e-01
  3.426207e-02    1.426911e+00   1.218915e-01
  3.647253e-02    1.428289e+00   1.181946e-01
  3.868299e-02    1.563618e+00   1.200911e-01
  4.089344e-02    1.541084e+00   1.159562e-01
  4.310390e-02    1.485764e+00   1.108916e-01
  4.531436e-02    1.402634e+00   1.050843e-01
  4.752481e-02    1.455630e+00   1.045308e-01
  4.973527e-02    1.516398e+00   1.042938e-01
  5.194572e-02    1.516704e+00   1.020595e-01
  5.415618e-02    1.579936e+00   1.020137e-01
  5.636664e-02    1.490778e+00   9.713411e-02
  5.857709e-02    1.497669e+00   9.550420e-02
  6.078755e-02    1.462670e+00   9.264681e-02
  6.299801e-02    1.272227e+00   8.487482e-02
  6.520846e-02    1.255097e+00   8.286084e-02
  6.741892e-02    1.292982e+00   8.270773e-02
  6.962938e-02    1.462053e+00   8.654616e-02
  7.183983e-02    1.435633e+00   8.442944e-02
  7.405029e-02    1.411628e+00   8.245964e-02
  7.626074e-02    1.482854e+00   8.327978e-02
  7.847120e-02    1.469936e+00   8.173785e-02
  8.068166e-02    1.432382e+00   7.957335e-02
  8.289211e-02    1.375427e+00   7.692818e-02
  8.510257e-02    1.389174e+00   7.630057e-02
  8.731303e-02    1.494603e+00   7.813175e-02
  8.952348e-02    1.512681e+00   7.762852e-02
  9.173394e-02    1.550773e+00   7.764401e-02
  9.394439e-02    1.515693e+00   7.584989e-02
  9.615485e-02    1.481048e+00   7.410958e-02
  9.836531e-02    1.401727e+00   7.128105e-02
  1.005758e-01    1.440600e+00   7.146461e-02
  1.027862e-01    1.558010e+00   7.351448e-02
  1.049967e-01    1.483366e+00   7.097153e-02
  1.072071e-01    1.440092e+00   6.920314e-02
  1.094176e-01    1.583672e+00   7.183316e-02
  1.116280e-01    1.539419e+00   7.011616e-02
  1.138385e-01    1.518739e+00   6.896279e-02
  1.160490e-01    1.506030e+00   6.801564e-02
  1.182594e-01    1.497959e+00   6.719474e-02
  1.204699e-01    1.556099e+00   6.785458e-02
  1.226803e-01    1.681328e+00   6.989092e-02
  1.248908e-01    1.561001e+00   6.674415e-02
  1.271012e-01    1.541821e+00   6.575220e-02
  1.293117e-01    1.580595e+00   6.600153e-02
  1.315222e-01    1.594458e+00   6.572943e-02
  1.337326e-01    1.499585e+00   6.321368e-02
  1.359431e-01    1.524925e+00   6.378286e-02
  1.381535e-01    1.623779e+00   6.670124e-02
  1.403640e-01    1.601121e+00   6.652024e-02
  1.425744e-01    1.573147e+00   6.604190e-02
  1.447849e-01    1.591373e+00   6.643867e-02
  1.469953e-01    1.615381e+00   6.689604e-02
  1.492058e-01    1.661339e+00   6.776212e-02
  1.514163e-01    1.624096e+00   6.688706e-02
  1.536267e-01    1.486136e+00   6.385820e-02
  1.558372e-01    1.464306e+00   6.324750e-02
  1.580476e-01    1.611439e+00   6.618801e-02
  1.602581e-01    1.708053e+00   6.797020e-02
  1.624685e-01    1.713661e+00   6.789532e-02
  1.646790e-01    1.606346e+00   6.554627e-02
  1.668895e-01    1.590493e+00   6.503367e-02
  1.690999e-01    1.643905e+00   6.591809e-02
  1.713104e-01    1.791685e+00   6.860363e-02
  1.735208e-01    1.753744e+00   6.766234e-02
  1.757313e-01    1.736370e+00   6.711533e-02
  1.779417e-01    1.800380e+00   6.811832e-02
  1.801522e-01    1.900186e+00   6.975809e-02
  1.823626e-01    1.879458e+00   6.914561e-02
  1.845731e-01    1.906535e+00   6.941631e-02
  1.867836e-01    1.913643e+00   6.931090e-02
  1.889940e-01    1.995044e+00   7.053845e-02
  1.912045e-01    1.997393e+00   7.034426e-02
  1.934149e-01    1.938928e+00   6.907514e-02
  1.956254e-01    1.917055e+00   6.845789e-02
  1.978358e-01    1.977092e+00   6.928331e-02
  2.000463e-01    2.081326e+00   7.085065e-02
  2.022568e-01    1.992269e+00   6.909077e-02
  2.044672e-01    1.974990e+00   6.855482e-02
  2.066777e-01    2.044044e+00   6.951153e-02
  2.088881e-01    1.988220e+00   6.833147e-02
  2.110986e-01    1.920655e+00   6.693009e-02
  2.133090e-01    1.873776e+00   6.589331e-02
  2.155195e-01    1.897903e+00   6.609621e-02
  2.177300e-01    1.950751e+00   6.648369e-02
  2.199404e-01    1.920762e+00   6.423240e-02
  2.221509e-01    1.884615e+00   6.258034e-02
  2.243613e-01    1.863745e+00   6.144395e-02
  2.265718e-01    1.942970e+00   6.204477e-02
  2.287822e-01    2.124256e+00   6.423265e-02
  2.309927e-01    2.056643e+00   6.262640e-02
  2.332031e-01    2.145841e+00   6.342252e-02
  2.354136e-01    2.202410e+00   6.373233e-02
  2.376241e-01    2.126285e+00   6.213516e-02
  2.398345e-01    2.061476e+00   6.072809e-02
  2.420450e-01    2.134334e+00   6.135029e-02
  2.442554e-01    2.207450e+00   6.196247e-02
  2.464659e-01    2.161587e+00   6.090374e-02
  2.486763e-01    2.150016e+00   6.034125e-02
  2.508868e-01    2.184180e+00   6.043513e-02
  2.530973e-01    2.128466e+00   5.928949e-02
  2.553077e-01    2.080095e+00   5.825638e-02
  2.575182e-01    2.071033e+00   5.778541e-02
  2.597286e-01    2.149736e+00   5.853091e-02
  2.619391e-01    2.113184e+00   5.769712e-02
  2.641495e-01    2.076532e+00   5.687799e-02
  2.663600e-01    2.021020e+00   5.580402e-02
  2.685704e-01    1.992452e+00   5.510783e-02
  2.707809e-01    2.005579e+00   5.499561e-02
  2.729914e-01    2.008769e+00   5.475249e-02
  2.752018e-01    2.017782e+00   5.458957e-02
  2.774123e-01    1.993036e+00   5.397666e-02
  2.796227e-01    2.001801e+00   5.382764e-02
  2.818332e-01    2.029832e+00   5.393279e-02
  2.840436e-01    1.946418e+00   5.255704e-02
  2.862541e-01    1.963798e+00   5.253735e-02
  2.884646e-01    2.018003e+00   5.300478e-02
  2.906750e-01    1.933110e+00   5.163190e-02
  2.928855e-01    1.996772e+00   5.223205e-02
  2.950959e-01    1.969193e+00   5.163183e-02
  2.973064e-01    1.924377e+00   5.081150e-02
  2.995168e-01    1.954703e+00   5.097837e-02
  3.017273e-01    1.937492e+00   5.052971e-02
  3.039377e-01    1.875349e+00   4.949505e-02
  3.061482e-01    1.910953e+00   4.974655e-02
  3.083587e-01    1.896001e+00   4.933707e-02
  3.105691e-01    1.876743e+00   4.887620e-02
  3.127796e-01    1.906292e+00   4.905238e-02
  3.149900e-01    1.910281e+00   4.889908e-02
  3.172005e-01    1.966851e+00   4.941495e-02
  3.194109e-01    1.888542e+00   4.822136e-02
  3.216214e-01    1.857236e+00   4.762487e-02
  3.238319e-01    1.896394e+00   4.793365e-02
  3.260423e-01    1.900866e+00   4.779901e-02
  3.282528e-01    1.779904e+00   4.606903e-02
  3.304632e-01    1.884999e+00   4.722590e-02
  3.326737e-01    1.848747e+00   4.658714e-02
  3.348841e-01    1.812193e+00   4.594539e-02
  3.370946e-01    1.832899e+00   4.603328e-02
  3.393050e-01    1.856149e+00   4.614883e-02
  3.415155e-01    1.799392e+00   4.526695e-02
  3.437260e-01    1.840748e+00   4.561449e-02
  3.459364e-01    1.869069e+00   4.579403e-02
  3.481469e-01    1.833934e+00   4.519600e-02
  3.503573e-01    1.838606e+00   4.508867e-02
  3.525678e-01    1.823949e+00   4.474854e-02
  3.547782e-01    1.789293e+00   4.416120e-02
  3.569887e-01    1.764770e+00   4.370213e-02
  3.591992e-01    1.757754e+00   4.346083e-02
  3.614096e-01    1.758731e+00   4.332222e-02
  3.636201e-01    1.808171e+00   4.377250e-02
  3.658305e-01    1.812407e+00   4.367430e-02
  3.680410e-01    1.808579e+00   4.347808e-02
  3.702514e-01    1.855769e+00   4.389353e-02
  3.724619e-01    1.810998e+00   4.321318e-02
  3.746724e-01    1.776855e+00   4.266107e-02
  3.768828e-01    1.779200e+00   4.254557e-02
  3.790933e-01    1.816020e+00   4.284347e-02
  3.813037e-01    1.846620e+00   4.306159e-02
  3.835142e-01    1.762337e+00   4.192924e-02
  3.857246e-01    1.760835e+00   4.177571e-02
  3.879351e-01    1.775384e+00   4.181219e-02
  3.901455e-01    1.764334e+00   4.154917e-02
  3.923560e-01    1.789848e+00   4.171549e-02
  3.945665e-01    1.791536e+00   4.160281e-02
  3.967769e-01    1.783953e+00   4.138466e-02
  3.989874e-01    1.742583e+00   4.077429e-02
  4.011978e-01    1.766224e+00   4.092368e-02
  4.034083e-01    1.728956e+00   4.036535e-02
  4.056187e-01    1.770365e+00   4.072001e-02
  4.078292e-01    1.777334e+00   4.067663e-02
  4.100397e-01    1.750719e+00   4.024765e-02
  4.122501e-01    1.799729e+00   4.068504e-02
  4.144606e-01    1.764893e+00   4.016988e-02
  4.166710e-01    1.759383e+00   3.998787e-02
  4.188815e-01    1.785160e+00   4.016075e-02
  4.210919e-01    1.814478e+00   4.037054e-02
  4.233024e-01    1.781227e+00   3.988127e-02
  4.255128e-01    1.801995e+00   3.999714e-02
  4.277233e-01    1.842570e+00   4.032872e-02
  4.299338e-01    1.850699e+00   4.030131e-02
  4.321442e-01    1.817673e+00   3.982581e-02
  4.343547e-01    1.759946e+00   3.907748e-02
  4.365651e-01    1.818367e+00   3.960790e-02
  4.387756e-01    1.767519e+00   3.894087e-02
  4.409860e-01    1.739395e+00   3.852278e-02
  4.431965e-01    1.703742e+00   3.802052e-02
  4.454070e-01    1.727784e+00   3.818129e-02
