# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166604",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "djLE1Vu6iyfKmhaR1FOgXQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000177.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.298151e+00   6.165233e-01
  3.315685e-03    1.460774e+00   3.975914e-01
  5.526141e-03    1.530611e+00   3.147056e-01
  7.736597e-03    1.505341e+00   2.636560e-01
  9.947054e-03    1.169796e+00   2.048951e-01
  1.215751e-02    1.551370e+00   2.133665e-01
  1.436797e-02    1.624813e+00   2.008526e-01
  1.657842e-02    1.314296e+00   1.681478e-01
  1.878888e-02    1.285907e+00   1.562314e-01
  2.099934e-02    1.330474e+00   1.503506e-01
  2.320979e-02    1.477064e+00   1.506720e-01
  2.542025e-02    1.616233e+00   1.506127e-01
  2.763070e-02    1.385571e+00   1.337533e-01
  2.984116e-02    1.549635e+00   1.361103e-01
  3.205162e-02    1.475498e+00   1.281609e-01
  3.426207e-02    1.356267e+00   1.188359e-01
  3.647253e-02    1.327696e+00   1.139565e-01
  3.868299e-02    1.305737e+00   1.097422e-01
  4.089344e-02    1.377823e+00   1.096421e-01
  4.310390e-02    1.338534e+00   1.052540e-01
  4.531436e-02    1.501772e+00   1.087346e-01
  4.752481e-02    1.477309e+00   1.053064e-01
  4.973527e-02    1.366817e+00   9.901635e-02
  5.194572e-02    1.343578e+00   9.605817e-02
  5.415618e-02    1.404534e+00   9.618446e-02
  5.636664e-02    1.362282e+00   9.285358e-02
  5.857709e-02    1.510625e+00   9.591641e-02
  6.078755e-02    1.525921e+00   9.462880e-02
  6.299801e-02    1.382469e+00   8.847574e-02
  6.520846e-02    1.339808e+00   8.561147e-02
  6.741892e-02    1.413829e+00   8.648649e-02
  6.962938e-02    1.416759e+00   8.519506e-02
  7.183983e-02    1.386209e+00   8.296336e-02
  7.405029e-02    1.383281e+00   8.162747e-02
  7.626074e-02    1.361078e+00   7.978695e-02
  7.847120e-02    1.514748e+00   8.297441e-02
  8.068166e-02    1.486641e+00   8.106649e-02
  8.289211e-02    1.473828e+00   7.963245e-02
  8.510257e-02    1.421903e+00   7.719415e-02
