# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166612",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "dfCb+N18ayvlml32IqAgBA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000178.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.052113e+00   5.550323e-01
  3.315685e-03    1.108249e+00   3.463092e-01
  5.526141e-03    1.069686e+00   2.630876e-01
  7.736597e-03    1.367448e+00   2.512902e-01
  9.947054e-03    1.165788e+00   2.045438e-01
  1.215751e-02    1.058567e+00   1.762494e-01
  1.436797e-02    1.223464e+00   1.742896e-01
  1.657842e-02    1.439614e+00   1.759817e-01
  1.878888e-02    1.265114e+00   1.549631e-01
  2.099934e-02    1.283257e+00   1.476586e-01
  2.320979e-02    1.204054e+00   1.360366e-01
  2.542025e-02    1.198440e+00   1.296933e-01
  2.763070e-02    1.148880e+00   1.217945e-01
  2.984116e-02    1.190762e+00   1.193133e-01
  3.205162e-02    1.201366e+00   1.156442e-01
  3.426207e-02    1.115495e+00   1.077727e-01
  3.647253e-02    1.042879e+00   1.009966e-01
  3.868299e-02    1.289061e+00   1.090391e-01
  4.089344e-02    1.415305e+00   1.111235e-01
  4.310390e-02    1.340792e+00   1.053428e-01
  4.531436e-02    1.199684e+00   9.718498e-02
  4.752481e-02    1.238893e+00   9.643528e-02
  4.973527e-02    1.226007e+00   9.377743e-02
  5.194572e-02    1.164224e+00   8.941723e-02
  5.415618e-02    1.187625e+00   8.844604e-02
  5.636664e-02    1.237980e+00   8.851604e-02
  5.857709e-02    1.251655e+00   8.730857e-02
  6.078755e-02    1.263302e+00   8.610155e-02
  6.299801e-02    1.243800e+00   8.392122e-02
  6.520846e-02    1.176326e+00   8.021852e-02
  6.741892e-02    1.195517e+00   7.952940e-02
  6.962938e-02    1.293534e+00   8.140577e-02
  7.183983e-02    1.243153e+00   7.856597e-02
  7.405029e-02    1.125539e+00   7.363115e-02
  7.626074e-02    1.182948e+00   7.438289e-02
  7.847120e-02    1.248123e+00   7.531867e-02
  8.068166e-02    1.221935e+00   7.349578e-02
  8.289211e-02    1.289012e+00   7.447237e-02
  8.510257e-02    1.278207e+00   7.318971e-02
  8.731303e-02    1.279298e+00   7.228541e-02
  8.952348e-02    1.224599e+00   6.984648e-02
  9.173394e-02    1.312701e+00   7.143593e-02
  9.394439e-02    1.321012e+00   7.081132e-02
  9.615485e-02    1.333729e+00   7.032724e-02
  9.836531e-02    1.353318e+00   7.003940e-02
  1.005758e-01    1.269747e+00   6.709313e-02
  1.027862e-01    1.195099e+00   6.438576e-02
  1.049967e-01    1.318416e+00   6.690926e-02
  1.072071e-01    1.328759e+00   6.647432e-02
  1.094176e-01    1.294059e+00   6.493358e-02
  1.116280e-01    1.410506e+00   6.711616e-02
  1.138385e-01    1.416200e+00   6.659409e-02
  1.160490e-01    1.387281e+00   6.527911e-02
  1.182594e-01    1.304704e+00   6.271067e-02
  1.204699e-01    1.329469e+00   6.271908e-02
  1.226803e-01    1.266899e+00   6.066879e-02
  1.248908e-01    1.257545e+00   5.990642e-02
  1.271012e-01    1.330647e+00   6.108360e-02
  1.293117e-01    1.326914e+00   6.047351e-02
  1.315222e-01    1.265096e+00   5.854841e-02
  1.337326e-01    1.352741e+00   6.003891e-02
  1.359431e-01    1.304702e+00   5.899777e-02
  1.381535e-01    1.340317e+00   6.060022e-02
  1.403640e-01    1.416038e+00   6.255746e-02
  1.425744e-01    1.380255e+00   6.186067e-02
  1.447849e-01    1.354844e+00   6.130269e-02
  1.469953e-01    1.407246e+00   6.243786e-02
  1.492058e-01    1.299942e+00   5.994043e-02
  1.514163e-01    1.340388e+00   6.076470e-02
  1.536267e-01    1.344073e+00   6.072938e-02
  1.558372e-01    1.321543e+00   6.008529e-02
  1.580476e-01    1.336773e+00   6.028387e-02
  1.602581e-01    1.396737e+00   6.146462e-02
  1.624685e-01    1.471596e+00   6.291752e-02
  1.646790e-01    1.478768e+00   6.288955e-02
  1.668895e-01    1.493843e+00   6.302673e-02
  1.690999e-01    1.483484e+00   6.261924e-02
  1.713104e-01    1.494979e+00   6.266628e-02
  1.735208e-01    1.499390e+00   6.256349e-02
  1.757313e-01    1.628283e+00   6.499283e-02
  1.779417e-01    1.666220e+00   6.553119e-02
  1.801522e-01    1.550139e+00   6.300599e-02
  1.823626e-01    1.668903e+00   6.515737e-02
  1.845731e-01    1.764420e+00   6.677906e-02
  1.867836e-01    1.611917e+00   6.361250e-02
  1.889940e-01    1.656974e+00   6.428465e-02
  1.912045e-01    1.777519e+00   6.635962e-02
  1.934149e-01    1.726857e+00   6.518822e-02
  1.956254e-01    1.753573e+00   6.547388e-02
  1.978358e-01    1.699075e+00   6.422760e-02
  2.000463e-01    1.724637e+00   6.449447e-02
  2.022568e-01    1.691664e+00   6.366535e-02
  2.044672e-01    1.604881e+00   6.179837e-02
  2.066777e-01    1.605796e+00   6.161080e-02
  2.088881e-01    1.666056e+00   6.255085e-02
  2.110986e-01    1.684759e+00   6.268527e-02
  2.133090e-01    1.686120e+00   6.250673e-02
  2.155195e-01    1.652979e+00   6.168410e-02
  2.177300e-01    1.675762e+00   6.161981e-02
  2.199404e-01    1.733168e+00   6.101513e-02
  2.221509e-01    1.653806e+00   5.862315e-02
  2.243613e-01    1.637686e+00   5.759715e-02
  2.265718e-01    1.691250e+00   5.788636e-02
  2.287822e-01    1.803086e+00   5.917803e-02
  2.309927e-01    1.817334e+00   5.887018e-02
  2.332031e-01    1.831581e+00   5.859465e-02
  2.354136e-01    1.861128e+00   5.858664e-02
  2.376241e-01    1.912771e+00   5.893292e-02
  2.398345e-01    1.898508e+00   5.827828e-02
  2.420450e-01    1.821306e+00   5.667309e-02
  2.442554e-01    1.833607e+00   5.647242e-02
  2.464659e-01    1.807450e+00   5.569175e-02
  2.486763e-01    1.830248e+00   5.567348e-02
  2.508868e-01    1.776953e+00   5.451089e-02
