# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "R93pLHhVOj42VMVVTweVDQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000179.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.225504e+00   5.990242e-01
  3.315685e-03    1.657252e+00   4.234866e-01
  5.526141e-03    1.504037e+00   3.119618e-01
  7.736597e-03    1.391491e+00   2.534897e-01
  9.947054e-03    1.180398e+00   2.058215e-01
  1.215751e-02    1.218698e+00   1.891109e-01
  1.436797e-02    1.542430e+00   1.956945e-01
  1.657842e-02    1.173987e+00   1.589191e-01
  1.878888e-02    1.371101e+00   1.613237e-01
  2.099934e-02    1.219483e+00   1.439428e-01
  2.320979e-02    1.175425e+00   1.344096e-01
  2.542025e-02    1.246058e+00   1.322448e-01
  2.763070e-02    1.410500e+00   1.349512e-01
  2.984116e-02    1.402054e+00   1.294669e-01
  3.205162e-02    1.329211e+00   1.216419e-01
  3.426207e-02    1.191042e+00   1.113624e-01
  3.647253e-02    1.228416e+00   1.096131e-01
  3.868299e-02    1.388060e+00   1.131487e-01
  4.089344e-02    1.511304e+00   1.148303e-01
  4.310390e-02    1.434835e+00   1.089745e-01
  4.531436e-02    1.316033e+00   1.017886e-01
  4.752481e-02    1.271530e+00   9.769724e-02
  4.973527e-02    1.376065e+00   9.935080e-02
  5.194572e-02    1.475491e+00   1.006633e-01
  5.415618e-02    1.336176e+00   9.381466e-02
  5.636664e-02    1.308987e+00   9.101917e-02
  5.857709e-02    1.402663e+00   9.242536e-02
  6.078755e-02    1.354868e+00   8.916735e-02
  6.299801e-02    1.454582e+00   9.075392e-02
  6.520846e-02    1.505661e+00   9.075579e-02
  6.741892e-02    1.456018e+00   8.776740e-02
  6.962938e-02    1.469584e+00   8.676881e-02
  7.183983e-02    1.431100e+00   8.429601e-02
  7.405029e-02    1.404496e+00   8.225104e-02
  7.626074e-02    1.419799e+00   8.148991e-02
  7.847120e-02    1.327921e+00   7.768910e-02
  8.068166e-02    1.452675e+00   8.013504e-02
  8.289211e-02    1.475386e+00   7.967453e-02
  8.510257e-02    1.472654e+00   7.855969e-02
  8.731303e-02    1.450583e+00   7.697257e-02
  8.952348e-02    1.448261e+00   7.595755e-02
  9.173394e-02    1.445435e+00   7.496063e-02
  9.394439e-02    1.374914e+00   7.224156e-02
  9.615485e-02    1.476898e+00   7.400565e-02
  9.836531e-02    1.512811e+00   7.405166e-02
  1.005758e-01    1.450621e+00   7.171276e-02
  1.027862e-01    1.428310e+00   7.038807e-02
  1.049967e-01    1.534920e+00   7.219429e-02
  1.072071e-01    1.516749e+00   7.102115e-02
  1.094176e-01    1.353168e+00   6.640007e-02
  1.116280e-01    1.388478e+00   6.659000e-02
  1.138385e-01    1.438662e+00   6.712013e-02
  1.160490e-01    1.443045e+00   6.657819e-02
  1.182594e-01    1.492523e+00   6.707272e-02
  1.204699e-01    1.448475e+00   6.546606e-02
  1.226803e-01    1.485691e+00   6.569898e-02
  1.248908e-01    1.448382e+00   6.429144e-02
  1.271012e-01    1.553097e+00   6.599218e-02
  1.293117e-01    1.540155e+00   6.515176e-02
  1.315222e-01    1.553117e+00   6.487170e-02
  1.337326e-01    1.557199e+00   6.441658e-02
  1.359431e-01    1.536690e+00   6.402843e-02
  1.381535e-01    1.513587e+00   6.439828e-02
  1.403640e-01    1.583829e+00   6.616003e-02
  1.425744e-01    1.568863e+00   6.595193e-02
  1.447849e-01    1.579479e+00   6.618991e-02
  1.469953e-01    1.589330e+00   6.635444e-02
  1.492058e-01    1.589031e+00   6.627107e-02
  1.514163e-01    1.484340e+00   6.394446e-02
  1.536267e-01    1.474992e+00   6.361831e-02
  1.558372e-01    1.524941e+00   6.454372e-02
  1.580476e-01    1.557079e+00   6.506205e-02
  1.602581e-01    1.587937e+00   6.553671e-02
  1.624685e-01    1.537931e+00   6.431995e-02
  1.646790e-01    1.598248e+00   6.538083e-02
  1.668895e-01    1.666446e+00   6.656838e-02
  1.690999e-01    1.696221e+00   6.695878e-02
  1.713104e-01    1.749248e+00   6.778632e-02
  1.735208e-01    1.785709e+00   6.827616e-02
  1.757313e-01    1.866061e+00   6.957664e-02
  1.779417e-01    1.837316e+00   6.881355e-02
  1.801522e-01    1.783213e+00   6.757686e-02
  1.823626e-01    1.837044e+00   6.836095e-02
  1.845731e-01    1.803112e+00   6.750727e-02
  1.867836e-01    1.840835e+00   6.797958e-02
  1.889940e-01    1.875786e+00   6.839764e-02
  1.912045e-01    1.940137e+00   6.932869e-02
  1.934149e-01    1.935043e+00   6.900590e-02
  1.956254e-01    1.959823e+00   6.921729e-02
  1.978358e-01    1.886556e+00   6.767842e-02
  2.000463e-01    1.916211e+00   6.798220e-02
  2.022568e-01    1.969075e+00   6.868739e-02
  2.044672e-01    1.946128e+00   6.805208e-02
  2.066777e-01    1.850573e+00   6.614012e-02
  2.088881e-01    1.851566e+00   6.594137e-02
  2.110986e-01    1.998286e+00   6.826931e-02
  2.133090e-01    1.924101e+00   6.677232e-02
  2.155195e-01    1.960325e+00   6.717437e-02
  2.177300e-01    1.892179e+00   6.547798e-02
  2.199404e-01    1.922842e+00   6.426714e-02
  2.221509e-01    1.919354e+00   6.315450e-02
  2.243613e-01    2.009217e+00   6.379683e-02
  2.265718e-01    2.033492e+00   6.347369e-02
  2.287822e-01    2.050092e+00   6.310140e-02
  2.309927e-01    2.043155e+00   6.242067e-02
  2.332031e-01    2.168727e+00   6.375986e-02
  2.354136e-01    2.125922e+00   6.261583e-02
  2.376241e-01    2.156160e+00   6.257014e-02
  2.398345e-01    2.158943e+00   6.214713e-02
  2.420450e-01    2.110603e+00   6.100829e-02
  2.442554e-01    2.045051e+00   5.963968e-02
  2.464659e-01    2.183640e+00   6.121362e-02
  2.486763e-01    2.104604e+00   5.970062e-02
  2.508868e-01    2.100674e+00   5.926856e-02
  2.530973e-01    2.099826e+00   5.888923e-02
  2.553077e-01    2.015970e+00   5.735140e-02
  2.575182e-01    1.983034e+00   5.654440e-02
  2.597286e-01    2.138275e+00   5.837468e-02
  2.619391e-01    2.085944e+00   5.732404e-02
  2.641495e-01    2.006423e+00   5.590956e-02
  2.663600e-01    2.035949e+00   5.600972e-02
  2.685704e-01    2.019852e+00   5.548546e-02
  2.707809e-01    2.060016e+00   5.573699e-02
  2.729914e-01    1.971073e+00   5.423632e-02
  2.752018e-01    2.042991e+00   5.492950e-02
  2.774123e-01    1.963473e+00   5.357486e-02
  2.796227e-01    1.951571e+00   5.314802e-02
