# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166592",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "Zq7mnK/qf1SFMCX7kukNmA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000181.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.507030e+00   6.642749e-01
  3.315685e-03    1.438521e+00   3.945513e-01
  5.526141e-03    1.436011e+00   3.048253e-01
  7.736597e-03    1.664026e+00   2.772045e-01
  9.947054e-03    1.739960e+00   2.498884e-01
  1.215751e-02    1.639566e+00   2.193477e-01
  1.436797e-02    1.264171e+00   1.771653e-01
  1.657842e-02    1.442167e+00   1.761377e-01
  1.878888e-02    1.446893e+00   1.657226e-01
  2.099934e-02    1.340290e+00   1.509042e-01
  2.320979e-02    1.292301e+00   1.409337e-01
  2.542025e-02    1.369088e+00   1.386198e-01
  2.763070e-02    1.519913e+00   1.400876e-01
  2.984116e-02    1.306313e+00   1.249684e-01
  3.205162e-02    1.491279e+00   1.288444e-01
  3.426207e-02    1.498392e+00   1.249072e-01
  3.647253e-02    1.388049e+00   1.165178e-01
  3.868299e-02    1.493238e+00   1.173573e-01
  4.089344e-02    1.426511e+00   1.115625e-01
  4.310390e-02    1.376706e+00   1.067442e-01
  4.531436e-02    1.335664e+00   1.025450e-01
  4.752481e-02    1.525258e+00   1.070017e-01
  4.973527e-02    1.480969e+00   1.030682e-01
  5.194572e-02    1.471109e+00   1.005137e-01
  5.415618e-02    1.374795e+00   9.516073e-02
  5.636664e-02    1.219011e+00   8.783527e-02
  5.857709e-02    1.319002e+00   8.962667e-02
  6.078755e-02    1.324128e+00   8.815001e-02
  6.299801e-02    1.384268e+00   8.853325e-02
  6.520846e-02    1.481450e+00   9.002314e-02
  6.741892e-02    1.516339e+00   8.956700e-02
  6.962938e-02    1.436292e+00   8.578036e-02
  7.183983e-02    1.357411e+00   8.209708e-02
  7.405029e-02    1.327520e+00   7.996535e-02
  7.626074e-02    1.404814e+00   8.105871e-02
  7.847120e-02    1.440695e+00   8.092079e-02
  8.068166e-02    1.471248e+00   8.064569e-02
  8.289211e-02    1.473984e+00   7.963666e-02
  8.510257e-02    1.493274e+00   7.910777e-02
  8.731303e-02    1.480206e+00   7.775454e-02
  8.952348e-02    1.407402e+00   7.487843e-02
  9.173394e-02    1.454131e+00   7.518578e-02
  9.394439e-02    1.386893e+00   7.255559e-02
  9.615485e-02    1.440783e+00   7.309521e-02
  9.836531e-02    1.410700e+00   7.150884e-02
  1.005758e-01    1.543935e+00   7.398333e-02
  1.027862e-01    1.487503e+00   7.183181e-02
  1.049967e-01    1.397037e+00   6.887538e-02
  1.072071e-01    1.430147e+00   6.896379e-02
  1.094176e-01    1.477430e+00   6.938184e-02
  1.116280e-01    1.471577e+00   6.855375e-02
  1.138385e-01    1.502442e+00   6.859178e-02
  1.160490e-01    1.532543e+00   6.861173e-02
  1.182594e-01    1.578447e+00   6.897637e-02
  1.204699e-01    1.458801e+00   6.569899e-02
  1.226803e-01    1.515630e+00   6.635764e-02
  1.248908e-01    1.616037e+00   6.791054e-02
  1.271012e-01    1.624122e+00   6.748430e-02
  1.293117e-01    1.500498e+00   6.430747e-02
  1.315222e-01    1.571499e+00   6.525446e-02
  1.337326e-01    1.558974e+00   6.445329e-02
  1.359431e-01    1.587594e+00   6.508029e-02
  1.381535e-01    1.600116e+00   6.621347e-02
  1.403640e-01    1.655046e+00   6.763116e-02
  1.425744e-01    1.547095e+00   6.549278e-02
  1.447849e-01    1.513042e+00   6.478290e-02
  1.469953e-01    1.553784e+00   6.560820e-02
  1.492058e-01    1.565615e+00   6.578098e-02
  1.514163e-01    1.575754e+00   6.588406e-02
  1.536267e-01    1.614981e+00   6.656883e-02
  1.558372e-01    1.692065e+00   6.798860e-02
  1.580476e-01    1.672055e+00   6.742138e-02
  1.602581e-01    1.523596e+00   6.419528e-02
  1.624685e-01    1.524970e+00   6.404835e-02
  1.646790e-01    1.671595e+00   6.686422e-02
  1.668895e-01    1.693814e+00   6.711278e-02
  1.690999e-01    1.743113e+00   6.787801e-02
  1.713104e-01    1.701200e+00   6.684887e-02
  1.735208e-01    1.786609e+00   6.829336e-02
  1.757313e-01    1.740239e+00   6.719007e-02
