# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "51HXR4hRIQK5FsLZ61bkBw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000182.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.364455e+00   6.320720e-01
  3.315685e-03    1.358708e+00   3.834498e-01
  5.526141e-03    1.828847e+00   3.440019e-01
  7.736597e-03    1.694284e+00   2.797134e-01
  9.947054e-03    1.365650e+00   2.213840e-01
  1.215751e-02    1.583208e+00   2.155448e-01
  1.436797e-02    1.384287e+00   1.853911e-01
  1.657842e-02    1.478951e+00   1.783698e-01
  1.878888e-02    1.290075e+00   1.564844e-01
  2.099934e-02    1.299655e+00   1.485991e-01
  2.320979e-02    1.414927e+00   1.474687e-01
  2.542025e-02    1.407291e+00   1.405405e-01
  2.763070e-02    1.406948e+00   1.347812e-01
  2.984116e-02    1.435476e+00   1.310010e-01
  3.205162e-02    1.487858e+00   1.286966e-01
  3.426207e-02    1.365398e+00   1.192352e-01
  3.647253e-02    1.360051e+00   1.153366e-01
  3.868299e-02    1.404681e+00   1.138242e-01
  4.089344e-02    1.268594e+00   1.052063e-01
  4.310390e-02    1.452318e+00   1.096364e-01
  4.531436e-02    1.448855e+00   1.068017e-01
  4.752481e-02    1.439772e+00   1.039599e-01
  4.973527e-02    1.472039e+00   1.027570e-01
  5.194572e-02    1.444270e+00   9.959259e-02
  5.415618e-02    1.496276e+00   9.927610e-02
  5.636664e-02    1.413319e+00   9.457693e-02
  5.857709e-02    1.481346e+00   9.498233e-02
  6.078755e-02    1.505209e+00   9.398439e-02
  6.299801e-02    1.496381e+00   9.204870e-02
  6.520846e-02    1.533419e+00   9.158853e-02
  6.741892e-02    1.490358e+00   8.879637e-02
  6.962938e-02    1.514177e+00   8.807540e-02
  7.183983e-02    1.459682e+00   8.513366e-02
  7.405029e-02    1.397712e+00   8.205219e-02
  7.626074e-02    1.495471e+00   8.363332e-02
  7.847120e-02    1.511843e+00   8.289482e-02
  8.068166e-02    1.526038e+00   8.213362e-02
  8.289211e-02    1.533831e+00   8.123732e-02
  8.510257e-02    1.455506e+00   7.810099e-02
