# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "L85bnA3EHo7hNmz/3oBWdg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000183.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.043881e+00   7.735969e-01
  3.315685e-03    1.201780e+00   3.606267e-01
  5.526141e-03    1.328792e+00   2.932248e-01
  7.736597e-03    1.466456e+00   2.602284e-01
  9.947054e-03    1.443387e+00   2.275978e-01
  1.215751e-02    1.693387e+00   2.229188e-01
  1.436797e-02    1.350983e+00   1.831474e-01
  1.657842e-02    1.354010e+00   1.706692e-01
  1.878888e-02    1.385259e+00   1.621545e-01
  2.099934e-02    1.247407e+00   1.455815e-01
  2.320979e-02    1.613937e+00   1.574984e-01
  2.542025e-02    1.610845e+00   1.503614e-01
  2.763070e-02    1.609025e+00   1.441357e-01
  2.984116e-02    1.564366e+00   1.367558e-01
  3.205162e-02    1.454791e+00   1.272584e-01
  3.426207e-02    1.514845e+00   1.255911e-01
  3.647253e-02    1.329708e+00   1.140428e-01
  3.868299e-02    1.320860e+00   1.103758e-01
  4.089344e-02    1.398188e+00   1.104494e-01
  4.310390e-02    1.428655e+00   1.087396e-01
  4.531436e-02    1.574524e+00   1.113372e-01
  4.752481e-02    1.547797e+00   1.077894e-01
  4.973527e-02    1.468469e+00   1.026323e-01
  5.194572e-02    1.481108e+00   1.008547e-01
  5.415618e-02    1.404879e+00   9.619629e-02
  5.636664e-02    1.420112e+00   9.480397e-02
  5.857709e-02    1.419952e+00   9.299323e-02
  6.078755e-02    1.407162e+00   9.087186e-02
  6.299801e-02    1.361881e+00   8.781447e-02
  6.520846e-02    1.419223e+00   8.811221e-02
  6.741892e-02    1.407667e+00   8.629780e-02
  6.962938e-02    1.583524e+00   9.006970e-02
  7.183983e-02    1.604178e+00   8.924799e-02
  7.405029e-02    1.463216e+00   8.395287e-02
  7.626074e-02    1.374863e+00   8.018997e-02
  7.847120e-02    1.543293e+00   8.375255e-02
  8.068166e-02    1.563995e+00   8.314880e-02
  8.289211e-02    1.438794e+00   7.868031e-02
  8.510257e-02    1.411801e+00   7.691944e-02
