# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166596",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "a7ldIJE7Oh0ANesxhQzcqA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000185.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.465122e+00   6.549736e-01
  3.315685e-03    1.412238e+00   3.909304e-01
  5.526141e-03    1.466189e+00   3.080116e-01
  7.736597e-03    1.469619e+00   2.605089e-01
  9.947054e-03    1.371897e+00   2.218898e-01
  1.215751e-02    1.383497e+00   2.014919e-01
  1.436797e-02    1.560350e+00   1.968280e-01
  1.657842e-02    1.590145e+00   1.849536e-01
  1.878888e-02    1.440528e+00   1.653577e-01
  2.099934e-02    1.447333e+00   1.568145e-01
  2.320979e-02    1.579695e+00   1.558186e-01
  2.542025e-02    1.286635e+00   1.343808e-01
  2.763070e-02    1.286103e+00   1.288630e-01
  2.984116e-02    1.365173e+00   1.277528e-01
  3.205162e-02    1.262884e+00   1.185681e-01
  3.426207e-02    1.312217e+00   1.168901e-01
  3.647253e-02    1.242700e+00   1.102486e-01
  3.868299e-02    1.287059e+00   1.089544e-01
  4.089344e-02    1.458327e+00   1.127997e-01
  4.310390e-02    1.381944e+00   1.069471e-01
  4.531436e-02    1.452436e+00   1.069336e-01
  4.752481e-02    1.473378e+00   1.051662e-01
  4.973527e-02    1.456836e+00   1.022250e-01
  5.194572e-02    1.416686e+00   9.863698e-02
  5.415618e-02    1.507532e+00   9.964878e-02
  5.636664e-02    1.416126e+00   9.467085e-02
  5.857709e-02    1.323057e+00   8.976434e-02
  6.078755e-02    1.396827e+00   9.053753e-02
  6.299801e-02    1.444544e+00   9.044025e-02
  6.520846e-02    1.463114e+00   8.946431e-02
  6.741892e-02    1.498937e+00   8.905157e-02
  6.962938e-02    1.588575e+00   9.021321e-02
  7.183983e-02    1.496853e+00   8.621080e-02
  7.405029e-02    1.356157e+00   8.082324e-02
  7.626074e-02    1.302536e+00   7.805222e-02
  7.847120e-02    1.376932e+00   7.910977e-02
  8.068166e-02    1.481570e+00   8.092810e-02
  8.289211e-02    1.415646e+00   7.804479e-02
  8.510257e-02    1.488887e+00   7.899147e-02
  8.731303e-02    1.502577e+00   7.833993e-02
  8.952348e-02    1.477455e+00   7.671931e-02
  9.173394e-02    1.572251e+00   7.817986e-02
  9.394439e-02    1.512240e+00   7.576343e-02
  9.615485e-02    1.537844e+00   7.551719e-02
  9.836531e-02    1.687781e+00   7.821687e-02
  1.005758e-01    1.567442e+00   7.454444e-02
  1.027862e-01    1.485861e+00   7.179214e-02
  1.049967e-01    1.500381e+00   7.137741e-02
  1.072071e-01    1.587819e+00   7.266598e-02
  1.094176e-01    1.634367e+00   7.297385e-02
  1.116280e-01    1.609596e+00   7.169654e-02
  1.138385e-01    1.442641e+00   6.721289e-02
  1.160490e-01    1.456261e+00   6.688233e-02
  1.182594e-01    1.671397e+00   7.097822e-02
  1.204699e-01    1.598993e+00   6.878345e-02
  1.226803e-01    1.590549e+00   6.797794e-02
  1.248908e-01    1.521682e+00   6.589819e-02
  1.271012e-01    1.508092e+00   6.502903e-02
  1.293117e-01    1.550199e+00   6.536383e-02
